"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl38",8.47423421289765e-63,-0.19621452081842,1,1,1.88102576823689e-58
"Rps29",1.89108598923066e-60,-0.193047374729058,1,1,4.19764357029529e-56
"Rpl35",4.57108887264313e-57,-0.170366423698178,1,1,1.0146445970606e-52
"Cd53",1.7002512488912e-32,0.253766508706696,0.997,0.992,3.7740476971638e-28
"Rps28",2.09593683114223e-32,-0.131308604928602,1,0.999,4.65235098408641e-28
"Gimap3",2.1228975846576e-30,0.193484032605269,0.995,0.997,4.71219576866447e-26
"Rpl37",1.39621696458928e-29,-0.141378399981837,1,0.999,3.09918279629882e-25
"Nptn",1.3366217377464e-25,0.260498665644832,0.983,0.962,2.96689927127569e-21
"B2m",2.42349698540373e-25,0.137401892261596,1,1,5.37943625850067e-21
"Rpl14",2.06634874276016e-24,-0.103050320885695,1,1,4.58667430430474e-20
"Rpl36",4.70057109595595e-23,-0.107078862589701,1,0.999,1.04338576616934e-18
"Uqcrq",5.56014620314171e-22,-0.144236869522407,0.992,0.99,1.23418565271137e-17
"mt-Nd1",6.67987805531399e-22,0.203801185815755,0.991,0.978,1.48273253193805e-17
"Set",3.13548295156261e-21,-0.134625872970589,0.999,0.995,6.95983150758353e-17
"Rpl22",3.92597732560529e-21,-0.103762849428216,1,1,8.71449186964607e-17
"Pim1",1.8096028197564e-20,0.250481672065491,0.981,0.963,4.01677537901328e-16
"Srsf5",8.04039269287678e-20,0.190234540753815,0.993,0.986,1.78472596603786e-15
"mt-Cytb",1.27818849641105e-19,0.151815241639591,0.985,0.973,2.83719500548362e-15
"Ptprc",1.75461245042033e-19,0.109336701409726,0.999,0.999,3.894713256198e-15
"Bola2",9.47355260701884e-19,-0.174730119773553,0.945,0.941,2.10284447217997e-14
"Rpl6",1.04673345612711e-18,-0.105680595282609,1,1,2.32343425256535e-14
"Atp5k",4.39378524437568e-18,-0.153299715587691,0.985,0.976,9.75288510694069e-14
"mt-Nd2",1.64709203363396e-17,0.171355288674256,0.989,0.974,3.65605018705729e-13
"Lilrb4b",2.17968412279083e-17,0.560434150051246,0.709,0.598,4.8382448473588e-13
"Ddx5",2.69451913262566e-17,0.11312287744269,1,0.999,5.98102411868918e-13
"Rnf19b",6.0234948282939e-17,0.399274405564481,0.79,0.668,1.3370351470364e-12
"Gbp4",6.69303914259877e-17,0.226877284131883,0.956,0.935,1.48565389848265e-12
"Fut8",4.23505319249056e-16,0.259662042582707,0.914,0.862,9.4005475713713e-12
"Tap2",2.329163657335e-15,0.194860904734497,0.958,0.918,5.17004457018649e-11
"Satb1",2.5384980768107e-15,0.193682639789007,0.997,0.997,5.63470418109671e-11
"Tram1",5.34869943967392e-15,0.185906822454276,0.971,0.956,1.18725081462442e-10
"Rps21",8.52462836893698e-15,-0.107395087614653,1,1,1.89221175905294e-10
"Spcs2",9.12283205772185e-15,0.172385434372097,0.996,0.991,2.02499503185252e-10
"Lamp1",1.05549097986192e-14,0.166531256533681,0.978,0.952,2.34287332799951e-10
"Mt1",1.15476782457615e-13,-0.307842517711496,0.698,0.681,2.56323814021168e-09
"Gm56577",1.4828809080951e-13,-0.390311850050613,0.396,0.415,3.29155075169869e-09
"Tmed2",5.84010465267509e-13,0.159463158060474,0.99,0.979,1.29632802975429e-08
"Cox8a",7.69387623330983e-13,0.109307856234445,0.999,0.998,1.70780970750778e-08
"Serpina3g",1.50473890617804e-12,0.59671297771271,0.479,0.372,3.34006895004338e-08
"Igtp",1.60738525734588e-12,0.189618172103368,0.907,0.872,3.56791305573064e-08
"mt-Atp6",1.93760768600077e-12,0.123078673422238,0.99,0.979,4.30090778061591e-08
"Ube2d3",3.84876337885447e-12,0.105361236556186,0.998,0.996,8.54310007204326e-08
"Ssrp1",5.25486018951577e-12,-0.120427977344377,0.971,0.969,1.16642131626681e-07
"Irgm1",7.71327769769291e-12,0.251465781129277,0.671,0.605,1.7121162505569e-07
"Rpl18a",8.40257910454985e-12,-0.104841997351706,1,1,1.86512048383693e-07
"mt-Nd4",1.04386977722528e-11,0.105307675205455,0.987,0.974,2.31707774450695e-07
"Sell",1.04832978823419e-11,0.242680369973695,0.724,0.674,2.32697763094344e-07
"Tet2",1.10979650325166e-11,0.250285509918164,0.876,0.8,2.46341529826771e-07
"Npm3",1.33792794204625e-11,-0.128661972784884,0.977,0.972,2.96979865296007e-07
