"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ly6a",1.50763490170076e-143,-1.60777484038067,0.669,0.89,3.34649719130519e-139
"Rps27a",4.06292837936219e-87,-0.388315970480597,0.997,0.998,9.01848212367025e-83
"H3f3a",5.34877804585237e-73,-0.436830998744507,0.98,0.99,1.18726826283785e-68
"Ssr2",4.58268457169099e-67,-1.00854550568519,0.451,0.668,1.01721849437825e-62
"Psma5",1.19140969581092e-65,-0.62234894500956,0.803,0.901,2.64457210179149e-61
"H2-K1",1.53782308481075e-60,-0.380772210486696,0.993,0.993,3.41350590135443e-56
"Ostc",1.61280739116085e-60,-0.720403419872745,0.699,0.822,3.57994856615973e-56
"Cdkn1a",9.50080976321145e-58,-0.76660582916715,0.732,0.84,2.10889474314005e-53
"B2m",1.43890129042035e-55,-0.319980919079,0.996,0.999,3.19392919434605e-51
"Serpina3g",4.69494810864783e-55,-1.72907332860298,0.235,0.445,1.04213763167656e-50
"mt-Co1",8.99431426422471e-54,0.287115759145318,0.996,0.981,1.99646793722996e-49
"Ppib",9.64080801728523e-54,-0.512841602061681,0.911,0.952,2.1399701555968e-49
"Psma7",8.47675720966611e-53,-0.492528248915546,0.917,0.956,1.88158579782959e-48
"Arpc1b",1.20966021692527e-52,-0.477384029691032,0.889,0.939,2.68508278350902e-48
"Erp29",3.8431710610829e-52,-0.779708706177309,0.573,0.734,8.53068680428571e-48
"Bst2",3.45378641705409e-51,-0.682433905553339,0.859,0.92,7.66636970993497e-47
"Gimap7",2.54191194900481e-50,-0.517686057853547,0.879,0.94,5.64228195320597e-46
"Tcf7",1.13217585175522e-48,0.850301136356921,0.76,0.559,2.51309073814106e-44
"P2rx7",9.08175416329957e-48,1.09546649973391,0.566,0.356,2.01587697162761e-43
"Isg15",9.17733611823569e-48,-1.16406060274479,0.451,0.637,2.03709329816478e-43
"mt-Nd5",9.39567068334769e-42,0.322349888569304,0.99,0.968,2.08555702158269e-37
"Ap2s1",1.04291293401845e-41,-0.579137484960111,0.684,0.821,2.31495383964076e-37
"Gzmb",1.91861422205643e-41,-1.27679273069157,0.404,0.608,4.25874798869867e-37
"Mbnl1",1.23617912310217e-40,0.294585935999582,0.996,0.999,2.74394679954989e-36
"Tap1",2.67106635078986e-40,-0.553687940918617,0.701,0.828,5.92896597884826e-36
"Ptprc",3.43221351409161e-40,0.324278638847221,0.999,0.999,7.61848433722914e-36
"Rps3a1",2.9306205089857e-39,-0.248572318952141,0.998,0.997,6.50509834379556e-35
"H2-D1",7.45463396749039e-39,-0.273389824644267,0.994,0.995,1.65470510176384e-34
"Iigp1",1.01177911806202e-38,-0.596948197436781,0.87,0.917,2.24584610836227e-34
"Slfn1",3.53005938405187e-38,-0.459416766076509,0.917,0.952,7.83567281477994e-34
"Txn1",4.59671022921638e-38,-0.459234498742807,0.934,0.957,1.02033176957916e-33
"Psma4",8.96026488738674e-38,-0.427001920084373,0.88,0.924,1.98890999705323e-33
"Morf4l1",1.35342377135065e-37,-0.335410669601292,0.953,0.973,3.00419474526704e-33
"H2az1",1.74783382013223e-37,-0.433382856963677,0.953,0.959,3.87966673054751e-33
"Rpl29",3.04147241732384e-37,-0.447181650696302,0.802,0.888,6.75115632473373e-33
"Bax",5.38713337645647e-37,-0.375308946610077,0.957,0.974,1.19578199557204e-32
"Snrpc",9.5520483575111e-37,-0.606452404916388,0.577,0.738,2.12026817391674e-32
"Tox",1.61282968183312e-36,0.888514610918572,0.7,0.544,3.57999804476497e-32
"Arf5",1.55029836906211e-35,-0.345311063375145,0.958,0.98,3.44119728980717e-31
"Il12rb2",2.04188781227219e-35,-0.813606551119262,0.504,0.648,4.53237837690057e-31
"Trim30a",5.63106528445092e-35,-0.478325448196277,0.848,0.908,1.24992756118957e-30
"Tnik",9.05225714262727e-35,0.601756992795007,0.874,0.806,2.00932951794898e-30
"Ly6c1",1.78598399564425e-34,-2.533528222611,0.033,0.151,3.96434867513154e-30
"Cd247",5.17373599170727e-34,0.426015045707882,0.982,0.964,1.14841417807926e-29
"Hmgb1",8.83150857519261e-34,-0.39130642239427,0.957,0.975,1.9603299584355e-29
"Ubb",1.86014321991521e-33,-0.273670889356378,0.993,0.992,4.12895990524579e-29
"Psmb7",2.24881760320367e-33,-0.574480985791076,0.616,0.746,4.99170043383118e-29
"Oaz1",2.38483132236059e-33,-0.260801645599744,0.992,0.993,5.29361008624381e-29
"mt-Co3",5.64929796099195e-33,0.2526677546794,0.995,0.979,1.25397466840138e-28
"S100a13",4.35384863605597e-32,-0.497886380704588,0.942,0.963,9.66423781745344e-28
"Akap13",6.16397669616371e-32,0.379362795840479,0.989,0.986,1.36821790724746e-27
"Dctpp1",1.98964824428681e-31,-0.990619615132428,0.254,0.419,4.41642220784344e-27
"Hspa5",2.47537424324759e-31,-0.569766652829508,0.891,0.926,5.49458820773667e-27
"Igtp",6.07620212467994e-31,-0.413476785821479,0.94,0.967,1.34873458561521e-26
"Ifi47",1.04394338826389e-30,-0.420862804082869,0.896,0.928,2.31724113892935e-26
"Sub1",1.0526078352475e-30,-0.340657868853401,0.949,0.974,2.33647361189887e-26
"Ybx3",1.39783540030669e-30,-0.784203359437816,0.468,0.61,3.10277523806076e-26
"Ecm1",3.14901936950434e-30,-0.93468430949896,0.466,0.611,6.98987829448879e-26
"Ifi203",1.24055875366123e-29,-0.458580781777081,0.893,0.917,2.75366826550183e-25
"Eif4e2",3.19595472545251e-29,-0.522037225038866,0.608,0.723,7.09406070408693e-25
"Gm10076",5.78707722620372e-29,-0.305278577977397,0.962,0.979,1.28455753190044e-24
"Atxn7l3b",5.90993368146561e-29,-0.556678898436588,0.558,0.711,1.31182797927492e-24
"Slc25a4",1.65953328857985e-28,-0.413260954778284,0.817,0.89,3.6836660406607e-24
"Isg20",2.54495949402116e-28,-0.663166973701654,0.526,0.674,5.64904658887877e-24
"Arhgap15",3.5438769953299e-28,0.308652910925922,0.996,0.994,7.86634376653378e-24
"A330040F15Rik",4.58169022619807e-28,-0.936297795002854,0.348,0.497,1.01699777950919e-23
"Tube1",4.81730546592387e-28,-1.43783509492238,0.2,0.342,1.06929729427112e-23
"Ly6e",4.94805083598144e-28,-0.34315127194597,0.954,0.967,1.0983188440628e-23
"Tmem108",7.10244638054986e-28,1.33899896216143,0.218,0.084,1.57653002309065e-23
"Ifi44",1.56898998376444e-27,-0.932190468576778,0.361,0.512,3.48268706696193e-23
"Snrpd2",3.37318637007787e-27,-0.386491179785584,0.829,0.887,7.48746178566184e-23
"Zbp1",4.18536418535645e-27,-0.434866322705427,0.783,0.861,9.29025288223571e-23
"Msi2",6.3187090251595e-27,0.467902183884659,0.888,0.841,1.40256384231465e-22
"Xaf1",6.41554109896637e-27,-0.533235597716752,0.663,0.771,1.42405765773756e-22
"Timm10b",8.82262107398475e-27,-0.453828145493737,0.666,0.778,1.95835719979239e-22
"Ifi202b",1.39288211428297e-26,-2.26519129245689,0.039,0.143,3.09178042907391e-22
"Lage3",1.67023856533885e-26,-0.667428445769109,0.399,0.564,3.70742854348265e-22
"Ly6c2",2.42611681341673e-26,-2.58271580709319,0.029,0.12,5.38525149074111e-22
"Bin2",3.52145819277695e-26,0.492687767246293,0.832,0.761,7.81658075050699e-22
"Bak1",6.87572308669294e-26,-0.989379754741621,0.192,0.356,1.52620425355323e-21
"Prkcq",7.42000727703976e-26,0.388079351003771,0.98,0.956,1.64701901528451e-21
"Itm2b",1.91526141348051e-25,-0.265679811826238,0.988,0.987,4.25130575950268e-21
"Glrx5",1.980056646023e-25,-0.538857577515238,0.553,0.685,4.39513173717725e-21
"Mbd5",2.42553668265073e-25,0.376755083886321,0.953,0.931,5.38396377447983e-21
"Xbp1",3.41158998662844e-25,-0.503711070059076,0.799,0.848,7.57270629331914e-21
"Klrk1",2.94342562170271e-24,-1.22275336650631,0.159,0.303,6.53352185249351e-20
"Camk1d",2.96920021552279e-24,0.391258093077932,0.981,0.963,6.59073371839594e-20
"Prelid1",3.25483363655965e-24,-0.332088364099846,0.907,0.921,7.22475422307146e-20
"Ifi214",5.04877160836726e-24,-0.844588673658283,0.34,0.468,1.12067583390928e-19
"Serf2",6.47527848884494e-24,-0.237307737673004,0.986,0.988,1.43731756616891e-19
"Banf1",7.22181647210181e-24,-0.493587489957652,0.594,0.726,1.60302660231244e-19
"Add3",7.53599723904963e-24,0.490085998962435,0.865,0.792,1.67276530715185e-19
"Tomm6",2.08445449355002e-23,-0.400915645658975,0.756,0.827,4.62686363933299e-19
"Ifi27l2a",2.09319439062636e-23,-0.40890378925502,0.98,0.983,4.64626358887334e-19
"Tnfrsf4",4.26124574855324e-23,-0.462910195414425,0.78,0.847,9.45868718806364e-19
"Ms4a4c",4.40475634931333e-23,-1.02139547719425,0.202,0.346,9.77723766857081e-19
"Snrpe",6.22387622688285e-23,-0.279596709303571,0.947,0.954,1.38151380608119e-18
"Sumo2",1.07415614874233e-22,-0.280837998995731,0.949,0.972,2.38430440336335e-18
"Phf5a",1.2346718170241e-22,-0.495149045246502,0.522,0.653,2.74060103224839e-18
"Epsti1",1.59653413051783e-22,-0.511196418054891,0.643,0.766,3.54382680951044e-18
"Hsp90b1",2.35845754551361e-22,-0.485952394900197,0.934,0.953,5.23506821377657e-18
"Macf1",2.7255033307502e-22,0.328845177295668,0.981,0.97,6.04979974326623e-18
"Ikzf1",2.83501809081909e-22,0.296212942387503,0.991,0.984,6.29288965619113e-18
"Tdg",5.49284025713993e-22,-0.826199243231719,0.227,0.368,1.21924575187735e-17
"Ifit1",6.83397713691181e-22,-1.06931726008221,0.202,0.339,1.51693790508031e-17
"Rtp4",9.01969409173958e-22,-0.658407494621152,0.41,0.549,2.00210149754344e-17
"Tmem254",1.47690722103924e-21,-1.10831139750388,0.115,0.244,3.2782909585408e-17
"Lef1",1.49425773220752e-21,0.318836710048539,0.993,0.981,3.31680388818103e-17
"Plac8",1.94917725314263e-21,-1.21263979131474,0.239,0.376,4.3265887488007e-17
"Cyba",2.07408078474316e-21,-0.284651566195566,0.957,0.969,4.6038371178944e-17
"Atp5g3",2.10434544091715e-21,-0.322572571700244,0.854,0.906,4.67101557520379e-17
"Aff3",2.29649633580541e-21,0.436397446586964,0.835,0.714,5.09753291658727e-17
"Itk",2.40907571002341e-21,0.285358542838452,0.99,0.988,5.34742535353895e-17
"Mndal",3.59297456008752e-21,-0.362308003905807,0.925,0.946,7.97532563102628e-17
"Hmgn2",3.94453438050523e-21,-0.571357561064081,0.554,0.692,8.75568296440745e-17
"Tent5a",4.24919580740426e-21,-1.0610450688857,0.238,0.388,9.43193993369524e-17
"P2ry14",5.308512824047e-21,-1.70673802510259,0.082,0.191,1.17833059155371e-16
"H2-Q7",1.92182370476725e-20,-0.518074132204749,0.509,0.637,4.26587207747186e-16
"Rps27",2.31089891902795e-20,0.195635909212464,0.998,0.997,5.12950233056634e-16
"Rpl7",2.36585855350705e-20,-0.17815954907008,0.997,0.996,5.25149623121959e-16
"Herc6",2.64124408064104e-20,-0.514605345672721,0.616,0.721,5.86276948579892e-16
"Snhg6",2.91234281040897e-20,-0.605881440338409,0.399,0.531,6.4645273362648e-16
"Zbtb20",3.49225692314072e-20,0.493332782037592,0.85,0.796,7.75176269229546e-16
