"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Uba52",1.24184529377083e-23,-0.497012789304109,0.928,0.968,2.75652399858312e-19
"Rpl38",1.81259730253864e-22,0.327268597387904,1,1,4.02342223244502e-18
"H2-K1",3.55796158566382e-21,-0.360553900975286,0.995,1,7.89760733169799e-17
"Rpl41",2.25241076610293e-19,0.207313184687162,1,1,4.99967617751867e-15
"Rps29",1.08557703035698e-18,0.256484379148182,1,1,2.40965533428339e-14
"Rplp1",1.31297865457448e-18,0.198878724478011,1,1,2.91441871955897e-14
"Rps28",4.05436727943719e-18,0.264132427922201,1,1,8.99947905016674e-14
"Rpl39",3.01794309891018e-17,0.234759310490719,1,1,6.69892829665092e-13
"B2m",3.16725981321965e-17,-0.302174285065869,1,1,7.03036660740366e-13
"Rps21",1.44327091347579e-15,0.263943484047569,1,1,3.20362844664220e-11
"H2-D1",6.14388674122214e-15,-0.24571118762587,1,1,1.36375853994908e-10
"Psma5",4.69639820958261e-14,-0.448919289448218,0.896,0.953,1.04245951058105e-09
"Rpl37a",1.54175571676312e-13,0.205293856414947,0.998,1,3.42223516449911e-09
"Rplp2",2.11811023880728e-13,0.177015126262424,1,1,4.70156929708051e-09
"Tap1",2.8399005182655e-13,-0.566674726708474,0.734,0.86,6.30372718039392e-09
"Gm10076",6.75551801047184e-13,-0.322804206075514,0.986,0.987,1.49952233278443e-08
"Ostc",1.16885488007983e-12,-0.484246587063227,0.871,0.917,2.5945071773132e-08
"Ssr2",2.78156278355837e-12,-0.623189694440664,0.707,0.828,6.17423491066451e-08
"Gzma",3.78864819755063e-12,-0.421404067129363,0.011,0.104,8.40966240410313e-08
"Mcl1",1.23370744854363e-11,-0.371429107609438,0.879,0.949,2.73846042353229e-07
"Rpsa",1.23280169252704e-10,0.162781298371732,1,1,2.73644991690228e-06
"Sub1",3.1295377489517e-10,-0.335340075882664,0.969,0.987,6.94663494134808e-06
"Selenof",6.33968881277689e-10,-0.356585401630403,0.894,0.94,1.40722072577209e-05
"Rpl35",6.4358081882792e-10,0.17997142758404,0.998,0.994,1.42855634355233e-05
"Ly6a",1.37564814761309e-09,-0.926685043266445,0.585,0.719,3.05352619325677e-05
"Fau",1.37715108522092e-09,0.150819579863108,0.998,1,3.05686226386487e-05
"Rps18",2.08269903929979e-09,0.203363179619974,1,1,4.62296705753374e-05
"Shisa5",5.55858397531987e-09,-0.226790702163656,0.993,0.994,0.000123383888500175
"Rpl36",7.64022178277907e-09,0.179588922047747,1,1,0.000169590002912347
"Rps23",8.99355987676462e-09,0.137730045686069,1,1,0.000199630048584544
"Rpl12",1.11620578571788e-08,0.174177601782515,1,1,0.000247764198255798
"Iigp1",1.9473342638742e-08,-0.611959220712432,0.7,0.787,0.000432249786552155
"H3f3a",2.1358896050752e-08,-0.235011446743453,0.995,0.998,0.000474103415638541
"Eif4e2",3.90503602372826e-08,-0.464776910225117,0.71,0.832,0.000866800846186963
"Rps27",5.23446543886793e-08,0.21905860933816,0.998,0.998,0.00116189429346551
"Rpl37",6.50098926519766e-08,0.186892314225503,1,1,0.00144302458719592
"Mbnl1",8.45636798043177e-08,0.264463791371795,1,1,0.00187706000061644
"Psma7",8.56933639026451e-08,-0.294926769197911,0.962,0.979,0.00190213559854701
"Itgb3",1.09778613123936e-07,-0.801473454094854,0.279,0.426,0.002436755875512
"Smyd3",1.27412330438946e-07,0.516460739821361,0.822,0.766,0.00282817149875329
"Ifi47",1.55961518979907e-07,-0.389517242180796,0.842,0.894,0.00346187783679699
