"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actb",5.27828952411616e-28,2.12397861587626,0.966,0.774,1.17162192566806e-23
"Tpt1",9.3295174366923e-22,1.36947476319102,0.929,0.774,2.07087298542259e-17
"Eef1a1",6.42352844408677e-20,1.47354070037142,0.979,0.717,1.42583060873394e-15
"Ptma",1.68183628590857e-18,1.58841440100679,0.966,0.755,3.73317200383125e-14
"Eef1b2",3.86288866294756e-17,2.0332987905626,0.87,0.434,8.57445396514469e-13
"Malat1",7.05360826941142e-17,-1.90397796117538,0.892,0.962,1.56568942756125e-12
"Rps24",1.17303328058158e-16,1.46266491638737,0.934,0.623,2.60378197290694e-12
"Set",1.84112317026437e-16,1.92294496244175,0.886,0.528,4.08674110103583e-12
"Ldha",2.75998602723211e-16,2.2205755267473,0.865,0.377,6.12634098464711e-12
"Rps3a1",2.23228793685582e-15,1.54017912342239,0.921,0.623,4.95500953343886e-11
"Actg1",3.40256539013039e-15,1.47664076071162,0.926,0.604,7.55267439647242e-11
"Rps16",7.3638401616771e-15,1.1463359698166,0.907,0.491,1.63455160068747e-10
"Ppia",3.68775371317749e-14,1.5787843788045,0.905,0.547,8.18570691714008e-10
"Rpl23",5.65714299456573e-14,1.14085358338334,0.926,0.679,1.25571603050375e-09
"Rps27",1.67910696646011e-13,1.32366727075643,0.799,0.34,3.7271137334515e-09
"Rps14",2.15906412401814e-13,1.29089532056376,0.865,0.491,4.79247463608306e-09
"Rpl9",9.66533396942154e-13,1.59017532650878,0.807,0.566,2.1454141811925e-08
"Tmsb4x",1.96098962505751e-12,0.699913772164111,0.952,0.849,4.35280867074015e-08
"Rps20",2.52243762233369e-12,0.679301480674016,0.926,0.642,5.5990547902941e-08
"Calm1",3.52207660188666e-12,1.82995772257804,0.812,0.509,7.81795343320781e-08
"Rpl32",7.73780200716427e-12,0.939034797615512,0.907,0.604,1.71755991153025e-07
"Rps13",3.90973936960445e-11,1.15109902984751,0.87,0.547,8.678448478711e-07
"mt-Co1",5.14889195780950e-11,-1.00479473909152,0.918,0.736,1.14289954787498e-06
"Rpl39",6.09488727323543e-11,1.24517817216341,0.831,0.528,1.35288212804007e-06
"Rplp1",7.68259709281469e-11,0.554030378026852,0.942,0.679,1.70530607669208e-06
"Hspa8",1.20368786903414e-10,1.53143595476189,0.823,0.472,2.67182596289507e-06
"Rpl13",1.2053755972163e-10,0.849637492338627,0.926,0.698,2.67557221314103e-06
"Rpl18a",1.45705086177293e-10,1.08078489058099,0.839,0.509,3.23421579787738e-06
"Rplp0",1.58737430019152e-10,1.06816547795104,0.823,0.491,3.52349473413511e-06
"Rpl23a",2.15047883592431e-10,0.907679722256968,0.831,0.472,4.77341787210119e-06
"Pabpc1",2.8918013683164e-10,1.50207101735232,0.87,0.585,6.4189314972519e-06
"Rpl14",2.99469219274206e-10,1.15065684613329,0.836,0.509,6.64731826022956e-06
"Ybx1",3.02032633715904e-10,1.37629046891973,0.86,0.528,6.70421837059193e-06
"Rps4x",3.5999141658518e-10,0.918654665792147,0.854,0.585,7.99072947394124e-06
"Rps28",3.68122343795936e-10,1.29135884006864,0.775,0.472,8.17121166523839e-06
"Rps7",4.9535992722637e-10,1.29343408213659,0.82,0.547,1.09955043046437e-05
"Rpl15",5.21255208854499e-10,1.22060628126414,0.762,0.434,1.15703018709433e-05
"Rps23",8.47645388350744e-10,0.715889761949124,0.878,0.566,1.88151846852215e-05
"B2m",1.18992379492797e-09,1.15098149393449,0.852,0.566,2.64127384760161e-05
"Pfn1",1.58921270904386e-09,1.04537417607075,0.905,0.623,3.52757545026465e-05
"Rpl35a",1.6817640452474e-09,1.20688200627598,0.775,0.415,3.73301165123565e-05
"mt-Cytb",2.07672979980565e-09,-1.51733792549543,0.672,0.698,4.60971713662861e-05
"Rplp2",4.00351796638301e-09,0.715011833937139,0.868,0.585,8.88660882998037e-05
"Rpl28",5.17096090185522e-09,1.09923066265295,0.833,0.585,0.00011477981913848
"Fau",5.19195861617512e-09,0.879257000861549,0.873,0.585,0.000115245905403239
"Rpl27",5.28903773549421e-09,1.02639361025847,0.825,0.491,0.000117400770614765
"Rbm3",6.13111913277276e-09,1.56839647993858,0.754,0.491,0.000136092451390157
"H4c4",6.88156127020795e-09,3.36267668494025,0.46,0.113,0.000152750015514806
"Rpl41",7.2210421992085e-09,0.737261532695639,0.807,0.509,0.000160285473695831
"Vim",9.59000721364689e-09,1.6237792289143,0.746,0.434,0.00021286939012132
"Rpl22",1.12600956416582e-08,1.05551014346889,0.802,0.491,0.000249940342957887
"mt-Nd2",1.27389638442622e-08,-1.37036708933344,0.651,0.66,0.000282766780451088
"Rpl5",1.43286746415752e-08,0.960010015572707,0.847,0.642,0.000318053591019044
"Rpl27a",1.52112834347747e-08,0.794847276839137,0.892,0.623,0.000337644858401694
"mt-Nd1",1.57687273369087e-08,-1.34112946398314,0.87,0.774,0.000350018440697362
"Rps18",1.87548306222485e-08,0.870848968830302,0.709,0.358,0.000416300975322051
"Eif4g2",2.1189613819456e-08,1.5274472495006,0.772,0.604,0.000470345857950465
"H3f3a",2.26489085892626e-08,1.99350875026683,0.619,0.321,0.000502737823955862
"Rps10",2.99856792241652e-08,0.778805738301029,0.847,0.547,0.000665592121738795
"mt-Co3",3.81205056117605e-08,-1.46438557858732,0.651,0.66,0.000846160863064247
"mt-Atp6",4.07758767554124e-08,-1.31471553545259,0.741,0.717,0.000905102136339889
"Rpl36a",4.17260057551646e-08,0.933142639895542,0.635,0.34,0.000926192149747388
"Hmgb2",5.5174198304207e-08,0.866348637780115,0.884,0.642,0.00122470167975848
"Rps15a",5.52585099245713e-08,0.789438357662346,0.86,0.642,0.00122657314479571
"Hnrnpk",5.77908117562911e-08,1.90059325718717,0.667,0.377,0.00128278264855439
"mt-Nd4",6.31343520503633e-08,-1.42955870688968,0.632,0.66,0.00140139321246191
"Rpl4",7.32270143951801e-08,0.917457874562973,0.878,0.698,0.00162542003852981
"Rpl38",7.68510338910613e-08,0.720495651871465,0.709,0.377,0.00170586239927989
"Rps3",7.79031984476494e-08,0.83092918446324,0.823,0.528,0.00172921729594247
"Rpl7a",1.12586537194821e-07,1.12787170448511,0.762,0.434,0.00249908336611344
"H1f4",1.29350955292791e-07,2.03709068556444,0.741,0.377,0.00287120315463408
"Rpl3",1.79109413381368e-07,0.943281487891946,0.823,0.528,0.00397569164882623
"Vdac1",2.03061845512498e-07,2.59444258395265,0.365,0.094,0.00450736378484091
"Pgk1",2.09453695784379e-07,1.60167036645069,0.595,0.283,0.00464924368532586
"Npm1",2.26147656994362e-07,1.04980304772493,0.865,0.642,0.00501979954230385
"Cox6c",2.77610790287215e-07,1.65799272365144,0.421,0.208,0.00616212671200531
"Bcl2",3.57972929521421e-07,-0.962079912544411,0.952,0.943,0.00794592511658699
"Ywhaz",3.72627910874232e-07,1.26161038969451,0.767,0.585,0.00827122173767533
"Rps12",4.08987751341656e-07,0.398153931688178,0.841,0.585,0.00907830111653073
"Rpl19",4.21370673109592e-07,0.779788412279484,0.892,0.717,0.00935316483101362
"Rps11",4.48324073432594e-07,0.660542151027561,0.807,0.547,0.0099514494579833
"Rpl34",4.8275596828423e-07,0.476459962785033,0.757,0.453,0.0107157342280051
"Rpl24",5.95139371507483e-07,0.824955596807485,0.783,0.509,0.0132103086293516
"Rpl10a",6.62129290945685e-07,0.592640768315456,0.778,0.491,0.0146972838711214
"Hsp90ab1",6.74421361163158e-07,0.847773255824207,0.852,0.604,0.0149701309537386
"mt-Co2",7.46299165255939e-07,-1.38155340992866,0.759,0.755,0.0165656025711861
"Rps29",9.91343094970128e-07,0.517421332293687,0.783,0.547,0.0220048426790519
"Hnrnpab",1.03559445936314e-06,1.00349509776931,0.807,0.604,0.0229870902144835
"Fth1",1.04824539546194e-06,1.01173553472671,0.619,0.34,0.0232679030430687
"Rps17",1.15247637424724e-06,0.924614466949997,0.706,0.434,0.025581518079166
"Atp5l",1.17840264198383e-06,1.89330366572262,0.421,0.226,0.026157003444115
"Ran",1.26833567689794e-06,1.29895067669602,0.693,0.472,0.0281532470201035
"Hnrnpf",1.65860142659264e-06,1.09577364081472,0.772,0.566,0.0368159758660768
"Dock2",1.72883693467896e-06,-1.04238356583329,0.796,0.943,0.0383749934390689
"Eef2",1.87315857154243e-06,1.01218894485949,0.717,0.491,0.0415785008125273
"Rpl37a",2.0133137967366e-06,0.546773677907091,0.759,0.566,0.0446895263461622
"Cct2",2.04167762741167e-06,1.71354701805102,0.603,0.302,0.0453191182956569
"Igfbp4",2.41414785307788e-06,1.73022257276208,0.349,0.094,0.0535868398947697
"Rpl17",3.26656794696138e-06,0.509298441651005,0.728,0.491,0.0725080087187019
"Rps26",4.54817655628319e-06,0.706602797890075,0.868,0.679,0.100955875019818
"Ncl",4.61898027910527e-06,0.929590142730056,0.91,0.755,0.1025275052553
"Trac",4.63587373885215e-06,1.73889908301461,0.577,0.358,0.102902489381301
"Pclaf",4.99989949985962e-06,1.63340230926666,0.558,0.321,0.110982769198384
"Tmsb10",5.17639692960199e-06,0.403085343256699,0.902,0.698,0.114900482646375
"Arl6ip1",5.44078415595918e-06,1.39465409412667,0.653,0.491,0.120769085909826
"Rps27a",6.63636242908986e-06,0.600305616047661,0.831,0.642,0.147307336838508
"Rpl30",7.55654051998214e-06,0.838403106791465,0.672,0.528,0.167732529922043
"Uqcrq",7.72366990244639e-06,1.85268533565968,0.36,0.132,0.171442300824602
"Cfl1",8.07227580114571e-06,0.876960624522915,0.743,0.528,0.179180305958031
"Atp5g2",8.21341683028395e-06,1.56991216475335,0.452,0.245,0.182313213381813
"Rpsa",8.97241064609516e-06,0.506370363796804,0.926,0.755,0.199160599111374
"Gm47283",9.20601408330104e-06,-1.87857914711341,0.101,0.415,0.204345894607033
"Inpp4b",9.57576469733198e-06,-0.939565643993129,0.984,0.962,0.212553248986678
"Mif",1.02379618246021e-05,1.75885028537967,0.534,0.302,0.227252038620693
"Rpl10",1.11048967666177e-05,1.40240027692421,0.63,0.396,0.246495393528614
