"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Suclg2",8.34000530519036e-06,-0.582479205551636,0.863,0.91,0.18512309775931
"Mrpl2",8.52416210899323e-05,-0.355424692390714,0.838,0.847,1
"Ruvbl1",9.90208635807157e-05,-0.385862807963147,0.949,0.951,1
"Tmc6",0.000122854444242801,-0.222260017770135,0.47,0.299,1
"H6pd",0.000140666095503262,-1.37305826208724,0.094,0.243,1
"Gtf3c6",0.000264710434608104,-0.441847814696946,0.863,0.847,1
"Ephb2",0.000370190971861612,0.307207260890139,0.085,0.028,1
"Rpl36",0.00038331211292075,-0.14927004014975,1,1,1
"Rps29",0.000393131278944411,-0.248491156682666,1,1,1
"Arhgef40",0.000408971198170754,-2.06943878042319,0,0.076,1
"Myl12b",0.000469057497940284,0.153806254748167,1,0.979,1
"Rpl35",0.000479394010501346,-0.133993912217493,1,1,1
"Rdm1",0.000497838874046104,-1.08884569233176,0.308,0.493,1
"Eif1ad",0.000507132898085269,-0.247809133044922,0.966,0.875,1
"Tdrkh",0.000546211275783805,-2.18301869405941,0.017,0.125,1
"Tmem159",0.000592625756384155,1.19477510985884,0.291,0.111,1
"B4galt1",0.000626007356780753,-0.496844537890121,0.769,0.903,1
"Gm12932",0.000645171603784485,0.240208945021471,0.06,0.007,1
"Rfxap",0.000970338182902751,0.652373410822545,0.761,0.493,1
"Gm57070",0.00100194581801969,1.89405830613265,0.111,0.007,1
"Rps28",0.00102755816613077,-0.140376625890584,1,1,1
"Tmed7",0.00107828025219459,0.386859480339354,0.923,0.861,1
"Ssr3",0.00112183720044538,0.372074301094332,1,0.944,1
"Rps21",0.00113259043172198,-0.145967174302505,1,1,1
"Ptprc",0.00131685540347048,0.145666715832963,0.991,1,1
"mt-Nd1",0.00158463535768789,0.170181658115959,1,1,1
"Abracl",0.00160412312366766,0.213703898540908,1,0.993,1
"Gm28501",0.00161443267551474,1.80157793628066,0.051,0,1
"Gm47015",0.00161469958571636,0.986052391519303,0.41,0.188,1
"Atp5k",0.00162305253319921,-0.157472823107752,1,0.979,1
"Dpp4",0.00168224095568789,0.514286192103954,0.761,0.521,1
"Slc35b1",0.00175466992824325,0.386965136456249,0.897,0.875,1
"Wdr48",0.0017651017435184,-0.351351716147849,0.538,0.667,1
"Col27a1",0.0017839611872847,0.140400473443477,0.051,0.014,1
"Hirip3",0.00178584214678763,-0.232654582988847,0.838,0.778,1
"Eprs",0.00188004655354998,-0.180879024338798,1,0.979,1
"Ppcdc",0.00196811227646964,0.524730875663826,0.624,0.479,1
"1700030K09Rik",0.00199634875440369,-0.964046128567616,0.137,0.264,1
"4921524J17Rik",0.00204863107538334,0.112698939847241,0.778,0.549,1
"Rex1bd",0.00209474723361011,-0.135951859414292,1,0.938,1
"Ccdc141",0.00223798552058177,1.75005634524847,0.06,0,1
"Lims1",0.00226524374449928,-0.356985691485142,1,0.931,1
"Zc3hc1",0.00253369561287199,-0.195630978533116,0.41,0.507,1
"Ube2j2",0.00256811918347045,0.274842026367096,0.966,0.965,1
"Nsd3",0.00285677571665841,-0.153462089442117,0.974,1,1
"Gm57199",0.00288616177410978,1.76757689293387,0.051,0,1
"Pdia3",0.00299676960157749,0.263059911161324,1,1,1
"Pid1",0.00303914845447043,-1.67155748128094,0,0.049,1
"Dnajb11",0.00318081956576992,0.369565603759021,1,0.938,1
"AW209491",0.00321068538147342,-0.863763402521859,0.231,0.382,1
"Rap2b",0.00336120173319456,0.16844794758013,0.701,0.472,1
"Sass6",0.00346035195671576,-0.203846290729625,0.821,0.66,1
"Polr2h",0.00346584390180706,0.137334980624182,0.991,0.861,1
"Ufm1",0.00353065222690029,0.331075888385652,0.983,0.882,1
"Pmf1",0.00363594696654085,-0.393901840498322,0.769,0.785,1
"Yars2",0.00364621116166378,0.575928838216058,0.726,0.59,1
"Rpl38",0.00367392109774524,-0.136065080523531,1,1,1
"Frg1",0.00375020341742546,0.313012215365744,0.966,0.944,1
"Appbp2",0.00385668821353557,0.271885693965911,0.957,0.771,1
"Mrpl30",0.00397646339189543,-0.130739203905789,1,0.951,1
"Mgarp",0.0040123632733845,0.483661309395614,0.06,0.014,1
"Gm42047",0.00401591375467236,-0.690658447166278,0.376,0.472,1
"Glp2r",0.00421185633293845,-1.05254541537304,0,0.042,1
"Csnk2a1",0.00430254512597516,-0.164678442832488,1,0.951,1
"Map3k12",0.00446398637808936,1.91108623082806,0.154,0.028,1
"Tgm2",0.00456330707082023,2.25741249235455,0.094,0.007,1
"Lipo3",0.00472053855846783,-1.32468855980094,0,0.042,1
"Chmp3",0.00488289768388759,-0.3916186610479,0.709,0.812,1
"Lrrc8c",0.00525799565198095,0.219600356956919,0.991,0.993,1
"Polr3c",0.00534435432815584,0.23444132851024,0.769,0.729,1
"Dipk2a",0.00534701483773146,0.374007914652095,0.821,0.778,1
"Ssna1",0.00552931726059928,0.153133288253154,0.872,0.882,1
"Hmga2",0.00559062447289186,1.60230134996595,0.043,0,1
"Top3b",0.00566358013066449,-0.627037492357811,0.556,0.688,1
"Gbp2",0.00568568659837209,0.430514908854321,0.453,0.292,1
"Prmt6",0.00570528427137842,0.500827743645587,0.376,0.312,1
"Zbtb6",0.00576248176962474,-0.302458725964804,0.35,0.431,1
"Cdc42bpb",0.00584180734588045,-1.54524994901741,0.017,0.09,1
"Jarid2",0.00592414723401586,0.14972193205721,1,1,1
