"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Morf4l1",2.10811203774527e-15,-0.495561358282884,1,1,4.67937629018319e-11
"Tcf7",3.79894538639876e-11,0.927287207076633,0.603,0.208,8.43251907418933e-07
"Gzma",5.46595287761545e-11,-3.3575323966615,0.317,0.583,1.2132775602443e-06
"Ssr2",5.92946133081107e-11,-0.697384135139331,0.873,0.951,1.31616253160013e-06
"Emilin2",6.96259106171887e-11,-1.25889062101309,0.619,0.868,1.54548633796974e-06
"Erp29",1.62938021028409e-10,-0.641126644526794,0.929,0.972,3.61673525276759e-06
"Ccr5",1.82388379303445e-10,-1.6577415584503,0.444,0.75,4.04847485539858e-06
"Itgb1",3.03834458185585e-10,-0.789422408714033,0.921,0.972,6.74421346834544e-06
"P2ry14",9.84344316021196e-10,-1.10028515774677,0.698,0.861,2.18494907827225e-05
"Tox",2.03637980567039e-08,1.33274223850191,0.587,0.236,0.000452015225464657
"Eif4e2",3.81856440051808e-08,-0.562974399229406,0.952,0.993,0.000847606739982998
"mt-Co3",4.91959820403337e-08,0.319452044742036,1,0.993,0.00109200321334929
"Morf4l2",6.82411383437859e-08,-0.559053195839721,0.913,0.931,0.00151474854781702
"Ifi30",1.04940109027597e-07,-1.37814327257657,0.317,0.604,0.00232935560008556
"Mbnl1",1.34896740278471e-07,0.318672329593083,1,1,0.00299430294396123
"Sub1",2.32487681398211e-07,-0.400562095717543,1,1,0.00516052906399609
"Itgb3",2.62328344984488e-07,-1.76999123492116,0.175,0.444,0.00582290227362069
"Fasl",3.25005628753963e-07,-1.6187833350828,0.23,0.521,0.00721414994145172
"Epas1",3.49365129186074e-07,-2.93265619530008,0.032,0.229,0.00775485777254329
"Rps3a1",3.72323410708506e-07,-0.195234326175617,1,1,0.0082644627474967
"Psmb9",4.92479676576084e-07,0.521976120859705,0.984,0.979,0.0109315713809593
"Kti12",5.7118749568881e-07,-0.909476349665349,0.413,0.674,0.0126786488418045
"Iigp1",1.0250957815041e-06,-0.316394108083266,0.643,0.396,0.0227540510620466
"Ighm",1.17188480271227e-06,1.01981066402543,0.794,0.549,0.0260123269658042
"Ostc",1.53558928078194e-06,-0.396893541650504,0.984,0.986,0.0340854752655166
"Cdkn1a",2.04578714559148e-06,-0.744843455065912,0.794,0.924,0.045410337270694
"Maml2",2.12348508773723e-06,0.543352811308464,0.841,0.583,0.0471349984925032
"Fcer1g",2.85788788198292e-06,-0.843633662099355,0.468,0.729,0.063436537316375
"mt-Co1",3.16756110709422e-06,0.290241603824112,1,0.993,0.0703103538941703
"Gem",3.39444137724112e-06,-1.05834872773756,0.429,0.681,0.0753464152506211
"Ctla2a",3.4450535890912e-06,-0.654086922126975,0.96,0.979,0.0764698545170573
"Entpd1",3.63977657427291e-06,-1.12353263181402,0.492,0.736,0.0807921206191357
"Cdk6",3.64076773861482e-06,-0.405693259900361,0.976,0.993,0.0808141214940332
"Bcl11b",4.530785693995e-06,0.829177561384293,0.865,0.722,0.100569850049607
"Fnta",4.62119051815446e-06,-0.918443134281681,0.532,0.729,0.102576565931475
"Tdg",4.85545410066137e-06,-0.76279495167386,0.651,0.792,0.10777651467238
"C1qtnf6",5.1592171135389e-06,-2.28637641120514,0.056,0.25,0.114519142269223
"Lmna",6.71035033364179e-06,-1.31413928272896,0.397,0.569,0.148949646355847
"Polr2l",7.01741623705465e-06,-0.718306406021198,0.643,0.785,0.155765588213902
"Ybx3",7.65598671835072e-06,-0.367789461803488,0.976,0.958,0.169939937187231
"Havcr2",7.775925642815e-06,-2.26174786927576,0.079,0.278,0.172602221493565
"Plscr2",8.04571800333414e-06,-0.411935492248684,0.024,0.097,0.178590802520008
"Bak1",8.52405025287465e-06,-0.582937366782448,0.548,0.799,0.189208343463059
"Slc25a45",8.76476222514516e-06,1.65573785372078,0.349,0.111,0.194551427111547
"Mcoln2",8.78634633070787e-06,0.98168699365038,0.524,0.236,0.195030529502723
"Psmb10",1.04443148089565e-05,0.407805037201843,0.984,0.986,0.231832455814408
"Ppp3cb",1.14392403704762e-05,0.455231386334441,0.984,0.896,0.253916818503461
"Tmpo",1.16241108337445e-05,0.44333430065818,1,0.938,0.258020388176626
"Bhlhe40",1.19065903052335e-05,-0.809704473359093,0.69,0.826,0.264290585005269
"Bex2",1.21602106588761e-05,1.32597166443306,0.087,0.007,0.269920195995072
"Gzmd",1.38970782875804e-05,-6.21953287557909,0.024,0.181,0.308473446749423
"Gpd2",1.45057138790214e-05,-0.874705258043917,0.563,0.688,0.321983330972638
"1700037H04Rik",1.48625022147236e-05,-0.803594658890432,0.46,0.528,0.329902961660219
"mt-Co2",1.65611992115768e-05,0.258097605250486,1,0.993,0.36760893889937
"mt-Nd3",1.6591904818305e-05,0.43634334011303,1,0.924,0.368290511251917
"Hacd1",1.89550753968581e-05,-1.16933811622385,0.214,0.458,0.42074580858406
"Ahnak",2.08927742217545e-05,-1.2092342021182,0.556,0.764,0.463756909400284
"Zdhhc8",2.1468402035583e-05,0.915944939770998,0.651,0.465,0.476534119983835
