"group","contrast","n_pseudobulk","n_MAST","n_overlap","n_PB_only","n_MAST_only"
"Lineage: CD4","miR29a_vs_Scr",636,4729,631,5,4098
"Lineage: CD4","miR29a_vs_EV",1131,5206,1122,9,4084
"Lineage: CD4","EV_vs_Scr",98,1074,90,8,984
"Lineage: CD8","miR29a_vs_Scr",431,3663,430,1,3233
"Lineage: CD8","miR29a_vs_EV",613,3972,609,4,3363
"Lineage: CD8","EV_vs_Scr",50,722,48,2,674
"Lineage: Non-T","miR29a_vs_Scr",5,14,1,4,13
"Lineage: Non-T","miR29a_vs_EV",2,38,2,0,36
"Lineage: Non-T","EV_vs_Scr",2,9,0,2,9
"Lineage: Innate-like","miR29a_vs_Scr",13,27,5,8,22
"Lineage: Innate-like","miR29a_vs_EV",18,23,5,13,18
"Lineage: Innate-like","EV_vs_Scr",1,0,0,1,0
"00 Activated intermediate CD4","miR29a_vs_Scr",339,3109,336,3,2773
"00 Activated intermediate CD4","miR29a_vs_EV",524,3094,519,5,2575
"00 Activated intermediate CD4","EV_vs_Scr",22,254,18,4,236
"01 Differentiated activated effector CD4","miR29a_vs_Scr",321,3000,319,2,2681
"01 Differentiated activated effector CD4","miR29a_vs_EV",436,2968,429,7,2539
"01 Differentiated activated effector CD4","EV_vs_Scr",26,625,25,1,600
"02 Proliferative CD8 effector","miR29a_vs_Scr",290,3034,287,3,2747
"02 Proliferative CD8 effector","miR29a_vs_EV",471,3058,465,6,2593
"02 Proliferative CD8 effector","EV_vs_Scr",40,464,36,4,428
"03 IFNg-associated early activated CD4","miR29a_vs_Scr",193,1872,193,0,1679
"03 IFNg-associated early activated CD4","miR29a_vs_EV",322,2419,318,4,2101
"03 IFNg-associated early activated CD4","EV_vs_Scr",15,383,13,2,370
"04 Non-cycling exhaustion-like CD8","miR29a_vs_Scr",180,1502,172,8,1330
"04 Non-cycling exhaustion-like CD8","miR29a_vs_EV",136,1287,129,7,1158
"04 Non-cycling exhaustion-like CD8","EV_vs_Scr",5,200,4,1,196
"05 CD4 TCF1hi naive stem-like progenitor","miR29a_vs_Scr",36,1022,31,5,991
"05 CD4 TCF1hi naive stem-like progenitor","miR29a_vs_EV",117,1011,100,17,911
"05 CD4 TCF1hi naive stem-like progenitor","EV_vs_Scr",0,24,0,0,24
"06 Transitional progenitor-like CD4","miR29a_vs_Scr",92,1459,87,5,1372
"06 Transitional progenitor-like CD4","miR29a_vs_EV",98,1854,94,4,1760
"06 Transitional progenitor-like CD4","EV_vs_Scr",9,221,5,4,216
"07 Early activated CD4","miR29a_vs_Scr",90,1128,89,1,1039
"07 Early activated CD4","miR29a_vs_EV",171,1071,163,8,908
"07 Early activated CD4","EV_vs_Scr",5,141,5,0,136
"08 Cycling non-T review ","miR29a_vs_Scr",5,14,1,4,13
"08 Cycling non-T review ","miR29a_vs_EV",2,38,2,0,36
"08 Cycling non-T review ","EV_vs_Scr",2,9,0,2,9
"09 Treg","miR29a_vs_Scr",12,44,1,11,43
"09 Treg","miR29a_vs_EV",1,61,0,1,61
"09 Treg","EV_vs_Scr",1,5,0,1,5
"10 Transitional activated CD4","miR29a_vs_Scr",8,104,8,0,96
"10 Transitional activated CD4","miR29a_vs_EV",20,116,13,7,103
"10 Transitional activated CD4","EV_vs_Scr",0,13,0,0,13
"11 CX3CR1 KLRG1 differentiated effector CD4","miR29a_vs_Scr",0,2,0,0,2
"11 CX3CR1 KLRG1 differentiated effector CD4","miR29a_vs_EV",0,12,0,0,12
"11 CX3CR1 KLRG1 differentiated effector CD4","EV_vs_Scr",0,0,0,0,0
"12 Intermediate activated CD4","miR29a_vs_Scr",15,97,9,6,88
"12 Intermediate activated CD4","miR29a_vs_EV",142,171,108,34,63
"12 Intermediate activated CD4","EV_vs_Scr",0,0,0,0,0
"13 NK-like innate-like review ","miR29a_vs_Scr",13,27,5,8,22
"13 NK-like innate-like review ","miR29a_vs_EV",18,23,5,13,18
"13 NK-like innate-like review ","EV_vs_Scr",1,0,0,1,0
