"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Nfkbia",2258.82319322125,0.518038409551399,0.10140414072207,4.68629679933207e-08,0.000287926075350962
"Ctla2a",2232.17993082396,-0.462592944877879,0.114793342965814,5.13464949776444e-07,0.00145265904632956
"Hmgcs1",2277.49060628742,0.49546643208115,0.132924433171463,7.09306174965608e-07,0.00145265904632956
"Gbp2b",1624.6223932971,0.473774452391579,0.157928172443709,1.75793468440694e-06,0.00270018767524907
"Sell",2462.01710182708,0.337311907235509,0.187359082683749,9.2771763285111e-06,0.0113997942724744
"Crip1",1319.73981338183,-0.211888612841633,0.24293229904069,5.05462900738243e-05,0.0517594010355961
"Fdps",2973.03846316271,0.141713918785514,0.180461424758859,7.18130636148335e-05,0.0630313518356482
"Msmo1",1087.16998859902,0.151127368500168,0.234537269795473,9.68993148198194e-05,0.0744186737816213
"S100a6",2169.50300664751,-0.0958951783006759,0.166724636779045,0.000148459660882887,0.091213615646446
"Serpina3g",2810.90598241515,0.10026183028179,0.16860794839302,0.00013741096163361,0.091213615646446
"Cyp51",2981.61575678281,0.0766371867238348,0.144475367212345,0.00017816129417995,0.0995111810401467
"Gbp2",1479.72841416673,0.0634102268937915,0.155070505880293,0.000316787759335591,0.162195332779823
"H2az2",3920.57163232167,0.0313870638993787,0.091267171982845,0.000473378026806135,0.207745328335492
"Trat1",733.083219720784,0.0512983028080611,0.154544001287103,0.000447620500765323,0.207745328335492
"Gzmb",7397.45081116284,-0.0267512517705227,0.0821788827414251,0.000527330749679348,0.215994675068661
"Cd81",1843.67772173938,0.0286799135819508,0.0997999378908331,0.000761151167930485,0.2750889868097
"Hmgcr",2476.51619849566,0.0279894880191902,0.0954644375803723,0.00072471303909851,0.2750889868097
"Idi1",3308.7394028142,0.0151084179016308,0.0641983445177943,0.00118754500704071,0.405348695736563
"Ifi47",5909.61119541732,0.00955837135185644,0.0473182253805221,0.00167022230634464,0.513092292509072
"Igtp",6092.19638051789,0.00995004638758556,0.0490028071169563,0.00166236223972777,0.513092292509072
"Tap2",3266.96257891209,0.00996280346907798,0.0520455794459684,0.0019992008093604,0.584909036795727
"Cd69",906.398213945164,0.0129568919183381,0.0744282765519306,0.00243751843556699,0.680732421278344
"Rpl38",26980.5962694002,-0.00340083228869037,0.022054549699963,0.00371353905217468,0.990684825231322
