"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Actb",1541.47298544071,2.34096573942408,0.391743249922301,2.33092020435536e-11,2.328589284151e-08
"Ptma",718.665233804615,1.99957007302608,0.349947764223381,3.05251180532546e-10,1.52472964676007e-07
"Set",230.227239129671,2.16784371547673,0.413415689896975,2.3265392063733e-09,7.74737555722308e-07
"Ldha",169.941409397553,2.15348855121516,0.420034578782425,4.42100407471922e-09,1.10414576766113e-06
"Eef1b2",203.589524159398,1.94432771802116,0.396651077058814,2.7079122519778e-08,5.41040867945165e-06
"Actg1",279.311460112872,1.91451388651461,0.399202167778142,4.97510781497954e-08,8.28127850451707e-06
"Calm1",147.187778363206,1.90891432300338,0.400419334871543,5.80269765081276e-08,8.28127850451707e-06
"Eef1a1",605.856606529849,1.80345619656775,0.380702330461046,9.44820978279417e-08,1.17984519662642e-05
"Npm1",187.30254670738,1.73704161350922,0.371464604877475,1.55777747758767e-07,1.72913300012231e-05
"Tpt1",555.092514358549,1.63986993292845,0.352189166350327,2.32122928437768e-07,2.3189080550933e-05
"Hspa8",153.664847595139,1.81128114236156,0.409079001370179,3.74962334331432e-07,2.88144132305462e-05
"Rpl23",450.43111347284,1.65538088439219,0.363272102237593,3.50080944916921e-07,2.88144132305462e-05
"Pabpc1",174.856207739152,1.88371506391194,0.430689513564194,3.68443463413102e-07,2.88144132305462e-05
"Rpl32",358.210702324667,1.57248134375866,0.347088212034193,5.1013793813779e-07,3.64019857285466e-05
"Ppia",274.705848069928,1.71901137285534,0.394103488784421,6.76804823335286e-07,4.50752012341301e-05
"Rps16",375.172429372568,1.51158196759735,0.336679512806589,7.37265465043373e-07,4.60330124736456e-05
"Rpl9",216.902622450974,1.6557621780132,0.378913577704545,8.02491357042863e-07,4.71581685697541e-05
"Rps3a1",333.228126842409,1.6998358627635,0.396825311218466,1.00382013818635e-06,5.27798062130615e-05
"Rps3",198.048592507503,1.65590823956708,0.382718633901364,9.64798709531654e-07,5.27798062130615e-05
"Pfn1",255.018581459829,1.49645099484228,0.350976435270599,2.0656875102983e-06,9.82677058470476e-05
"Rps24",510.879271810152,1.60798033541581,0.383756123173462,1.98686390449228e-06,9.82677058470476e-05
"Rpl27",208.376045464957,1.50558085431399,0.36633582423811,3.7726370573135e-06,0.000167823005164004
"Tmsb4x",855.565287659994,1.34193805138299,0.318016748366534,3.86379291168379e-06,0.000167823005164004
"Rps15a",327.216641465118,1.45013772609917,0.353657279612951,4.62046386159189e-06,0.000192326808238763
"Rpl18a",227.383155488519,1.4731262449997,0.365686253368687,5.72231048888709e-06,0.000228663527135928
"Eif4g2",124.508555324548,1.56418886003588,0.39919313797038,6.54183709819592e-06,0.00025135751004222
"Hnrnpa3",158.438730383425,1.56054717130881,0.403132565648957,7.85543187092029e-06,0.000288905958001074
"Rps13",252.438699534092,1.44129914823635,0.363795126918888,8.0974642883184e-06,0.000288905958001074
"Rps23",298.117226522494,1.37670539938462,0.345180917391826,8.81374474162663e-06,0.000303618310237414
"Rps10",279.893034657376,1.37921697394665,0.349344621305542,1.01876982130326e-05,0.000339250350493985
"Rps6",190.125936893189,1.46704341271874,0.380063075625047,1.09014719874187e-05,0.000348734916378926
"Rpl4",240.587765010546,1.4905285808749,0.389729523935071,1.15197720125171e-05,0.000348734916378926
"Rpl14",221.249549937161,1.48093506998776,0.385729547453926,1.1255991951651e-05,0.000348734916378926
"Rps14",310.101456241914,1.40424329786218,0.362575477128073,1.25008150832932e-05,0.000367303360829704
"Rpl27a",325.548896499192,1.35799396801387,0.349914043313822,1.38293372998975e-05,0.000394728798931361
"Rps4x",278.22397731251,1.43942451545317,0.378657872107309,1.45531026642165e-05,0.000403848598932009
"Rpl39",268.733177477593,1.37347064256747,0.359220746101844,1.62679206772118e-05,0.000439233858284718
"Arl6ip1",113.275150913507,1.50181544736683,0.408995707066906,1.86572132868865e-05,0.000490488317726306
"Ywhaz",120.834083612572,1.44713721518959,0.401063280274773,2.70112084910705e-05,0.000691902494425113
"Rplp1",664.220675551601,1.23001443378289,0.325887483773179,2.81098466223953e-05,0.000702043419394322
"Rpl5",214.97786272338,1.35204796209759,0.370123336667682,3.0717660564366e-05,0.000748220078105106
"Rpl30",184.95750256289,1.37245746293075,0.378292994148973,3.14566999803948e-05,0.000748220078105106
"Rps27",209.644754160212,1.33241997928489,0.367504268165832,3.53770289238765e-05,0.000819420807507254
"Rps27a",245.824775076659,1.3547788838655,0.376315464270466,3.60906061364556e-05,0.000819420807507254
"Taco1",98.4116774141786,-1.42371405581133,0.409061478757591,4.27326099493221e-05,0.00094866394087495
"Ybx1",200.417821160017,1.37415557889537,0.393994749209459,4.82025939575468e-05,0.00104683459486064
"Rps11",233.988348722913,1.30947885853865,0.370693359980014,5.0234061575161e-05,0.00106774101092736
"Serbp1",171.835644698132,1.32167664313282,0.377198262505921,5.30124987703571e-05,0.001094122318137
"Eif4a1",110.872140036853,1.44124541836346,0.426194953071949,5.38076137192397e-05,0.001094122318137
"Lsamp",42.2863942812845,-1.57538894087436,0.490988220399548,5.47608767836337e-05,0.001094122318137
