"clusters","condition","n","frac"
"0","EV",4601,0.305937894806836
"0","Scr",4585,0.304873994281535
"0","miR29a",5853,0.38918811091163
"1","EV",3538,0.262074074074074
"1","Scr",4160,0.308148148148148
"1","miR29a",5802,0.429777777777778
"2","EV",4014,0.300404131118096
"2","Scr",5257,0.393429127376141
"2","miR29a",4091,0.306166741505763
"3","EV",2784,0.288497409326425
"3","Scr",3254,0.33720207253886
"3","miR29a",3612,0.374300518134715
"4","EV",3088,0.33304572907679
"4","Scr",2836,0.305867126833477
"4","miR29a",3348,0.361087144089733
"5","EV",2472,0.280399274047187
"5","Scr",3260,0.36978221415608
"5","miR29a",3084,0.349818511796733
"6","EV",1705,0.313016339269323
"6","Scr",1655,0.303836974481366
"6","miR29a",2087,0.383146686249312
"7","EV",1883,0.349480326651819
"7","Scr",2163,0.401447661469933
"7","miR29a",1342,0.249072011878248
"8","EV",1731,0.385609267097349
"8","Scr",1426,0.317665404321675
"8","miR29a",1332,0.296725328580976
"9","EV",1132,0.292430896409197
"9","Scr",1239,0.320072332730561
"9","miR29a",1500,0.387496770860243
"10","EV",1515,0.588349514563107
"10","Scr",827,0.321165048543689
"10","miR29a",233,0.0904854368932039
"11","EV",722,0.315421581476627
"11","Scr",981,0.428571428571429
"11","miR29a",586,0.256006989951944
"12","EV",514,0.2995337995338
"12","Scr",760,0.442890442890443
"12","miR29a",442,0.257575757575758
"13","EV",466,0.305774278215223
"13","Scr",511,0.335301837270341
"13","miR29a",547,0.358923884514436
"14","EV",207,0.336585365853659
"14","Scr",132,0.214634146341463
"14","miR29a",276,0.448780487804878
"15","EV",79,0.130794701986755
"15","Scr",102,0.16887417218543
"15","miR29a",423,0.700331125827815
"16","EV",112,0.303523035230352
"16","Scr",140,0.37940379403794
"16","miR29a",117,0.317073170731707
