"condition","replicate","clusters","n","prop","cluster_id"
"EV","rep1","1",2184,0.1451452116701,1
"EV","rep1","2",2647,0.17591546487672,2
"EV","rep1","3",3026,0.201103209942181,3
"EV","rep1","4",1747,0.11610287765003,4
"EV","rep1","5",1484,0.0986243104937861,5
"EV","rep1","6",689,0.0457898584435436,6
"EV","rep1","7",1381,0.0917790921778428,7
"EV","rep1","8",435,0.0289094171595667,8
"EV","rep1","9",884,0.0587492523426597,9
"EV","rep1","10",179,0.0118960590150861,10
"EV","rep1","11",212,0.014089187213398,11
"EV","rep1","12",75,0.00498438226889081,12
"EV","rep1","13",32,0.00212666976806008,13
"EV","rep1","14",72,0.00478500697813518,14
"EV","rep2","1",3866,0.249162155194638,1
"EV","rep2","2",3871,0.2494844031967,2
"EV","rep2","3",1590,0.102474864655839,3
"EV","rep2","4",2382,0.153518948182521,4
"EV","rep2","5",528,0.0340293890177881,5
"EV","rep2","6",734,0.0473060067027584,6
"EV","rep2","7",494,0.0318381026037639,7
"EV","rep2","8",706,0.0455014178912091,8
"EV","rep2","9",632,0.0407321474606857,9
"EV","rep2","10",291,0.0187548337200309,10
"EV","rep2","11",218,0.0140500128899201,11
"EV","rep2","12",120,0.00773395204949729,12
"EV","rep2","13",39,0.00251353441608662,13
"EV","rep2","14",45,0.00290023201856148,14
"Scr","rep1","1",2831,0.187334568554791,1
"Scr","rep1","2",3147,0.208245103229222,2
"Scr","rep1","3",3293,0.217906299629434,3
"Scr","rep1","4",1331,0.0880757014293277,4
"Scr","rep1","5",1339,0.0886050820539968,5
"Scr","rep1","6",584,0.038644785600847,6
"Scr","rep1","7",1121,0.0741794600317628,7
"Scr","rep1","8",491,0.0324907358390683,8
"Scr","rep1","9",310,0.0205134992059291,9
"Scr","rep1","10",196,0.0129698253043939,10
"Scr","rep1","11",299,0.019785600847009,11
"Scr","rep1","12",52,0.00344097406034939,12
"Scr","rep1","13",35,0.00231604023292747,13
"Scr","rep1","14",83,0.0054923239809423,14
"Scr","rep2","1",4516,0.248459507042254,1
"Scr","rep2","2",4348,0.239216549295775,2
"Scr","rep2","3",2852,0.156910211267606,3
"Scr","rep2","4",2205,0.121313820422535,4
"Scr","rep2","5",947,0.0521016725352113,5
"Scr","rep2","6",866,0.0476452464788732,6
"Scr","rep2","7",292,0.0160651408450704,7
"Scr","rep2","8",753,0.0414282570422535,8
"Scr","rep2","9",520,0.0286091549295775,9
"Scr","rep2","10",325,0.0178807218309859,10
"Scr","rep2","11",396,0.0217869718309859,11
"Scr","rep2","12",77,0.00423635563380282,12
"Scr","rep2","13",18,0.000990316901408451,13
"Scr","rep2","14",61,0.00335607394366197,14
"miR29a","rep1","1",4083,0.247514548981571,1
"miR29a","rep1","2",3425,0.207626091173618,2
"miR29a","rep1","3",2771,0.167980116391853,3
"miR29a","rep1","4",1656,0.100387972841901,4
"miR29a","rep1","5",847,0.0513457807953443,5
"miR29a","rep1","6",1161,0.0703806983511154,6
"miR29a","rep1","7",1023,0.0620150339476237,7
"miR29a","rep1","8",661,0.0400703200775946,8
"miR29a","rep1","9",80,0.00484966052376334,9
"miR29a","rep1","10",201,0.0121847720659554,10
"miR29a","rep1","11",137,0.00830504364694471,11
"miR29a","rep1","12",145,0.00879000969932105,12
"miR29a","rep1","13",247,0.0149733268671193,13
"miR29a","rep1","14",59,0.00357662463627546,14
"miR29a","rep2","1",5530,0.304197150558337,1
"miR29a","rep2","2",4863,0.267506463501843,2
"miR29a","rep2","3",1894,0.104186148853072,3
"miR29a","rep2","4",2307,0.126904670223885,4
"miR29a","rep2","5",482,0.0265141096870015,5
"miR29a","rep2","6",840,0.0462071621101271,6
"miR29a","rep2","7",298,0.0163925408438308,7
"miR29a","rep2","8",938,0.0515979976896419,8
"miR29a","rep2","9",146,0.00803124484295066,9
"miR29a","rep2","10",355,0.0195280268441608,10
"miR29a","rep2","11",197,0.0108366796853512,11
"miR29a","rep2","12",131,0.00720611694812696,12
"miR29a","rep2","13",131,0.00720611694812696,13
"miR29a","rep2","14",67,0.00368557126354585,14
