"BaselineProp.clusters","BaselineProp.Freq","PropMean.EV","PropMean.miR29a","PropRatio","Tstatistic","P.Value","FDR","cluster","contrast","PropMean.Scr"
"8",0.0267022287623778,0.0497406999016727,0.006440452683357,7.72316828446072,5.03914325408175,2.49185245046381e-05,0.000348859343064934,"8","miR29a_vs_EV",NA
"12",0.0068824917992581,0.00232010209207335,0.0110897219076231,0.209211927170013,-3.60076811756132,0.00121182690017338,0.00848278830121365,"12","miR29a_vs_EV",NA
"0",0.24009013151844,0.197153683432369,0.275855849769954,0.714698215016222,-1.12435701290114,0.270408580422454,0.811481839314429,"0","miR29a_vs_EV",NA
"4",0.0512124835218738,0.0663268497557871,0.0389299452411729,1.70374885823468,1.0830256318971,0.290069645013517,0.811481839314429,"4","miR29a_vs_EV",NA
"6",0.0489898525399307,0.0618085973908033,0.0392037873957272,1.57659760693274,1.01969318063651,0.331137259132858,0.811481839314429,"6","miR29a_vs_EV",NA
"10",0.0117109660014102,0.0140696000516591,0.00957086166614797,1.47004528353211,0.954945033680698,0.347777931134755,0.811481839314429,"10","miR29a_vs_EV",NA
"11",0.00721971856893222,0.00635916715919405,0.007998063323724,0.79508837349804,-0.595823653837413,0.556079202266881,0.90756142692748,"11","miR29a_vs_EV",NA
"7",0.0420000613139581,0.0372054175253879,0.0458341588836182,0.81173994312538,-0.563707015030537,0.577440883118377,0.90756142692748,"7","miR29a_vs_EV",NA
"5",0.052484748152917,0.046547932573151,0.0582939302306212,0.798503933239688,-0.517284718117847,0.609020075496402,0.90756142692748,"5","miR29a_vs_EV",NA
"3",0.124038137281952,0.134810912916276,0.113646321532893,1.18623208475126,0.461143092761634,0.648258162091057,0.90756142692748,"3","miR29a_vs_EV",NA
"1",0.22695361599068,0.21269993403671,0.23756627733773,0.895328816952964,-0.358906804834359,0.722357103458744,0.91936358622022,"1","miR29a_vs_EV",NA
"2",0.142263711333885,0.15178903729901,0.136083132622462,1.11541404414992,0.242460033010575,0.810190954182027,0.945222779879032,"2","miR29a_vs_EV",NA
"9",0.0157270302584383,0.0153254463675585,0.0158563994550581,0.966514902137493,-0.0779435952179751,0.938427261852681,0.948925054843242,"9","miR29a_vs_EV",NA
"13",0.00372482295594592,0.00384261949834833,0.00363109794991065,1.05825277956021,0.0646335076113809,0.948925054843242,0.948925054843242,"13","miR29a_vs_EV",NA
"12",0.00634168591733738,NA,0.0110897219076231,0.149073040869633,-5.14291906007363,3.54136807271768e-05,0.000495791530180475,"12","miR29a_vs_Scr",0.00165317856716796
"8",0.0155378661918985,NA,0.00644045268335699,3.8136025952373,3.92458187063386,0.000514196038541823,0.00359937226979276,"8","miR29a_vs_Scr",0.0245613270677533
"10",0.0151405912040375,NA,0.00957086166614796,2.17183019294055,2.26973197333318,0.0311187228332728,0.145220706555273,"10","miR29a_vs_Scr",0.0207862863389974
"11",0.00595912481791563,NA,0.007998063323724,0.47994929418598,-2.10192620255882,0.0446808661256482,0.156383031439769,"11","miR29a_vs_Scr",0.0038386648470761
