"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-29b-3p","56/261",6.83467345388489e-14,2.07022258918173e-10,0,0,3.656943753111,110.857260720695,"ITGB1;BTG2;CRYBG1;TNFAIP3;BBC3;LASP1;NKIRAS2;C1QTNF6;DNMT3B;GOLGA7;KDM6B;ENTPD1;DUSP2;CSGALNACT2;COMMD2;TET2;ZFP91;CCDC117;RUNDC3B;MORF4L1;COX7A2L;TUBB2A;MYCN;IFNG;MORF4L2;TET3;DNAJB11;ANGPTL4;PPIC;B4GALT5;DOT1L;MAZ;ISG20L2;PDGFA;AGAP1;NEDD9;PIK3R1;HMGCR;ZBTB5;TDG;MCL1;KLHDC3;TGFB1;FEM1B;AMFR;CDK6;NASP;IMPDH1;SPRTN;MDM2;LRP10;MXD1;ABCE1;RSL24D1;TPT1;LIMS1","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","49/264",5.57060761703447e-10,5.62445682399913e-07,0,0,3.03385668752213,64.6464704225711,"ITGB1;KDM5B;BTG2;CRYBG1;TNFAIP3;BBC3;NKIRAS2;C1QTNF6;DNMT3B;GOLGA7;KDM6B;ENTPD1;DUSP2;CD93;KMT5C;COMMD2;TET2;ZFP91;SERPINB9;CCDC117;MORF4L1;COX7A2L;TUBB2A;MYCN;TRAF4;MORF4L2;TET3;DOT1L;MAZ;ISG20L2;AGAP1;NEDD9;PIK3R1;HMGCR;ZBTB5;TDG;MCL1;KLHDC3;FEM1B;AMFR;CDK6;NASP;IMPDH1;SPRTN;MDM2;HBP1;MXD1;ABCE1;LIMS1","miRTarBase_2017","DOWN"
"hsa-miR-29c-3p","47/254",1.38574418741873e-09,1.04935478592283e-06,0,0,3.01942861540507,61.5873715890903,"ITGB1;KDM5B;CHIC2;BTG2;CRYBG1;DOT1L;MAZ;ISG20L2;AGAP1;NEDD9;HMGCR;ZBTB5;BBC3;NKIRAS2;C1QTNF6;TDG;DNMT3B;GOLGA7;MCL1;KDM6B;KLHDC3;ENTPD1;DUSP2;FZD5;KMT5C;FEM1B;AMFR;KLHL28;COMMD2;TET2;ZFP91;CCDC117;MORF4L1;COX7A2L;TUBB2A;MYCN;CDK6;NASP;MTHFD2;MORF4L2;TET3;OTULIN;SPRTN;MDM2;MXD1;ABCE1;LIMS1","miRTarBase_2017","DOWN"
"mmu-miR-29b-3p","11/51",0.000789922287302602,0.0531705468497685,0,0,3.59654199011997,25.6921709998971,"EOMES;DUSP2;PIGT;BCL2L11;DNMT3B;CISD2;TNFAIP3;BAK1;ZBTB5;BBC3;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-299-5p","11/63",0.00465820536933846,0.105977533133622,0,0,2.76477932794094,14.8444458613737,"ATP6V1A;RAB21;SLC35A1;CDKN1A;DCUN1D5;H3F3B;SPP1;POLK;SEC63;CERS2;ATG5","miRTarBase_2017","DOWN"
"mmu-miR-297a-5p","35/341",0.0194657471118592,0.220006522394856,0,0,1.49981935822905,5.90793680870024,"UHRF1BP1L;CAB39;AMIGO1;SELENOF;PIK3R1;ELK3;STK3;EEA1;SLK;TSPAN9;ZMAT3;LEPROTL1;ZC3H12A;CAPN2;SRGAP3;P2RY12;SLC12A2;KCNK10;ATP8B2;SSR3;PBX3;SLC4A10;SUCO;SLC39A10;TM6SF1;ELL2;AZIN1;SULF2;DUSP22;UCK2;OSTM1;XPOT;GNAQ;VAMP4;LIMS1","miRTarBase_2017","DOWN"
"hsa-miR-29c-5p","3/13",0.0605773636479082,0.333010588910188,0,0,3.90778947368421,10.9567929632269,"JAGN1;DNMT3B;GSE1","miRTarBase_2017","DOWN"
"mmu-miR-29c-3p","4/24",0.0877576368572752,0.391484362357418,0,0,2.60561797752809,6.33992814613217,"PIGT;CISD2;ZBTB5;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29a-3p","6/47",0.116019248794669,0.431168645105865,0,0,1.90707008335906,4.10782736478115,"EOMES;PIGT;DNMT3B;CISD2;ZBTB5;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-2909","5/43",0.190368375857463,0.526168303322851,0,0,1.71376262159263,2.84277960587933,"PPP1CB;FOSL1;SLC2A1;AGAP1;HBP1","miRTarBase_2017","DOWN"
"hsa-miR-298","15/165",0.200405603904034,0.538571392178368,0,0,1.3037508846426,2.09566474732497,"DCTN6;CDKN1A;DUSP2;GDI1;DCUN1D3;KLHL28;AK2;BDH1;ID2;BBX;SSR1;BAX;SKIL;DCTPP1;BCL2L1","miRTarBase_2017","DOWN"
"mmu-miR-291b-3p","2/16",0.318283398268255,0.658565297179899,0,0,1.85914646363454,2.12837523299259,"CDKN1A;PPP1R3B","miRTarBase_2017","DOWN"
"mmu-miR-296-5p","1/7",0.404658592843407,0.693803510882013,0,0,2.1684185937865,1.96179334273373,"TMED9","miRTarBase_2017","DOWN"
"mmu-miR-292a-5p","11/146",0.471996507650799,0.741162876889808,0,0,1.060179304216,0.795965332698369,"PSMD9;CDK7;CD93;ZMAT3;PLEK;UBE2V2;PDCD4;RAB27B;HCCS;DCP2;VAMP3","miRTarBase_2017","DOWN"
"mmu-miR-290a-5p","11/146",0.471996507650799,0.741162876889808,0,0,1.060179304216,0.795965332698369,"PSMD9;CDK7;CD93;ZMAT3;PLEK;UBE2V2;PDCD4;RAB27B;HCCS;DCP2;VAMP3","miRTarBase_2017","DOWN"
"hsa-miR-296-3p","19/258",0.478769689228419,0.744074034870288,0,0,1.03437554751137,0.761854427966012,"ERO1A;EIF5A;KDM5B;ARF1;CXADR;HILPDA;MAZ;ISG20L2;PTMS;TOMM22;FOSL1;VMP1;PKM;LMNA;ANKRD52;SNRPC;OIT3;SEC63;GRINA","miRTarBase_2017","DOWN"
"mmu-miR-292a-3p","1/10",0.523336125254156,0.762279255765011,0,0,1.44537880557502,0.935928066747558,"ANKRD37","miRTarBase_2017","DOWN"
