"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"mmu-miR-296-3p","2/1605",0.280615556597452,0.743816612966781,0,0,2.0851811943515,2.64978502318845,"COTL1;MYH9","TargetScan_microRNA_2017","DOWN"
"mmu-miR-290-3p","2/1739",0.314061577800638,0.743816612966781,0,0,1.91029465640865,2.21243871198578,"VIM;ACPP","TargetScan_microRNA_2017","DOWN"
"mmu-miR-292-3p","2/1739",0.314061577800638,0.743816612966781,0,0,1.91029465640865,2.21243871198578,"VIM;ACPP","TargetScan_microRNA_2017","DOWN"
"mmu-miR-299","1/1884",0.723786249347046,0.743816612966781,0,0,0.801203752876615,0.258996456867289,"MYH9","TargetScan_microRNA_2017","DOWN"
"hsa-miR-296-3p","1/1950",0.736590048880753,0.743816612966781,0,0,0.771250213784847,0.235789534225445,"CCR2","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297a","1/1955",0.737537351330076,0.743816612966781,0,0,0.769063459570113,0.234132561551172,"CXCR6","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297b-5p","1/1955",0.737537351330076,0.743816612966781,0,0,0.769063459570113,0.234132561551172,"CXCR6","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297c","1/1955",0.737537351330076,0.743816612966781,0,0,0.769063459570113,0.234132561551172,"CXCR6","TargetScan_microRNA_2017","DOWN"
"hsa-miR-29a-5p","1/98",0.12428211698541,0.354782863357234,0,0,7.88104678826328,16.4335679096551,"GEM","miRTarBase_2017","UP"
"mmu-miR-297b-3p","1/169",0.204885024063133,0.36177824415826,0,0,4.53411172161172,7.18795594705536,"NFKBIA","miRTarBase_2017","UP"
"hsa-miR-296-3p","1/258",0.295871832231236,0.417088045436104,0,0,2.95061358874588,3.59334255318019,"IRF1","miRTarBase_2017","UP"
"mmu-miR-296-5p","3/1760",0.428542513249583,0.94187489350651,0,0,1.29595902105862,1.0981507458107,"IRF1;IL2RA;PIM1","TargetScan_microRNA_2017","UP"
"hsa-miR-296-3p","3/1950",0.497871857585188,0.94187489350651,0,0,1.15729327170005,0.807110850735571,"CD53;UBA52;GBP4","TargetScan_microRNA_2017","UP"
"mmu-miR-296-3p","2/1605",0.649532250518697,0.94187489350651,0,0,0.916781035558328,0.39559357441125,"SELL;ELOVL6","TargetScan_microRNA_2017","UP"
"mmu-miR-299","2/1884",0.736835483439677,0.94187489350651,0,0,0.769011689691817,0.234848969277111,"SELL;IFNGR1","TargetScan_microRNA_2017","UP"
"mmu-miR-297a","2/1955",0.756034201558694,0.94187489350651,0,0,0.738146441372248,0.206436428850535,"EGLN3;GBP2","TargetScan_microRNA_2017","UP"
"mmu-miR-297b-5p","2/1955",0.756034201558694,0.94187489350651,0,0,0.738146441372248,0.206436428850535,"EGLN3;GBP2","TargetScan_microRNA_2017","UP"
"mmu-miR-297c","2/1955",0.756034201558694,0.94187489350651,0,0,0.738146441372248,0.206436428850535,"EGLN3;GBP2","TargetScan_microRNA_2017","UP"
"mmu-miR-290-3p","1/1739",0.914368434894623,0.94187489350651,0,0,0.403536337080641,0.0361252537082189,"IRF1","TargetScan_microRNA_2017","UP"
"mmu-miR-292-3p","1/1739",0.914368434894623,0.94187489350651,0,0,0.403536337080641,0.0361252537082189,"IRF1","TargetScan_microRNA_2017","UP"
"hsa-miR-2964a-5p","1/1825",0.92462246718155,0.94187489350651,0,0,0.382696524966262,0.0299918380177971,"UBA52","TargetScan_microRNA_2017","UP"
