"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-29c-3p","10/254",2.47948519623515e-06,0.00393494300642518,0,0,7.52221541290026,97.0926915557817,"MORF4L1;CHIC2;ENTPD1;CDK6;MORF4L2;C1QTNF6;TDG;DOT1L;TET2;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-29b-3p","9/261",2.31583675850525e-05,0.00953205684448192,0,0,6.4917328042328,69.2872664910672,"MORF4L1;ENTPD1;CDK6;MORF4L2;C1QTNF6;TDG;DOT1L;TET2;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","9/264",2.53361518093682e-05,0.00953205684448192,0,0,6.41437908496732,67.8851587014587,"MORF4L1;ENTPD1;CDK6;MORF4L2;C1QTNF6;TDG;DOT1L;TET2;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29b-3p","3/51",0.00331208428119776,0.228533815402645,0,0,10.874451754386,62.0950507719076,"EOMES;BAK1;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29a-3p","2/47",0.0309104649577694,0.561887405037419,0,0,7.66685990338164,26.655068836708,"EOMES;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-299-5p","2/63",0.0525933857565498,0.561887405037419,0,0,5.65131860299359,16.644065262955,"CDKN1A;KLF3","miRTarBase_2017","DOWN"
"mmu-miR-291b-3p","1/16",0.0896351632087383,0.561887405037419,0,0,11.4183908045977,27.5412452801345,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-29c-3p","1/24",0.131417871251628,0.606152340894734,0,0,7.44377811094453,15.1062036242024,"MCL1","miRTarBase_2017","DOWN"
"hsa-miR-298","2/165",0.251356357667076,0.682835126981234,0,0,2.10402774073086,2.90541739077515,"CDKN1A;AK2","miRTarBase_2017","DOWN"
"mmu-miR-295-3p","1/61",0.301232112210706,0.682835126981234,0,0,2.84813218390805,3.41740025301623,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-294-3p","1/61",0.301232112210706,0.682835126981234,0,0,2.84813218390805,3.41740025301623,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-291a-3p","1/62",0.30533240383233,0.682835126981234,0,0,2.80130016958734,3.32333435386645,"CDKN1A","miRTarBase_2017","DOWN"
"hsa-miR-29a-5p","1/98",0.438074137746971,0.692845874757863,0,0,1.75844294347672,1.45136098559731,"PLAC8","miRTarBase_2017","DOWN"
"hsa-miR-296-3p","2/258",0.446873633876973,0.692845874757863,0,0,1.33335597826087,1.0739908034859,"IRF1;ICAM1","miRTarBase_2017","DOWN"
"mmu-miR-297b-3p","1/169",0.630554229122531,0.755807825995058,0,0,1.01164819376026,0.46652775337632,"NFKBIA","miRTarBase_2017","DOWN"
"mmu-miR-298-5p","1/219",0.725274698451038,0.795996505146471,0,0,0.777641569123695,0.249782205828773,"TSPAN31","miRTarBase_2017","DOWN"
"mmu-miR-297a-5p","1/341",0.867072395121346,0.899963303503974,0,0,0.495512170385396,0.0706762907592992,"TM6SF1","miRTarBase_2017","DOWN"
"mmu-miR-290-3p","12/1739",0.318226691539188,0.823396319205871,0,0,1.20148895690297,1.37569438310987,"PLAC8;EHD3;CDKN1A;SLC35B4;CDK6;SETBP1;IRF1;IL2RB;AK2;PIM2;LAGE3;ATF3","TargetScan_microRNA_2017","DOWN"
"mmu-miR-292-3p","12/1739",0.318226691539188,0.823396319205871,0,0,1.20148895690297,1.37569438310987,"PLAC8;EHD3;CDKN1A;SLC35B4;CDK6;SETBP1;IRF1;IL2RB;AK2;PIM2;LAGE3;ATF3","TargetScan_microRNA_2017","DOWN"
"mmu-miR-299","12/1884",0.423291521146433,0.823396319205871,0,0,1.09957264957265,0.945296187555588,"GPRIN3;TMEM254;ENAH;XBP1;SLC35B4;CDK6;SELL;SETBP1;F2R;TET2;LRRC32;KLF3","TargetScan_microRNA_2017","DOWN"
"hsa-miR-296-3p","12/1950",0.471811349433499,0.823396319205871,0,0,1.05823381984373,0.794919907851376,"GPRIN3;TMEM254;CD53;ENTPD1;HIP1;SETBP1;DOT1L;AK2;LIF;SLC2A6;ADAMTS6;ICAM1","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297a","12/1955",0.475472712807968,0.823396319205871,0,0,1.05521652819646,0.784496280104373,"GPRIN3;ENAH;PSMA5;PTGER4;EGLN3;SLC35B4;CDK6;SETBP1;AK2;TMEM97;EMB;GBP2","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297b-5p","12/1955",0.475472712807968,0.823396319205871,0,0,1.05521652819646,0.784496280104373,"GPRIN3;ENAH;PSMA5;PTGER4;EGLN3;SLC35B4;CDK6;SETBP1;AK2;TMEM97;EMB;GBP2","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297c","12/1955",0.475472712807968,0.823396319205871,0,0,1.05521652819646,0.784496280104373,"GPRIN3;ENAH;PSMA5;PTGER4;EGLN3;SLC35B4;CDK6;SETBP1;AK2;TMEM97;EMB;GBP2","TargetScan_microRNA_2017","DOWN"
"mmu-miR-296-3p","9/1605",0.602248662011332,0.846751323939009,0,0,0.954835004177109,0.484182373594662,"GPRIN3;H1F0;FRMD6;CDK6;SELL;RGS1;MYO6;BAK1;MCL1","TargetScan_microRNA_2017","DOWN"
"mmu-miR-293","2/382",0.657513344591219,0.889553042222073,0,0,0.892585812356979,0.374252500900073,"SETBP1;DOT1L","TargetScan_microRNA_2017","DOWN"
"hsa-miR-2909","10/1912",0.691491085441591,0.889553042222073,0,0,0.883526440441444,0.325937338814933,"XBP1;SLC35B4;FRMD6;CDK6;HIP1;MYO6;DOT1L;AK2;FAM229B;EMB","TargetScan_microRNA_2017","DOWN"
"hsa-miR-2964a-5p","8/1825",0.847982177578216,0.932877247243786,0,0,0.729744058408608,0.120331628447337,"ENAH;ENTPD1;CDK6;SETBP1;TDG;IL2RB;CCR5;ADAMTS6","TargetScan_microRNA_2017","DOWN"
"mmu-miR-296-5p","7/1760",0.898907003213764,0.94617042589919,0,0,0.658144479593424,0.0701422050350326,"TMEM254;SEMA7A;CDK6;IRF1;BAK1;METRNL;CCR5","TargetScan_microRNA_2017","DOWN"
"hsa-miR-296-3p","2/258",0.153781314910109,0.483295791890754,0,0,2.95823317307692,5.53847431244127,"ESYT1;PTMS","miRTarBase_2017","UP"
"hsa-miR-296-5p","1/74",0.181626328584117,0.483295791890754,0,0,5.13646937193073,8.76180918964115,"ARL4C","miRTarBase_2017","UP"
"hsa-miR-298","1/165",0.361059051699942,0.549604986335435,0,0,2.27588587206627,2.31847624475631,"KLF2","miRTarBase_2017","UP"
"hsa-miR-29c-3p","1/254",0.498981732028681,0.623363475726792,0,0,1.46864046535909,1.02097798663318,"EMP1","miRTarBase_2017","UP"
"hsa-miR-29b-3p","1/261",0.508495865961706,0.627022959898103,0,0,1.42859216255443,0.96615429863437,"EMP1","miRTarBase_2017","UP"
"hsa-miR-29a-3p","1/264",0.51251885923968,0.628367185076404,0,0,1.41208121099075,0.943860174293148,"EMP1","miRTarBase_2017","UP"
"mmu-miR-297a-5p","1/341",0.605399193823067,0.694860977014492,0,0,1.08801331853496,0.54603821301029,"PDE5A","miRTarBase_2017","UP"
"mmu-miR-296-5p","10/1760",0.0181090243658893,0.430190570734833,0,0,2.36311688311688,9.47927681279455,"ARL4C;RAP1GAP2;P2RX7;STK10;RASSF3;SLC9A9;CRMP1;CD27;PLEC;PACSIN1","TargetScan_microRNA_2017","UP"
"mmu-miR-299","10/1884",0.0276806569209356,0.437083182150724,0,0,2.19171436887552,7.86172637852025,"KLF12;PRC1;SLC9A9;EMP1;MYH9;PDE5A;KCNAB2;TNIK;AFF3;PACSIN1","TargetScan_microRNA_2017","UP"
"mmu-miR-290-3p","9/1739",0.0418890121083997,0.447330427868232,0,0,2.10589595375723,6.68144290686737,"ARL4C;RAP1GAP2;STK10;KLF12;AHNAK;S1PR1;E2F2;KCNAB2;TNIK","TargetScan_microRNA_2017","UP"
"mmu-miR-292-3p","9/1739",0.0418890121083997,0.447330427868232,0,0,2.10589595375723,6.68144290686737,"ARL4C;RAP1GAP2;STK10;KLF12;AHNAK;S1PR1;E2F2;KCNAB2;TNIK","TargetScan_microRNA_2017","UP"
"mmu-miR-296-3p","8/1605",0.0649304387800284,0.550153852906457,0,0,1.99820315265035,5.46396414046082,"P2RX7;KLF12;CALCRL;PRC1;MYH9;E2F2;NDRG1;PACSIN1","TargetScan_microRNA_2017","UP"
"hsa-miR-2964a-5p","7/1825",0.21938708615172,0.73954679041467,0,0,1.48510170165953,2.25277689821165,"RAP1GAP2;CALCRL;LEF1;ARHGEF18;CRMP1;KCNN4;PACSIN1","TargetScan_microRNA_2017","UP"
"hsa-miR-296-3p","7/1950",0.271260160265096,0.749899019856682,0,0,1.37997831824005,1.8004258586383,"P2RX7;KLF12;ITGA4;E2F2;ESYT1;AFF3;PLEC","TargetScan_microRNA_2017","UP"
"mmu-miR-297a","5/1955",0.618127449809436,0.821449635334789,0,0,0.941705913134485,0.453017624141158,"CAST;EMP1;PDE5A;KCNAB2;AFF3","TargetScan_microRNA_2017","UP"
"mmu-miR-297b-5p","5/1955",0.618127449809436,0.821449635334789,0,0,0.941705913134485,0.453017624141158,"CAST;EMP1;PDE5A;KCNAB2;AFF3","TargetScan_microRNA_2017","UP"
"mmu-miR-297c","5/1955",0.618127449809436,0.821449635334789,0,0,0.941705913134485,0.453017624141158,"CAST;EMP1;PDE5A;KCNAB2;AFF3","TargetScan_microRNA_2017","UP"
"mmu-miR-293","1/382",0.647523185326772,0.821449635334789,0,0,0.968900113900857,0.421084646992125,"LEF1","TargetScan_microRNA_2017","UP"
"hsa-miR-2909","4/1912",0.771591899073129,0.857780355884489,0,0,0.756310272536688,0.196110873149472,"RASSF3;SLC9A9;E2F2;PDE5A","TargetScan_microRNA_2017","UP"
