"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-29b-3p","30/261",1.8777790413889e-08,5.23712574643363e-05,0,0,3.61247511612475,64.2680673841335,"ITGB1;GRN;DOT1L;ISG20L2;IFIH1;MYC;C1QTNF6;TBX21;TDG;DNMT3B;GOLGA7;MCL1;KDM6B;KLHDC3;ENTPD1;STAT3;DNMT3A;TET2;TET1;CCDC117;MORF4L1;MYCN;CDK6;IFNG;MORF4L2;DNAJB11;SPRTN;ID3;SGK1;MXD1","miRTarBase_2017","DOWN"
"hsa-miR-29c-3p","29/254",3.75887167548787e-08,5.24174655146783e-05,0,0,3.58108195659216,61.2241894039233,"ITGB1;CD274;KDM5B;CHIC2;SPIN4;DOT1L;ISG20L2;C1QTNF6;TDG;DNMT3B;GOLGA7;MCL1;KDM6B;KLHDC3;ENTPD1;WSB2;FZD5;DNMT3A;TET2;CCDC117;MORF4L1;MYCN;CDK6;MORF4L2;SPRTN;ID3;SGK1;MXD1;CREB5","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","28/264",3.03587633394589e-07,0.000282235303179169,0,0,3.28973922482915,49.3710756705222,"ITGB1;KDM5B;DOT1L;ISG20L2;MYC;C1QTNF6;TDG;DNMT3B;GOLGA7;MCL1;KDM6B;KLHDC3;ENTPD1;CD93;DNMT3A;TET2;TET1;CCDC117;MORF4L1;MYCN;CDK6;TRAF4;MORF4L2;SPRTN;ID3;HBP1;SGK1;MXD1","miRTarBase_2017","DOWN"
"mmu-miR-29a-3p","6/47",0.00630290367756176,0.475102658289723,0,0,3.97206646255461,20.1254472952573,"EOMES;TBX21;DNMT3A;DNMT3B;TET1;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29b-3p","6/51",0.00937839758548456,0.536080040724568,0,0,3.61824165491302,16.8948235142172,"EOMES;TBX21;DNMT3A;DNMT3B;BAK1;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-29c-5p","3/13",0.00995072568083889,0.536080040724568,0,0,8.12148876404494,37.4409549232247,"JAGN1;DNMT3A;DNMT3B","miRTarBase_2017","DOWN"
"hsa-miR-298","10/165",0.0726156021261392,0.68437791170415,0,0,1.75062914664836,4.59115706568276,"CDKN1A;TMEM178B;BDH1;DCUN1D3;ID2;FBXO28;AK2;SSR1;CD9;BAX","miRTarBase_2017","DOWN"
"mmu-miR-296-5p","1/7",0.22498365080235,0.878952043393535,0,0,4.50023342670401,6.71312215037667,"TMED9","miRTarBase_2017","DOWN"
"mmu-miR-291b-3p","1/16",0.441609297866803,0.923148714848865,0,0,1.79925303454715,1.47058299564867,"CDKN1A","miRTarBase_2017","DOWN"
"hsa-miR-2909","2/43",0.457973527838739,0.929736174475381,0,0,1.31659425991174,1.02818625080928,"SLC2A1;HBP1","miRTarBase_2017","DOWN"
