"","Eomes_HI","INFI_stimulated","Tcm","Tcmp","Tfh_Effector","Tfh_Memory","Th1_Effector","Th1_Memory","Treg"
"0",120,1144,339,1111,1223,35,18,0,66
"1",49,1042,522,1095,589,57,9,3,154
"2",31,771,373,694,662,88,11,1,57
"3",24,242,281,408,622,43,6,0,21
"4",21,1389,315,905,516,6,0,0,38
"5",2,1325,268,386,121,106,0,1,196
"6",61,167,9,37,1945,170,87,0,35
"7",25,383,122,446,340,12,1,0,9
"8",1,164,52,37,74,26,0,0,1
"9",1,80,5,118,617,17,21,0,37
"10",2,207,3,90,183,5,10,0,50
"11",0,7,25,6,15,10,0,0,5
"12",0,3,38,4,3,24,0,0,7
"13",0,7,1,0,8,3,1,0,123
