"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.36571454447377,0.78,0.498,0,"0","Kdm5b"
0,0.957139589529781,0.928,0.828,0,"0","Prr13"
0,1.04136858575566,0.932,0.838,0,"0","Nabp1"
0,0.856664306505893,0.946,0.852,0,"0","S100a11"
0,0.817241963068076,0.994,0.963,0,"0","Ccng1"
0,0.742678744087157,0.997,0.987,0,"0","Ccnd2"
0,0.853464012594404,0.998,0.991,0,"0","S100a10"
0,0.513606732339785,1,0.999,0,"0","Laptm5"
0,0.369526893711112,0.999,0.998,0,"0","Rps27l"
9.43764196685949e-320,0.815171206046053,0.915,0.795,2.0948733873838e-315,"0","Btg1"
4.00902113400875e-313,0.419953159062864,0.999,0.998,8.89882421115921e-309,"0","Jarid2"
1.00646246529036e-312,1.13545360308303,0.78,0.561,2.23404473420501e-308,"0","Neb"
1.48788738487489e-311,1.28429700775901,0.564,0.271,3.3026636282068e-307,"0","Serpine2"
5.04204844285311e-306,0.668848577910816,0.974,0.942,1.1191834928601e-301,"0","Chsy1"
4.37621145309299e-299,1.64795991237671,0.361,0.126,9.7138765624305e-295,"0","Mxd4"
3.29428847859409e-294,0.858634526669155,0.825,0.594,7.31233213593531e-290,"0","Zmat3"
7.26871020860597e-292,0.368135995291526,0.999,0.997,1.61343560500427e-287,"0","Arpc5"
1.76352004167321e-287,0.935323217071575,0.874,0.718,3.91448543650203e-283,"0","Ahnak"
3.81952644659295e-286,0.607098277603211,0.986,0.974,8.47820285350237e-282,"0","Srgn"
1.3513716264349e-283,0.622885975991663,0.996,0.975,2.99963959919754e-279,"0","Il2ra"
5.00227057575607e-280,0.776597861094812,0.922,0.813,1.11035399970057e-275,"0","Gm19585"
2.28049094637826e-271,0.60241151919707,0.992,0.975,5.06200575367583e-267,"0","Vim"
6.77730858871108e-268,0.777501189132192,0.891,0.78,1.5043591874362e-263,"0","Ube2h"
2.55630447976559e-265,1.08761466659016,0.738,0.531,5.67422905373569e-261,"0","Ifi214"
4.9349826446891e-264,0.77393568222294,0.933,0.859,1.09541809764164e-259,"0","Mctp2"
1.54674168634919e-258,0.297623894666923,1,1,3.4333025211893e-254,"0","Tmsb4x"
1.64544857120825e-258,0.58113713513648,0.984,0.948,3.65240219351094e-254,"0","Atxn1"
7.29740604384737e-258,0.984471860532361,0.879,0.746,1.6198052195528e-253,"0","P2ry14"
1.12447635098264e-256,0.479995375034849,0.997,0.991,2.49600015627617e-252,"0","Macf1"
1.41044718923593e-256,0.830035395106923,0.983,0.953,3.13076962594698e-252,"0","S100a6"
5.12569128695811e-256,0.634688129998051,0.979,0.951,1.13774969496609e-251,"0","S100a13"
2.56006935983741e-251,0.345760302248592,0.998,0.996,5.6825859580311e-247,"0","Bax"
4.28718349192027e-251,0.610188381255154,0.992,0.973,9.51626119701541e-247,"0","Ctla2a"
7.51670451013676e-249,0.497288839068803,0.999,0.997,1.66848290011506e-244,"0","Foxp1"
1.18810420027293e-246,0.422899785927415,0.999,0.995,2.63723489334582e-242,"0","Gimap3"
2.223797270416e-245,1.43268636791417,0.516,0.282,4.9361628011424e-241,"0","Gm17767"
4.51003353301159e-245,0.548413713996699,0.969,0.928,1.00109214332258e-240,"0","Traf3ip3"
5.22328679907791e-244,0.562655548657005,0.99,0.967,1.15941297079132e-239,"0","Pvt1"
6.48366603932715e-242,0.435582271840764,0.995,0.993,1.43917935074945e-237,"0","Fli1"
4.18816829283857e-241,0.968578928170651,0.871,0.779,9.29647715961377e-237,"0","Vav3"
2.55056041840076e-240,0.414101622827674,0.996,0.987,5.66147896072417e-236,"0","Ndfip1"
1.1909087088735e-233,0.714934044366439,0.954,0.921,2.64346006108652e-229,"0","Ctsd"
4.54735661253981e-232,0.661336699392145,0.914,0.821,1.00937674728546e-227,"0","Glipr1"
4.74964810030031e-232,0.285405316896422,1,0.999,1.05427938882366e-227,"0","Myl6"
1.56643729845942e-231,0.977746454593776,0.771,0.622,3.47702087139037e-227,"0","Entpd1"
3.35870147050649e-227,1.00375616755176,0.68,0.477,7.45530965408325e-223,"0","Gpr55"
2.55293538584217e-224,1.14757327201414,0.652,0.45,5.66675067595387e-220,"0","Lilrb4b"
2.62148522498197e-224,0.282360672696113,1,0.998,5.81891075389247e-220,"0","Pdia3"
4.76820616542774e-224,0.433216753865236,0.986,0.977,1.05839872253999e-219,"0","Selenok"
7.11570405627713e-224,0.407668057487301,0.996,0.989,1.57947282937183e-219,"0","Cd53"
1.76252115701351e-222,0.298909556502458,1,0.999,3.9122682122229e-218,"0","Ptprc"
4.96369244580238e-218,0.519222880934718,0.981,0.962,1.10179081219475e-213,"0","Gramd1b"
1.28574641800852e-215,0.359308334693117,1,0.994,2.85397132405351e-211,"0","Cdk6"
3.28759829844566e-215,0.379634210174427,0.994,0.986,7.29748194305982e-211,"0","Fermt3"
7.40716928715165e-215,0.964812171337712,0.84,0.71,1.64416936666905e-210,"0","Lgals3"
1.4150638288916e-213,0.432546636456228,0.991,0.985,3.14101718099068e-209,"0","Pdia6"
6.92381071685315e-212,0.380922515324764,0.993,0.983,1.53687826481989e-207,"0","Pdcd6ip"
9.70146954332868e-212,0.785244816728295,0.886,0.787,2.15343519453267e-207,"0","Emilin2"
1.95869368017607e-210,0.467935160906142,0.999,0.999,4.34771236188681e-206,"0","Inpp4b"
1.9877681102021e-208,0.741862774939047,0.829,0.707,4.4122488742156e-204,"0","Trpv2"
7.54781951461091e-207,0.63777557176913,0.941,0.889,1.67538949765818e-202,"0","Ppm1h"
7.23716131167037e-206,0.500755489406917,0.992,0.984,1.60643269635147e-201,"0","Akap13"
5.05255123598219e-205,0.872204481755732,0.774,0.636,1.12151479785097e-200,"0","Capg"
5.62457286324374e-204,0.999523477336488,0.691,0.508,1.24848643845421e-199,"0","Adam8"
3.87227432159852e-203,0.842410922759341,0.788,0.642,8.59528731165223e-199,"0","Myo1f"
1.08014415225051e-201,0.607516401713298,0.928,0.862,2.39759597475047e-197,"0","Cd28"
4.53690054086868e-201,1.09126492833783,0.596,0.396,1.00705581305662e-196,"0","Lrrk1"
1.90636968443694e-200,0.510787995449534,0.96,0.945,4.23156878854468e-196,"0","Cstb"
7.39626268313845e-200,0.394294078156344,0.994,0.985,1.64174842777624e-195,"0","Tes"
1.15334869589447e-198,0.294265661765412,0.999,0.998,2.56008810027696e-194,"0","Fxyd5"
