"","g0","g1","g2","g3","g4","g5","g6"
"Xkr4",0.0040670132263684,0.00470320599335545,0.00446668613412876,0.0049694513316208,0.0043847127024247,0.00277554835631468,0.00261656831157532
"Gm37381",0.000612903665055043,0.000475313655496754,0.000330874905258777,0.000666117743964736,0.000699021521724211,0.00075891839108054,0.00139601730223844
"Rp1",0.000128361504801024,0.000313287097557424,0,0,0,0,0
"Mrpl15",1.28088566023585,1.27903265528707,1.54468594779559,1.59404104362825,1.66284983447275,1.69893492000667,0.947556008724938
"A930006A01Rik",0.000444447525613849,0.000590686669852135,0.000156123116056742,0.000652866811992805,0.000600226001758663,0.000391347188432654,0.00415465373796156
"Lypla1",0.559512672812274,0.612616306440133,0.55683495866201,0.549317479562001,0.537580621342944,0.569036283186692,0.658729965252141
"Tcea1",1.75861486769598,1.69285400400173,1.98043708465159,2.14033514642279,2.78399016413393,3.1928711382198,1.44646012259784
"Rgs20",0.00121843309974247,0.00103883223785329,0.000864760666197354,0.00131950658370141,0.00135175372045734,0.00117491306137974,0.00514300712362915
"Atp6v1h",0.381256999407525,0.555701582682708,0.448044108853484,0.488531137569768,0.399467948579568,0.54488398498378,0.654583312294376
"4732440D04Rik",0.0503832540098006,0.0841582975459904,0.0442564026407208,0.0831478376957896,0.044756705773444,0.0912629092363071,0.160481461670961
"Rb1cc1",0.407499958247027,0.590620249669518,0.375083016854003,0.402321679435988,0.440704695411226,0.559680176270396,1.1456708931982
"Alkal1",4.64587276227473e-05,7.7747661443641e-05,7.99035532151272e-05,0,0.000218076942997413,0,0
"St18",0.0109446735848914,0.012178620513515,0.00573035398161106,0.00360784343469148,0.0024020477486998,0.00503632346605792,0.0133301257573283
"Gm57122",0.000821713533568292,0.0013233664638966,0.00108081749120657,0.00122219896311747,0.000728785999920596,0.000383193148506505,0.00606720269926268
"Pcmtd1",0.292988856344596,0.419526028230049,0.337291358368435,0.276766670122098,0.319800482553125,0.390070298507301,0.857534101032999
"Gm26901",0.0318077482147276,0.0455222721187409,0.0398744513963811,0.0417150883530291,0.0311650132879901,0.0486664161236879,0.0324568115877788
"Gm30414",0.00204264718589761,0.00194535415048768,0.000987881266930239,0.00111754415002876,0.000623785977308672,0,0.00642736343300584
"Sntg1",0.0129761471700662,0.00497426821890227,0.00864854710248066,0.00795500661103973,0.00870207111509017,0.0105999092915667,0.00178019884821135
"Rrs1",0.948297135028838,0.874824991685946,1.18367618008936,1.42102456638312,0.99510750129966,1.01368046633714,0.518051510505925
"Adhfe1",0.012027667258939,0.0123442249907023,0.0141691386579649,0.0176107281853146,0.0121933402157922,0.0118029359152518,0.00734509772589477
