"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.37621145309299e-299,1.64795991237671,0.361,0.126,9.7138765624305e-295,"0","Mxd4"
3.13507165902027e-158,1.48438380428336,0.37,0.192,6.95891856152729e-154,"0","Havcr2"
2.16533547281236e-132,1.47984948080325,0.405,0.24,4.8063951490016e-128,"0","Il24"
9.07959771343248e-104,1.47703967722102,0.283,0.151,2.01539830445061e-99,"0","Tent5a"
6.51998685329867e-84,1.4762423069508,0.257,0.142,1.44724148182671e-79,"0","Cysltr1"
2.223797270416e-245,1.43268636791417,0.516,0.282,4.9361628011424e-241,"0","Gm17767"
6.55444186814466e-95,1.40166026050628,0.286,0.159,1.45488946147207e-90,"0","Tnfrsf8"
6.41194981184804e-139,1.4001147236376,0.374,0.21,1.42326049973591e-134,"0","Ltb4r1"
2.72928405883829e-110,1.38761569014366,0.297,0.161,6.05819182540335e-106,"0","Pak6"
3.20328422044752e-104,1.37438786960484,0.291,0.154,7.11032998412736e-100,"0","Maf"
0,1.36571454447377,0.78,0.498,0,"0","Kdm5b"
3.85720880918985e-152,1.36266872942446,0.35,0.183,8.56184639375871e-148,"0","Gm15473"
1.41189119763159e-92,1.32934038980087,0.253,0.133,3.13397489138285e-88,"0","Megf11"
1.48788738487489e-311,1.28429700775901,0.564,0.271,3.3026636282068e-307,"0","Serpine2"
5.23050463393611e-159,1.25639666979363,0.38,0.203,1.1610151135948e-154,"0","Gm30054"
4.84721882679583e-118,1.20998079554323,0.307,0.159,1.07593716298387e-113,"0","Marcks"
4.03538636586463e-75,1.20776985248401,0.254,0.145,8.95734711630972e-71,"0","Il10"
1.12812276221219e-79,1.18582728724608,0.603,0.489,2.50409409528239e-75,"0","Prf1"
3.90096249220663e-109,1.17469983188757,0.291,0.153,8.65896644395105e-105,"0","Dcxr"
5.60483639568341e-117,1.17301547301486,0.318,0.172,1.24410553474985e-112,"0","Prrg4"
0,2.46652448036042,0.696,0.177,0,"1","Ung"
2.39752154181615e-171,1.65544648757971,0.301,0.129,5.32177856636932e-167,"1","Rapgef5"
0,1.45557712662235,0.809,0.406,0,"1","Ccne2"
0,1.45501764557795,0.92,0.557,0,"1","Cdc6"
0,1.28629512734245,0.95,0.677,0,"1","Dtl"
0,1.27108422095484,0.693,0.405,0,"1","Dna2"
3.69735865322062e-116,1.25100473966473,0.335,0.187,8.20702700255381e-112,"1","Bag2"
1.42340128927554e-220,1.2412375639465,0.507,0.279,3.15952384180491e-216,"1","Ppargc1b"
2.69407390635214e-298,1.19337232547722,0.64,0.37,5.98003584992985e-294,"1","E2f1"
0,1.18309013734164,0.886,0.644,0,"1","Zmynd19"
1.61822675068271e-80,1.15505197610422,0.251,0.135,3.59197791849041e-76,"1","Tmem158"
5.69277029317852e-84,1.14778026951149,0.279,0.159,1.26362422197684e-79,"1","Bend3"
0,1.14401313830627,0.77,0.524,0,"1","Exo1"
0,1.13377896968166,0.944,0.693,0,"1","Cdca7"
5.44141128267232e-288,1.13223938525509,0.658,0.399,1.20783006241478e-283,"1","Chaf1b"
3.13637484060958e-301,1.108281826388,0.722,0.472,6.96181123370109e-297,"1","Cgas"
1.06508040977619e-100,1.03895057256308,0.367,0.228,2.3641589855802e-96,"1","Tarbp1"
1.71926509360876e-167,1.03035592661309,0.579,0.388,3.81625272828337e-163,"1","Alpl"
9.7586746285057e-98,1.02150394428494,0.423,0.278,2.16613300728941e-93,"1","Pbx3"
1.06691957259726e-98,1.0214858832245,0.329,0.189,2.36824137529414e-94,"1","Alkbh2"
0,1.7217762706691,0.949,0.45,0,"2","Esco2"
0,1.68945977877705,0.921,0.406,0,"2","Neil3"
0,1.57896750750763,0.734,0.303,0,"2","E2f7"
0,1.50496288087659,0.989,0.536,0,"2","H2ac24"
0,1.50410264304287,0.906,0.463,0,"2","E2f8"
0,1.48899166307,0.875,0.403,0,"2","H2ac18"
0,1.4482425572912,0.756,0.317,0,"2","H3c11"
0,1.44268555511292,0.987,0.646,0,"2","H2ac20"
0,1.42014970733502,0.629,0.242,0,"2","H2ac4"
