"","Naive_Tcm","Effector_cytotox","Exhaustion","Proliferation","ISR_stress","Activation"
"0",0.1008,0.5609,0.0527,-0.7507,-0.0322,-0.0034
"1",0.0077,0.3456,-0.0333,-0.4646,-0.038,-0.0227
"2",-0.0211,0.5198,-0.011,0.2353,-0.0302,-0.0179
"3",0.0133,0.3668,-0.0353,0.573,-0.0247,-0.0252
"4",-0.0697,0.3792,-0.0371,-0.0123,-0.0106,-0.0233
"5",-0.077,0.4217,-0.0477,0.2153,0.2887,-0.0076
"6",-0.0038,0.4417,-0.0179,-0.7717,0.3043,-0.0012
"7",0.0134,0.5112,-0.0149,0.5693,-0.0432,-0.0311
"8",-0.0299,0.772,0.1728,-0.4827,-0.0291,0.5445
"9",0.549,0.1728,-0.017,-0.7771,-0.076,-0.0414
