"cluster","n_cells","proposed_state","merged_group","action","projectils_majority","projectils_frac","top_markers"
"0",4133,"Effector - cytotoxic","Effector","keep","Eff Early",0.63,"Mxd4, Havcr2, Il24, Tent5a, Cysltr1, Gm17767"
"1",3816,"Proliferating effector (S-phase)","Proliferating","keep","Eff Early",0.98,"Ung, Rapgef5, Ccne2, Cdc6, Dtl, Dna2"
"2",3793,"Proliferating effector (S/G2, histone)","Proliferating","keep","Eff Early",0.87,"Esco2, Neil3, E2f7, H2ac24, E2f8, H2ac18"
"3",3598,"Proliferating effector (G2/M)","Proliferating","keep","Eff Early",0.82,"Pif1, Fam83d, Tnfaip8l1, Cdc25b, Cenpf, Depdc1b"
"4",2025,"Proliferating effector (mitotic, sterol-high)","Proliferating","keep","Eff Early",0.97,"Cdc20, Cep89, Cenpa, Nek2, Knstrn, Insig1"
"5",1270,"ISR / metabolic-stress effector (cycling)","ISR/stress","keep","Eff Early",0.89,"Trib3, Cox6a2, Nupr1, Chac1, Angptl6, Slc7a11"
"6",790,"ISR / metabolic-stress effector (non-cycling)","ISR/stress","keep","Eff Early",0.79,"Nupr1, Slc7a11, Cox6a2, Agap1, Angptl6, Trib3"
"7",679,"EXCLUDE - doublet / ambient","EXCLUDE","exclude","Eff Early",0.84,"Robo3, Gria3, Sulf2, Ak1, 5830418P13Rik, Marcks"
"8",523,"Activated effector (cytokine+)","Activated effector","keep","Eff Early",0.51,"Ccl3, Xcl1, Ccl4, Egr3, Cyp11a1, Il4"
"9",426,"Stem-like / memory-precursor (Tcf7+)","Stem/precursor","keep","Tpex",0.47,"Arl5c, Tcp11l2, Ifit1, Ifngas1, Gm26740, Tcf7"
