"coarse_annot","set","EV","miR29a","delta"
"Effector 1","GO: AUTOPHAGY",0.0926522633939815,0.0904233781864142,-0.00222888520756738
"Effector 1","GO: MITOCHONDRIAL BIOGENESIS",0.122057383683519,0.118920145129726,-0.00313723855379323
"Effector 1","GO: MITOPHAGY",0.120474765543472,0.118322651741215,-0.00215211380225676
"Effector 1","GO: RIBOSOME BIOGENESIS",0.259003945159628,0.260888208788077,0.00188426362844957
"Effector 1","H: APOPTOSIS",0.0996402597164849,0.0911919825805576,-0.00844827713592729
"Effector 1","H: FATTY ACID METABOLISM",0.106210145406512,0.102459346459297,-0.00375079894721546
"Effector 1","H: GLYCOLYSIS",0.111066720508021,0.109248402795028,-0.00181831771299293
"Effector 1","H: HYPOXIA",0.0930962270731485,0.0883552714020369,-0.00474095567111169
"Effector 1","H: IL2 STAT5 SIGNALING",0.0891924637176133,0.0818688454783182,-0.00732361823929512
"Effector 1","H: MTORC1 SIGNALING",0.246055845451576,0.23813540545498,-0.00792043999659525
"Effector 1","H: MYC TARGETS V1",0.509280065987181,0.513330305682204,0.00405023969502327
"Effector 1","H: MYC TARGETS V2",0.209953614310793,0.2144111815192,0.00445756720840715
"Effector 1","H: OXIDATIVE PHOSPHORYLATION",0.306427236480474,0.300321249967406,-0.00610598651306798
"Effector 1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.147463847204237,0.145341352563623,-0.00212249464061387
"Effector 1","H: TNFA SIGNALING VIA NFKB",0.0465497108010807,0.0373789900205252,-0.00917072078055558
"Effector 1","H: UNFOLDED PROTEIN RESPONSE",0.214367230189467,0.20598484099593,-0.00838238919353756
"Effector 1","Module1 MetabolicStress Hypoxia",0.136654145495909,0.115347995550584,-0.0213061499453248
"Effector 1","Module2 MetabolicResilience OxFitness",0.0290022848229283,0.0258933903403663,-0.00310889448256196
"Effector 1","Module3A MitoOrganization",0.176604999681223,0.175506553544122,-0.00109844613710153
"Effector 1","Module3B Mitophagy Damage",0.133596422916505,0.118677224163696,-0.0149191987528093
"Effector 1","Module3 MitoQualityControl",0.164771389616652,0.157192960848719,-0.00757842876793299
"Effector 1","Module4 Activation Anabolic",0.354379091349636,0.331558410528514,-0.0228206808211219
"Effector 2","GO: AUTOPHAGY",0.0991198615485922,0.0961863768422585,-0.0029334847063337
"Effector 2","GO: MITOCHONDRIAL BIOGENESIS",0.121162878279646,0.11632229696091,-0.00484058131873581
"Effector 2","GO: MITOPHAGY",0.125540585707628,0.123857500065436,-0.00168308564219173
"Effector 2","GO: RIBOSOME BIOGENESIS",0.250735881232216,0.272458719764557,0.0217228385323406
"Effector 2","H: APOPTOSIS",0.107196882168575,0.0951367713882462,-0.0120601107803293
"Effector 2","H: FATTY ACID METABOLISM",0.104232982551914,0.0995821242739169,-0.00465085827799731
"Effector 2","H: GLYCOLYSIS",0.106458151126358,0.104608875400647,-0.00184927572571029
"Effector 2","H: HYPOXIA",0.10500053069993,0.100912546645402,-0.00408798405452748
"Effector 2","H: IL2 STAT5 SIGNALING",0.117323523389443,0.106015051176073,-0.01130847221337
"Effector 2","H: MTORC1 SIGNALING",0.243441955769517,0.241757531047074,-0.00168442472244243
"Effector 2","H: MYC TARGETS V1",0.466215321609464,0.489784554085297,0.0235692324758335
"Effector 2","H: MYC TARGETS V2",0.190333066230797,0.222595973731768,0.0322629075009708
"Effector 2","H: OXIDATIVE PHOSPHORYLATION",0.302132905614661,0.287546608169848,-0.0145862974448125
"Effector 2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.153186826482838,0.141477964818482,-0.011708861664356
"Effector 2","H: TNFA SIGNALING VIA NFKB",0.0747599699118115,0.0613829899411056,-0.0133769799707059
"Effector 2","H: UNFOLDED PROTEIN RESPONSE",0.208964932981249,0.215216050879411,0.0062511178981621
"Effector 2","Module1 MetabolicStress Hypoxia",0.150762673390137,0.129729527733017,-0.0210331456571203
"Effector 2","Module2 MetabolicResilience OxFitness",0.0339245522673733,0.0289173710934572,-0.00500718117391605
"Effector 2","Module3A MitoOrganization",0.171404610097293,0.176936901074323,0.00553229097703067
"Effector 2","Module3B Mitophagy Damage",0.111737078658414,0.087075167948921,-0.0246619107094933
"Effector 2","Module3 MitoQualityControl",0.153341972760063,0.144897856354988,-0.00844411640507434
"Effector 2","Module4 Activation Anabolic",0.321442816723281,0.311676004908121,-0.00976681181516054
"Stem-like","GO: AUTOPHAGY",0.0963323702676707,0.0999018581710047,0.00356948790333403
"Stem-like","GO: MITOCHONDRIAL BIOGENESIS",0.101199701323888,0.0996628059060922,-0.00153689541779546
"Stem-like","GO: MITOPHAGY",0.11408149182413,0.115447051157335,0.0013655593332048
"Stem-like","GO: RIBOSOME BIOGENESIS",0.214536702189845,0.209791848848155,-0.00474485334168986
"Stem-like","H: APOPTOSIS",0.111530074579495,0.10820972116833,-0.00332035341116495
"Stem-like","H: FATTY ACID METABOLISM",0.0783019589794663,0.0757607993901285,-0.00254115958933776
"Stem-like","H: GLYCOLYSIS",0.0760956894635021,0.0732412991977294,-0.00285439026577278
"Stem-like","H: HYPOXIA",0.0831900449019543,0.086388245353877,0.00319820045192276
"Stem-like","H: IL2 STAT5 SIGNALING",0.0939083896744838,0.0999390381130891,0.00603064843860533
"Stem-like","H: MTORC1 SIGNALING",0.155823857750771,0.148426578003913,-0.00739727974685844
"Stem-like","H: MYC TARGETS V1",0.348636208722081,0.334310388535964,-0.0143258201861176
"Stem-like","H: MYC TARGETS V2",0.12185825628387,0.116640559627389,-0.00521769665648072
"Stem-like","H: OXIDATIVE PHOSPHORYLATION",0.223902560836888,0.213718765451974,-0.0101837953849137
"Stem-like","H: REACTIVE OXYGEN SPECIES PATHWAY",0.135959650131588,0.136494587160627,0.000534937029038896
"Stem-like","H: TNFA SIGNALING VIA NFKB",0.060253079398012,0.056406246663195,-0.00384683273481701
"Stem-like","H: UNFOLDED PROTEIN RESPONSE",0.15117187467181,0.145168438857349,-0.00600343581446086
"Stem-like","Module1 MetabolicStress Hypoxia",0.098446699541525,0.088619756828942,-0.00982694271258304
"Stem-like","Module2 MetabolicResilience OxFitness",0.0353683586122193,0.0466476445650724,0.0112792859528531
"Stem-like","Module3A MitoOrganization",0.129599041004981,0.133350026574137,0.00375098556915585
"Stem-like","Module3B Mitophagy Damage",0.0914324646567876,0.10031237514075,0.00887991048396282
"Stem-like","Module3 MitoQualityControl",0.116694873119773,0.122709581788866,0.0060147086690925
"Stem-like","Module4 Activation Anabolic",0.21308727616101,0.20054127336217,-0.0125460027988403
