"coarse_annot","condition","replicate","set","mean_score","n_cells"
"Effector 1","EV","rep1","GO: AUTOPHAGY",0.0934403208355608,4297
"Effector 1","EV","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.120493513597541,4297
"Effector 1","EV","rep1","GO: MITOPHAGY",0.120090427451334,4297
"Effector 1","EV","rep1","GO: RIBOSOME BIOGENESIS",0.258722948930623,4297
"Effector 1","EV","rep1","H: APOPTOSIS",0.0998605109133428,4297
"Effector 1","EV","rep1","H: FATTY ACID METABOLISM",0.104904959083961,4297
"Effector 1","EV","rep1","H: GLYCOLYSIS",0.109462496193559,4297
"Effector 1","EV","rep1","H: HYPOXIA",0.0936472310640154,4297
"Effector 1","EV","rep1","H: IL2 STAT5 SIGNALING",0.0896037091745857,4297
"Effector 1","EV","rep1","H: MTORC1 SIGNALING",0.247204724804623,4297
"Effector 1","EV","rep1","H: MYC TARGETS V1",0.506972807406227,4297
"Effector 1","EV","rep1","H: MYC TARGETS V2",0.207990256026008,4297
"Effector 1","EV","rep1","H: OXIDATIVE PHOSPHORYLATION",0.300170233108883,4297
"Effector 1","EV","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.144750653126272,4297
"Effector 1","EV","rep1","H: TNFA SIGNALING VIA NFKB",0.0486939634295825,4297
"Effector 1","EV","rep1","H: UNFOLDED PROTEIN RESPONSE",0.216174933915572,4297
"Effector 1","EV","rep1","Module1 MetabolicStress Hypoxia",0.142191191912065,4297
"Effector 1","EV","rep1","Module2 MetabolicResilience OxFitness",0.0272339929967002,4297
"Effector 1","EV","rep1","Module3A MitoOrganization",0.179531449886816,4297
"Effector 1","EV","rep1","Module3B Mitophagy Damage",0.133974341900312,4297
"Effector 1","EV","rep1","Module3 MitoQualityControl",0.166928966837248,4297
"Effector 1","EV","rep1","Module4 Activation Anabolic",0.359503406966163,4297
"Effector 1","EV","rep2","GO: AUTOPHAGY",0.0909939466327348,2042
"Effector 1","EV","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.125348250362975,2042
"Effector 1","EV","rep2","GO: MITOPHAGY",0.121283531842157,2042
"Effector 1","EV","rep2","GO: RIBOSOME BIOGENESIS",0.259595248193923,2042
"Effector 1","EV","rep2","H: APOPTOSIS",0.0991767830304425,2042
"Effector 1","EV","rep2","H: FATTY ACID METABOLISM",0.108956661384967,2042
"Effector 1","EV","rep2","H: GLYCOLYSIS",0.114442504973859,2042
"Effector 1","EV","rep2","H: HYPOXIA",0.0919367441403596,2042
"Effector 1","EV","rep2","H: IL2 STAT5 SIGNALING",0.088327075995473,2042
"Effector 1","EV","rep2","H: MTORC1 SIGNALING",0.243638247714041,2042
"Effector 1","EV","rep2","H: MYC TARGETS V1",0.514135252139168,2042
"Effector 1","EV","rep2","H: MYC TARGETS V2",0.214085127802331,2042
"Effector 1","EV","rep2","H: OXIDATIVE PHOSPHORYLATION",0.319593908119908,2042
"Effector 1","EV","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.15317324727917,2042
"Effector 1","EV","rep2","H: TNFA SIGNALING VIA NFKB",0.0420375396234743,2042
"Effector 1","EV","rep2","H: UNFOLDED PROTEIN RESPONSE",0.210563262064555,2042
"Effector 1","EV","rep2","Module1 MetabolicStress Hypoxia",0.12500248611774,2042
"Effector 1","EV","rep2","Module2 MetabolicResilience OxFitness",0.0327233181124983,2042
"Effector 1","EV","rep2","Module3A MitoOrganization",0.170446842710883,2042
"Effector 1","EV","rep2","Module3B Mitophagy Damage",0.132801164408464,2042
"Effector 1","EV","rep2","Module3 MitoQualityControl",0.160231179373312,2042
"Effector 1","EV","rep2","Module4 Activation Anabolic",0.343595945314271,2042
"Effector 1","Scr","rep1","GO: AUTOPHAGY",0.0933354845173523,4446
"Effector 1","Scr","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.11975210104321,4446
"Effector 1","Scr","rep1","GO: MITOPHAGY",0.118984808650124,4446
"Effector 1","Scr","rep1","GO: RIBOSOME BIOGENESIS",0.261515436011478,4446
"Effector 1","Scr","rep1","H: APOPTOSIS",0.0978730387350882,4446
"Effector 1","Scr","rep1","H: FATTY ACID METABOLISM",0.10387853552377,4446
"Effector 1","Scr","rep1","H: GLYCOLYSIS",0.108410593999392,4446
"Effector 1","Scr","rep1","H: HYPOXIA",0.0916359754804429,4446
"Effector 1","Scr","rep1","H: IL2 STAT5 SIGNALING",0.0864449005926476,4446
