"method","level","group","contrast","n_tested_universe","n_in_target_top","n_in_target_full","n_sig_down","n_sig_up","spearman_rho","spearman_p","spearman_n","hyper_top_overlap","hyper_top_expected","hyper_top_odds","hyper_top_p","hyper_full_overlap","hyper_full_p","hyper_top_overlap_UP","hyper_top_p_UP","hyper_top_p_BH","hyper_full_p_BH","spearman_p_BH"
"DGE_pseudobulk","by_lineage","CD4","EV_vs_Scr",16759,137,815,19,79,-0.0624852526321508,0.0746113249777787,815,0,0.155319529804881,0,1,0,1,2,0.136414136630149,1,1,0.0895335899733344
"DGE_pseudobulk","by_lineage","CD4","miR29a_vs_EV",16824,138,814,715,416,0.191614036513197,3.59631464679965e-08,814,24,5.86483594864479,4.19958472283395,3.69771203269649e-09,68,6.90884073960014e-08,2,0.859022475331918,1.4790848130786e-08,2.76353629584006e-07,2.15778878807979e-07
"DGE_pseudobulk","by_lineage","CD4","miR29a_vs_Scr",16805,136,812,415,221,0.176723623719656,4.01951269476705e-07,812,18,3.3585242487355,5.55715661579493,6.83238346912786e-09,45,3.39632049283423e-07,1,0.835968849723114,2.04971504073836e-08,1.01889614785027e-06,1.20585380843011e-06
"DGE_pseudobulk","by_lineage","CD8","EV_vs_Scr",14401,123,740,12,38,-0.0840309276003104,0.0222502538470027,740,0,0.10249288243872,0,1,0,1,0,1,1,1,0.029667005129337
"DGE_pseudobulk","by_lineage","CD8","miR29a_vs_EV",14119,120,727,426,187,0.224841420519087,8.75383247623286e-10,727,21,3.62065302075218,6.04895061728395,6.48482502346946e-11,52,5.61214002084172e-09,2,0.473698588838451,4.73317813849618e-10,3.36728401250503e-08,1.05045989714794e-08
"DGE_pseudobulk","by_lineage","CD8","miR29a_vs_Scr",14312,121,737,303,128,0.195190797020919,9.22035250953662e-08,737,18,2.5616964784796,7.40722053066551,7.88863023082696e-11,42,4.27948610321153e-09,0,1,4.73317813849618e-10,3.36728401250503e-08,3.68814100381465e-07
"DGE_pseudobulk","by_lineage","Innate-like","EV_vs_Scr",8616,83,529,1,0,-0.0455478295651845,0.295715862305257,529,0,0.00963324048282266,0,1,0,1,0,NA,1,1,0.295715862305257
"DGE_pseudobulk","by_lineage","Innate-like","miR29a_vs_EV",8610,79,528,17,1,0.196080043573409,5.65127438685185e-06,528,0,0.155981416957027,0,1,0,1,0,1,1,1,1.13025487737037e-05
"DGE_pseudobulk","by_lineage","Innate-like","miR29a_vs_Scr",8709,82,539,12,1,0.196785753174737,4.16188883887383e-06,539,0,0.112986565621771,0,1,0,1,0,1,1,1,9.9885332132972e-06
"DGE_pseudobulk","by_lineage","Non-T","EV_vs_Scr",7898,71,469,2,0,-0.0668172846873362,0.148520836752806,469,0,0.0179792352494302,0,1,0,1,0,NA,1,1,0.162022731003062
