"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ly6a",0,-1.67196694579193,0.718,0.916,0
"Ssr2",0,-0.738893083301644,0.796,0.924,0
"Erp29",0,-0.709070348472796,0.821,0.924,0
"Morf4l1",0,-0.379758080343413,0.995,0.996,0
"Serpina3g",6.44973951048491e-284,-1.61138842709549,0.29,0.501,1.43164867914233e-279
"Gzmb",1.39024138558699e-276,-1.34039991394159,0.507,0.717,3.08591880358743e-272
"Gimap7",4.95903950475294e-267,-0.56588305211604,0.899,0.957,1.10075799887001e-262
"Tcf7",3.34861564409401e-264,0.817556569716661,0.79,0.589,7.43292214519548e-260
"B2m",1.32813743424419e-258,-0.225233100343806,1,1,2.94806666279182e-254
"Rps27a",1.3811411395097e-258,-0.190130174860335,1,0.999,3.06571898736967e-254
"Xbp1",2.02462353185317e-247,-0.625860863502264,0.914,0.954,4.49405685365447e-243
"mt-Co3",4.27146984908823e-245,0.231228684534248,0.999,0.995,9.48138162402113e-241
"mt-Co1",8.1483044511339e-243,0.217795432445475,0.999,0.996,1.80867913901819e-238
"Klrk1",4.55253274786907e-235,-1.65471872243195,0.15,0.347,1.0105256940445e-230
"H2-K1",7.98534936109652e-232,-0.309957037874607,0.999,1,1.77250799768259e-227
"Ostc",6.52881141664701e-231,-0.408281163086975,0.95,0.976,1.44920027015314e-226
"Cdk6",2.40557686363203e-229,-0.408709140259778,0.977,0.992,5.33965896420402e-225
"Il12rb2",3.71019181031331e-226,-0.851801882206532,0.556,0.719,8.23551276135245e-222
"Rpl7",3.42004967731036e-225,-0.184051450058098,0.999,0.999,7.59148426872581e-221
"Atxn7l3b",6.41212740452125e-217,-0.611889535437632,0.682,0.83,1.42329991998158e-212
"Psma4",1.44804384995626e-211,-0.316252711310496,0.988,0.994,3.21422293374791e-207
"Mbnl1",3.93904645222321e-210,0.270013783893748,1,1,8.74350140999986e-206
"Ppib",5.11879920917979e-209,-0.278436410548923,0.996,0.997,1.13621986046164e-204
"Psma5",2.4469325008384e-208,-0.330220272541083,0.982,0.991,5.431456072111e-204
"Sub1",1.65594629334031e-203,-0.273491259985679,0.997,0.997,3.67570398732748e-199
"Gm10076",2.96871657929629e-203,-0.244269964499649,0.998,0.998,6.58966019106398e-199
"Eif4e2",9.38328447527761e-199,-0.489502019996359,0.811,0.897,2.08280765497737e-194
"Rps3a1",5.28161337097457e-198,-0.157027895431685,1,1,1.17235971995523e-193
"P2ry14",1.85694800527184e-196,-2.11007605561866,0.082,0.236,4.12186748730191e-192
"Tdg",1.63890595417579e-193,-0.767581002240033,0.453,0.635,3.637879546484e-189
"Slfn1",1.75525805663928e-191,-0.510429046838872,0.928,0.962,3.89614630832221e-187
"Gm19585",2.78460194143155e-187,-0.887821225088491,0.475,0.637,6.18098092939562e-183
"Eomes",2.20411815618398e-185,-1.28341240212996,0.306,0.473,4.89248107128158e-181
"Psma7",1.64288343874254e-184,-0.272455845064188,0.995,0.997,3.64670836897681e-180
"Hspa5",5.95185477921893e-182,-0.41188313883214,0.989,0.994,1.32113320534323e-177
"P2rx7",7.99037771625969e-180,0.838153220240771,0.567,0.356,1.77362414167816e-175
"Skap1",2.02930791941129e-173,0.287430500068512,1,0.999,4.50445478871724e-169
"Isg15",2.65774535602356e-173,-0.902839362269545,0.556,0.681,5.89939736676549e-169
"Trim30a",2.13683194713787e-171,-0.48199076580956,0.882,0.94,4.74312587306194e-167
"Mcl1",7.6051641724599e-169,-0.443397042286967,0.881,0.932,1.68811829136092e-164
