"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ly6a",7.4109846876187e-323,-1.5074831651053,0.701,0.897,1.64501627111072e-318
"Ssr2",1.45121712618379e-234,-0.792094657087607,0.8,0.952,3.22126665499015e-230
"Erp29",6.64670383300895e-209,-0.75957681892691,0.824,0.951,1.475368849813e-204
"Xbp1",2.74527427456816e-135,-0.584017842967632,0.91,0.97,6.09368530725894e-131
"Rpl7",3.97935052622415e-133,-0.201555741460192,1,1,8.83296436305976e-129
"Rps27a",1.61158169628046e-132,-0.182122263369848,1,1,3.57722789123374e-128
"Morf4l1",9.09103400019771e-131,-0.349800085839617,0.991,0.997,2.01793681702389e-126
"Ostc",4.11154890366714e-130,-0.456228639661916,0.962,0.989,9.12640510146994e-126
"Tcf7",1.96298685248222e-129,0.953336192951889,0.772,0.58,4.35724191645478e-125
"Serpina3g",1.96578884817548e-126,-1.50229185770697,0.335,0.56,4.36346150629511e-122
"H2-K1",5.64343379149014e-126,-0.234080682222024,1,1,1.25267299869707e-121
"Vim",1.14351839436838e-124,0.518917231479016,0.995,0.982,2.53826777997949e-120
"Gzmb",4.09946032584551e-119,-1.35033115357376,0.491,0.715,9.09957208527927e-115
"Rps3a1",1.38656155614817e-115,-0.158661083115285,1,1,3.0777506861821e-111
"Sub1",1.43962868628838e-104,-0.284145251177617,0.998,0.999,3.19554379495431e-100
"Eomes",4.89110771396602e-104,-1.37206313131344,0.336,0.547,1.08567917926904e-99
"Psma5",5.58391698728355e-104,-0.344187041246236,0.987,0.994,1.23946205366733e-99
"mt-Co1",6.43295251501776e-102,0.234581565408468,0.999,0.999,1.42792246975849e-97
"Itgb7",2.27483657552301e-99,0.807713094472432,0.731,0.516,5.04945474668843e-95
"Mbnl1",5.20111325537083e-99,0.262177303903885,1,1,1.15449110929466e-94
"Psma4",8.41974734095018e-94,-0.300119612301722,0.991,0.997,1.86893131727071e-89
"Isg15",1.11973626146745e-93,-0.853496444174368,0.56,0.705,2.4854785795793e-89
"Tap1",2.48525667779992e-93,-0.498303979974703,0.821,0.905,5.51652424771247e-89
"H3f3a",1.50954902754524e-92,-0.224140173279507,0.998,0.999,3.35074597644217e-88
"P2ry14",6.80682112883378e-92,-2.03505285589277,0.097,0.275,1.51091008596723e-87
"Psma7",1.19116317584341e-90,-0.254536681664431,0.998,0.999,2.64402490141961e-86
"Slc4a7",1.59088579598321e-89,-1.01416838933645,0.673,0.786,3.53128920134394e-85
"Eif4e2",2.17476058305936e-89,-0.463023211358547,0.849,0.936,4.82731606621687e-85
"Gm10076",1.06449142622423e-88,-0.261217814216407,0.998,0.999,2.36285161878992e-84
"Glrx5",1.51009290714529e-87,-0.512906530438009,0.785,0.906,3.3519532259904e-83
"Bak1",3.64293039280015e-86,-0.827210108842404,0.404,0.612,8.0862125928985e-82
"Cdkn1a",1.45328733337307e-82,-0.77361316761054,0.646,0.786,3.22586189388821e-78
"Tdg",1.03354015496346e-81,-0.814472506027914,0.411,0.614,2.29414908197239e-77
"mt-Co3",4.24101823770956e-81,0.210554308218339,0.999,0.997,9.4137881822439e-77
"Klrk1",1.15658509881778e-80,-1.1981856677574,0.227,0.431,2.56727194384582e-76
"Ppib",1.46089153589083e-80,-0.264234659694367,0.993,0.998,3.24274094221688e-76
"P2rx7",3.04295552472608e-80,0.929698549491929,0.553,0.35,6.75444837823448e-76
"Emp3",1.26062613257377e-79,0.625617288908113,0.773,0.58,2.79821182647399e-75
"Ubb",2.80354899375299e-78,-0.271527733129571,0.997,0.999,6.22303770143352e-74
"Iigp1",7.11442957848591e-78,-0.56153275382828,0.93,0.961,1.57918993353652e-73
"Cdk6",2.30907966077598e-77,-0.325818607445903,0.977,0.995,5.12546412302444e-73
"Rpsa",8.42052247731363e-77,0.126197001255548,1,1,1.86910337428931e-72
"Tpm3",1.25489514037631e-75,0.220422849975275,0.998,0.998,2.78549074309328e-71
"Rpl9",2.2135705269763e-74,-0.138488585111403,1,1,4.9134624987293e-70
"Stmn1",5.49442751225339e-74,0.290123560862292,0.996,0.988,1.21959807489488e-69
"Bst2",7.20348776877421e-74,-0.397360977446707,0.98,0.988,1.59895818003481e-69
"Rpl7a",4.87762376309246e-72,-0.159251075616164,1,1,1.08268614669363e-67
"Hp1bp3",6.93272471091331e-71,0.332240313945169,0.992,0.988,1.53885690408143e-66
"Flna",7.47984596076137e-71,0.660420439506401,0.769,0.636,1.6603014079102e-66
"Tnfrsf4",9.42237421127301e-71,-0.538253805842294,0.759,0.868,2.09148440367627e-66
"Bcl11b",3.08494781421018e-70,0.356888672091547,0.995,0.987,6.84765866320234e-66
"Ifi30",5.39441739504695e-70,-1.16574052468949,0.184,0.371,1.19739882917857e-65
"Il12rb2",6.11547416702414e-70,-0.733539179455702,0.548,0.716,1.35745180085435e-65
"Hmgb2",3.43152386830108e-68,0.234403507624339,1,1,7.61695353046791e-64
"Blmh",5.84818615757785e-68,-0.507389633439772,0.706,0.82,1.29812188139755e-63
"Ifi202b",7.52829177746651e-67,-1.87083723756127,0.076,0.216,1.67105492584424e-62
"Lef1",1.19164741583913e-66,0.365414577827852,0.997,0.994,2.64509976893813e-62
"Prelid2",1.78050980102743e-65,-0.323382755424342,0.971,0.983,3.95219760534058e-61
"Il2rb",1.10262164498966e-64,-0.429132858629342,0.904,0.945,2.44748926538355e-60
"Lage3",1.65074607628841e-64,-0.556168286291419,0.59,0.755,3.66416106553739e-60
"Gimap7",9.21384020465539e-64,-0.354837429193241,0.904,0.951,2.04519611022736e-59
"Ybx3",1.34651925488277e-63,-0.460840495468203,0.861,0.933,2.98886879006327e-59
"Selenos",5.80087227796508e-63,-0.422959417473192,0.888,0.939,1.28761961953991e-58
"Fyb",1.50070770319702e-62,0.370168771989454,0.992,0.984,3.33112088878643e-58
"Mcl1",1.56224763660101e-60,-0.3583985291664,0.896,0.942,3.46772107896327e-56
"Rplp1",3.09759523121541e-60,0.109662187943847,1,1,6.87573213472885e-56
"Trim30a",5.56198052688091e-60,-0.349799662367565,0.932,0.959,1.23459281755176e-55
"Morf4l2",5.82017673337405e-60,-0.484792481220356,0.744,0.851,1.29190462950704e-55
"Ifi44",8.67081728719278e-60,-0.782151904227298,0.437,0.558,1.92466131323818e-55
"Vav3",1.72823279015936e-59,-0.722371448596132,0.578,0.709,3.83615832431674e-55
"Phf10",2.81899702061346e-58,-0.724636124076063,0.423,0.599,6.2573276866557e-54
"Tube1",3.12238691447482e-58,-1.09311649797624,0.266,0.417,6.93076223405975e-54
"B2m",1.46038307814438e-57,-0.12551856432962,1,1,3.24161231855709e-53
"Atxn7l3b",1.89873826744834e-57,-0.477679286134493,0.671,0.798,4.21462933225509e-53
"Hspa5",2.49615212033585e-57,-0.319778005283893,0.997,0.998,5.54070886150949e-53
"Eif5a",5.47562911352347e-57,-0.195601425633719,0.999,0.999,1.2154253943288e-52
"Igfbp4",5.69387498520263e-57,0.465265042117034,0.895,0.777,1.26386943046543e-52
"Mki67",2.16010283922003e-56,0.474227715638129,0.948,0.904,4.79478027221669e-52
"Asb2",2.19426676597358e-56,-0.981238113932442,0.286,0.466,4.87061394043155e-52
"Rplp2",3.00298680249727e-56,0.114370630269083,1,1,6.66572980550319e-52
"Slfn1",6.76316706970645e-56,-0.325002393234437,0.958,0.977,1.50122019446274e-51
"Ikzf1",1.1888796588784e-55,0.274770503228626,0.997,0.992,2.63895617881239e-51
"Iqgap1",1.4716810343306e-55,0.332528955848681,0.975,0.96,3.26669039190364e-51
"Nfil3",2.12102959264727e-55,-1.03770364598537,0.261,0.428,4.70804938679916e-51
"Ly6c1",2.20491813370695e-55,-2.22359292706416,0.041,0.145,4.89425678138932e-51
"Crip1",2.36218488697721e-55,0.737612057460418,0.649,0.496,5.2433417936233e-51
"Isg20",9.98207587386399e-55,-0.452298758662826,0.732,0.852,2.21572138172159e-50
"F2r",1.35340475909552e-53,-0.652900143506459,0.536,0.66,3.00415254376433e-49
"H2az2",4.12467749509389e-53,0.457752143817475,0.944,0.89,9.15554663585991e-49
"S100a13",1.05924222910177e-52,-0.395694514033338,0.971,0.984,2.3511999759372e-48
"Gzma",2.18818858690963e-52,-2.35172066478458,0.019,0.105,4.85712220636332e-48
"Lta",4.8823299542275e-52,-0.534060311459707,0.764,0.875,1.08373077993988e-47
"Add3",5.58029276945805e-52,0.488251755349706,0.893,0.828,1.2386575860366e-47
"Atp1b3",3.10078597754826e-51,0.285266347238391,0.991,0.984,6.88281463436387e-47
"Tmpo",4.44628949490731e-51,0.322090217576648,0.952,0.932,9.86942879184576e-47
"Id2",6.5783837447503e-51,-0.590490669094,0.865,0.906,1.46020383982222e-46
"Trat1",2.0752864982712e-50,1.04566174696276,0.366,0.216,4.60651344021258e-46
"Rpl29",2.41347091407893e-50,-0.29423268974143,0.932,0.967,5.357181387981e-46
"F2rl2",3.58594566945188e-50,-1.23980075535246,0.142,0.285,7.95972360248234e-46
"Phf5a",1.52333964445574e-49,-0.347881837454034,0.873,0.94,3.3813570087984e-45
"Kdm5b",5.80182302681089e-49,-0.709476208362585,0.349,0.516,1.28783065726121e-44
"Myo6",6.92236991959668e-49,-0.837022741130719,0.404,0.559,1.53655845105287e-44
"Shisa5",7.6566630023556e-49,-0.21333585888474,0.994,0.996,1.69954948663287e-44
"Nudcd2",8.15252130004027e-49,-0.384940919079303,0.848,0.917,1.80961515296994e-44
"Socs1",5.51151628345442e-48,-0.24938752583117,0.983,0.993,1.22339126943838e-43
"Chd7",7.65953406561379e-48,-0.433383906664607,0.877,0.906,1.70018677654429e-43
"Snrpc",1.03171302202389e-47,-0.29011354347674,0.909,0.962,2.29009339498644e-43
"Ak2",1.29686994880528e-46,-0.318415099793727,0.913,0.957,2.87866222536307e-42
"Psmb7",1.56925565871192e-46,-0.284411728693974,0.934,0.967,3.48327678564285e-42
"Cd82",2.25290214678171e-46,-0.56812514828057,0.63,0.726,5.00076689521136e-42
"Myh9",2.6736191966399e-46,0.297162331262277,0.991,0.976,5.93463253078159e-42
"Smc4",1.87254647255106e-45,0.358460638505677,0.964,0.952,4.15649140512158e-41
"Chmp4b",1.07837978432913e-44,-0.267185627979979,0.955,0.978,2.39367960727537e-40
"Klf2",1.36511795315188e-44,0.558154879597182,0.644,0.476,3.03015232061123e-40
"Xdh",2.16397207310268e-44,-1.21856655360793,0.145,0.273,4.80336881066602e-40
"Dnah8",2.53305069782542e-44,0.671927357461293,0.607,0.46,5.62261263396308e-40
"Rpl15",3.00018265433501e-44,-0.106057054516961,1,1,6.65950543782742e-40
"Pim2",3.52720421870828e-43,-0.454369877784065,0.732,0.827,7.82933520426676e-39
"Rpl39",4.58104341466984e-43,0.109665996098443,1,1,1.01685420675426e-38
"Stat4",8.78224239574691e-43,-0.390036034468744,0.872,0.925,1.94939434458394e-38
"Adam19",1.12006564386595e-42,-0.626794827842943,0.425,0.572,2.48620970968925e-38
"Dgka",1.72561736055308e-42,0.465671078735284,0.849,0.749,3.83035285521968e-38
"Rpl22l1",2.06505067589723e-42,-0.321944622747164,0.958,0.979,4.58379298528909e-38
"Gm19585",2.31749998563191e-42,-0.580604629798481,0.562,0.693,5.14415471810715e-38
"Gm40630",2.34517466713387e-42,-1.05069389048923,0.136,0.265,5.20558420863705e-38
"mt-Nd5",5.57323789301444e-42,0.194954472933363,0.998,0.996,1.23709161511242e-37
"Esyt2",8.56119057703927e-42,0.433603403495086,0.844,0.791,1.90032747238541e-37
"Nkg7",1.92697593786187e-41,-1.6056784197857,0.118,0.236,4.27730848927199e-37
"H2-D1",2.36277207984506e-41,-0.105076024691644,0.999,1,5.24464518563208e-37
"Ecm1",2.60170359432306e-41,-0.947805026102978,0.284,0.398,5.77500146831891e-37
"mt-Co2",3.33330105136137e-41,0.145297342303657,0.999,0.997,7.39892834370684e-37
"Cyb5a",4.00354092253496e-41,-0.322316795472029,0.903,0.94,8.88665978575085e-37
"Sh3kbp1",4.03357807911416e-41,0.356229758290486,0.968,0.947,8.9533332622097e-37
"Ssr4",1.1594601318498e-40,-0.247410396176708,0.971,0.987,2.57365365466699e-36
"Aff3",3.25869224153846e-40,0.5816322030519,0.761,0.664,7.23331916854291e-36
"Gtf2e2",7.47522942589112e-40,-0.598483388800566,0.401,0.55,1.65927667566505e-35
"Akap13",1.26260732728174e-39,0.321840372059098,0.994,0.992,2.80260948436728e-35
"Ccnd2",1.5737031366495e-39,-0.222316626576544,0.991,0.995,3.49314885242089e-35
"Ptprc",1.64650926822975e-39,0.196902240601183,1,1,3.65475662268959e-35
"Dctpp1",1.69344237584887e-39,-0.406858227372232,0.722,0.837,3.75893404167175e-35
"Fyttd1",3.15779411232797e-39,-0.500006078835289,0.526,0.669,7.0093555911344e-35
"Cbx1",3.2286195268117e-39,-0.2890070810804,0.907,0.947,7.16656676366393e-35
"Rps29",3.57455892925429e-39,0.102674234035688,1,1,7.93444845526575e-35
"Polr2a",3.63215195864466e-39,0.353929267243369,0.9,0.853,8.06228770260356e-35
"Emb",3.71786412673506e-39,-0.409456869180176,0.842,0.846,8.25254300211382e-35
"Ap2s1",5.23214818238213e-39,-0.26164436052166,0.924,0.961,1.16137993204336e-34
"H2-Q7",5.97316655712958e-39,-0.329784690647047,0.802,0.87,1.32586378068605e-34
"Ccr5",7.4171299252516e-39,-1.90636787882451,0.047,0.138,1.6463803295081e-34
"Arhgef18",1.57641026311108e-38,0.562440999632793,0.669,0.557,3.49915786102767e-34
"Bin2",1.61122780312807e-38,0.434734491366487,0.81,0.746,3.57644235460338e-34
"Cbx3",1.67558120223704e-38,0.192129233988251,0.997,0.993,3.71928759460556e-34
"Lrrfip1",2.93865847635416e-38,0.303248542371518,0.938,0.912,6.52294021996332e-34
"Tmem97",3.95351270430747e-38,-0.545923770192762,0.511,0.663,8.7756121497513e-34
"Uba52",5.93775472089305e-38,-0.249080523653717,0.935,0.965,1.31800341539663e-33
"Gm26740",6.41111552289044e-38,0.833477681624222,0.422,0.29,1.42307531261599e-33
"Mrpl20",7.26991626662538e-38,-0.265866823315118,0.958,0.97,1.61370331370283e-33
"Gpr171",8.80774293457814e-38,-0.526263816888828,0.547,0.657,1.95505469918831e-33
"Btla",1.39696285446531e-37,0.612253383571504,0.529,0.387,3.10083844805666e-33
"Epsti1",1.56428677268232e-37,-0.340583304749042,0.785,0.866,3.47224734932294e-33
"AI662270",2.05189264694258e-37,-0.24768105135365,0.956,0.979,4.55458610841844e-33
"Cebpb",2.60116515198406e-37,-0.454933566701423,0.66,0.762,5.77380628785902e-33
"Slc25a4",6.24105957617117e-37,-0.23953649799732,0.959,0.984,1.38532799412272e-32
"Rpl36al",9.83248805347908e-37,-0.141052277714026,1,0.999,2.18251737323075e-32
"Myo1g",1.20618957634604e-36,0.397767371185862,0.784,0.708,2.6773790026153e-32
"Ccdc28b",2.10717792746179e-36,-1.47818291658809,0.048,0.134,4.67730284558693e-32
"mt-Nd4l",2.31926578169676e-36,0.181264693639765,0.997,0.995,5.1480742556323e-32
"Ifi208",2.72232925102267e-36,-0.526685522407462,0.406,0.534,6.04275423849502e-32
"Tbl1xr1",4.22706315512893e-36,0.377643321328133,0.803,0.748,9.38281208543968e-32
"Rabgap1l",4.40739330445412e-36,0.353547947788358,0.986,0.978,9.78309091789681e-32
"Macf1",4.68769083340153e-36,0.284525140306365,0.978,0.965,1.04052673429014e-31
"Rps27",2.61289257579576e-35,0.119140173801151,1,1,5.79983765049384e-31
"Capzb",2.79862949245523e-35,-0.182770372837003,0.99,0.995,6.21211788440287e-31
"Ifi214",2.86817561469203e-35,-0.683838832056871,0.301,0.418,6.36648941193191e-31
"Uqcr10",6.43328805846238e-35,-0.193051725617967,0.987,0.993,1.42799695033689e-30
"Cd2",1.68350986473683e-34,-0.231028512232107,0.975,0.99,3.73688684675635e-30
"C1qtnf6",1.82320831924059e-34,-1.76790354328085,0.033,0.109,4.04697550621833e-30
"Ly6c2",2.16463589673477e-34,-1.87892018303892,0.046,0.122,4.80484229998218e-30
"Lockd",2.44403368688303e-34,0.555575905143398,0.616,0.5,5.42502157477426e-30
"Uhrf1",5.11804668328328e-34,0.324668334837938,0.823,0.78,1.13605282228839e-29
"Kcnab2",6.15048610252044e-34,0.392418405290373,0.754,0.678,1.36522340017646e-29
"Tes",6.77539845922429e-34,-0.289692190438786,0.923,0.941,1.50393519599402e-29
"Gm4951",7.3504394725064e-34,-0.308623880912826,0.929,0.96,1.63157704971225e-29
"Ssh2",7.46405139760672e-34,0.323641207055815,0.926,0.888,1.65679548872676e-29
"Tox",1.01978772834515e-33,0.656072148289697,0.621,0.534,2.26362282060773e-29
"Stk10",1.03704161182871e-33,0.430152656474946,0.75,0.663,2.30192126577619e-29
"Skap1",1.06092833130534e-33,0.225731339719194,0.999,0.997,2.35494261699846e-29
"Polr2d",1.41047686705386e-33,-0.398981330992665,0.653,0.765,3.13083550179946e-29
"Itgb3",1.41964017119769e-33,-0.561924609901142,0.438,0.553,3.1511752880075e-29
"Diaph3",1.87655567546366e-33,0.415192505490011,0.794,0.71,4.16539063282669e-29
"Slfn5",2.07725936488555e-33,-1.46829761834212,0.057,0.135,4.61089261223646e-29
"Bdh1",3.62400355209617e-33,-0.6276561739158,0.299,0.429,8.04420068458787e-29
"Itga4",3.80379901460123e-33,0.870965329943971,0.35,0.229,8.44329267271034e-29
"Zbp1",4.45339585936372e-33,-0.305904266712216,0.773,0.826,9.88520278902964e-29
"mt-Nd4",6.48344772005982e-33,0.136627735064419,0.999,0.997,1.43913089042168e-28
"Mrps14",6.82873621246539e-33,-0.197147579199407,0.979,0.987,1.51577457708094e-28
"Srp9",1.07099272712179e-32,-0.185137222232524,0.991,0.993,2.37728255639223e-28
"Arhgef1",1.80715647659466e-32,0.281007048089259,0.945,0.917,4.01134523109716e-28
"Slc35b1",1.95276283425773e-32,-0.417325302377174,0.62,0.735,4.33454766320188e-28
"Uqcrfs1",2.24521373350519e-32,-0.261236466744588,0.907,0.943,4.98370092426148e-28
"Dnajb11",2.26036104375709e-32,-0.317724442488483,0.857,0.91,5.01732340882762e-28
"Ripor2",2.42921846947133e-32,0.626252986338417,0.615,0.482,5.39213623668551e-28
"Lgals1",2.67485704270163e-32,0.247398114826474,0.985,0.972,5.93738017768482e-28
"Cast",2.89554624813683e-32,0.375232887408124,0.873,0.836,6.42724400698933e-28
"Rps18",3.07731807604953e-32,0.103505235812907,1,1,6.83072293340713e-28
"Tmem108",3.65595510793229e-32,1.21151559510979,0.178,0.088,8.1151235530773e-28
