"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifi27l2a",3.08520781788018e-61,0.465715034305149,0.997,0.983,6.84823579334864e-57
"B2m",5.86571218907557e-48,0.260100568639073,0.999,0.998,1.30201213460911e-43
"Rps29",1.79924800252814e-42,-0.160636275515043,1,0.999,3.99379079121171e-38
"Rpl35",4.70358810847875e-40,-0.178400561781249,1,0.997,1.04405545243903e-35
"Uqcrq",1.69919220508379e-30,-0.214710104143475,0.996,0.994,3.77169693762449e-26
"mt-Cytb",1.34212776127477e-27,0.2239890369671,0.994,0.992,2.97912099170162e-23
"Rps28",4.67319363125804e-26,-0.124645590760586,1,0.999,1.03730879033035e-21
"mt-Nd4",1.87490113688093e-25,0.19636906293284,0.994,0.991,4.1617180535346e-21
"Cox8a",6.90502704224224e-25,0.18173835923482,0.998,0.996,1.53270885256651e-20
"Rbm3",1.44914600656098e-24,0.165058939272657,0.999,0.994,3.2166693907634e-20
"Rpl38",5.52817884331086e-24,-0.15340725180822,1,0.998,1.22708985784971e-19
"H2-D1",7.17364612292272e-24,0.187056078636041,1,1,1.59233422990516e-19
"Itm2b",1.94153170853189e-21,0.257831498156115,0.991,0.988,4.30961793342823e-17
"Igtp",7.06454761854069e-21,0.362015978363815,0.941,0.904,1.56811763488748e-16
"Set",1.38696436860802e-20,-0.136743397781956,0.999,0.999,3.07864480899922e-16
"mt-Atp6",9.00354534384451e-20,0.189693622120796,0.994,0.99,1.99851695997317e-15
"Npc2",3.4537806662288e-18,0.23065354320601,0.989,0.972,7.66635694482806e-14
"Zbp1",4.61178497549838e-18,0.381917885692997,0.786,0.69,1.02367791101137e-13
"Tpt1",1.93383342715689e-17,0.105554970004941,1,0.999,4.29253005826015e-13
"Shisa5",2.6106941227931e-17,0.211879903374756,0.997,0.994,5.79495774436384e-13
"Anp32b",2.77766354483821e-17,-0.126237529207295,0.999,0.999,6.16557977047737e-13
"Bola2",3.13321217167578e-17,-0.286778774034923,0.895,0.923,6.95479105746874e-13
"mt-Nd2",7.10077684308308e-17,0.152568988008452,0.992,0.991,1.57615943585915e-12
"Btf3",1.10525204076462e-16,0.146697674861474,0.998,0.995,2.45332795488524e-12
"H2-T23",6.02680511117957e-16,0.309122647419307,0.918,0.858,1.33776993052853e-11
"Rps5",7.17724689362597e-16,0.107602808123037,1,0.998,1.59313349297816e-11
"Tap2",3.52695644839849e-15,0.254289626472406,0.954,0.925,7.82878522851013e-11
"Tcof1",6.92167176890713e-15,-0.183081624174276,0.982,0.976,1.53640348254431e-10
"H2-K1",9.9040370491748e-15,0.164724807734817,1,0.999,2.19839910380533e-10
"Eif4g1",1.49486360611987e-14,-0.161764828080509,0.995,0.992,3.31814874650427e-10
"Bst2",2.55435880537557e-14,0.222303652696419,0.98,0.955,5.66991024029215e-10
"Immt",4.61037303798599e-14,-0.196117187496569,0.952,0.955,1.02336450324175e-09
"Eif3a",5.4391047726592e-14,-0.13500153194457,0.998,0.998,1.20731808638716e-09
"Nop56",6.87557235642905e-14,-0.192558458818437,0.993,0.987,1.52617079595656e-09
"Mybbp1a",7.58672394037152e-14,-0.202915166586563,0.974,0.98,1.68402511304427e-09
"Plaat3",1.26428135031982e-13,0.273825168752643,0.874,0.808,2.8063253133049e-09
"Stmn1",1.47672131053729e-13,-0.196488448054621,0.982,0.98,3.27787829299962e-09
"Tapbp",2.08856520021824e-13,0.227592473830839,0.947,0.913,4.63598817492442e-09
"Tmem50a",2.23897804615332e-13,0.229785789984982,0.97,0.936,4.96985956904653e-09
"Hirip3",4.12579744919565e-13,-0.287223566179642,0.794,0.838,9.15803259797959e-09
"Nolc1",6.21665123305737e-13,-0.181096943898563,0.984,0.987,1.37991007420174e-08
"Nars",9.15843441513883e-13,-0.250679951886083,0.933,0.932,2.03289768712837e-08
"mt-Nd1",1.20712141491651e-12,0.147098222493286,0.995,0.993,2.67944740469018e-08
"Anp32e",3.1905571208786e-12,-0.126581501685992,0.994,0.99,7.08207964121424e-08
"Psme2",4.23770028070649e-12,0.154712323538405,0.996,0.989,9.40642331308419e-08
"Gpatch4",5.60346325362441e-12,-0.285682199478314,0.803,0.846,1.24380073840701e-07
"Gnas",5.94272643459581e-12,0.126659879676134,0.999,0.997,1.31910698668723e-07
"Psma2",6.13288102528146e-12,0.1271306098467,0.998,0.993,1.36131560118173e-07
"Crip1",7.33579163907812e-12,-0.697344574537471,0.457,0.538,1.62832567012617e-07
"Ncl",1.51919439159547e-11,-0.123245181855539,1,0.999,3.37215579102446e-07
"Ctla2a",1.54471992914118e-11,-0.420318700888946,0.746,0.796,3.42881482671468e-07
"Bnip3l",1.55394110623444e-11,0.267610467479766,0.897,0.854,3.44928307350859e-07
"Slfn1",2.30841189938196e-11,0.24776550727375,0.91,0.883,5.12398189305814e-07
"Rpl27",2.93012000357959e-11,0.100932941470333,1,0.999,6.50398737194562e-07
"Sub1",3.08292643649782e-11,0.16202314844959,0.999,0.996,6.84317181109422e-07
"Stat2",4.46964894575659e-11,0.365143544790473,0.669,0.602,9.9212797648959e-07
"Mndal",4.5386949225583e-11,0.316660843271783,0.805,0.751,1.00745411196027e-06
"Cd53",5.37382490950246e-11,0.166849924509454,0.994,0.99,1.19282791516226e-06
"Fas",6.58030657097668e-11,0.338503463993895,0.763,0.688,1.46063064955969e-06
"Uba52",6.8636485454913e-11,0.167415993096027,0.984,0.975,1.5235240676427e-06
"Ftsj3",8.52147012737880e-11,-0.216571616452505,0.884,0.901,1.89151072417427e-06
"Gbp2b",9.29574276726923e-11,0.54490854950226,0.622,0.529,2.06337602205075e-06
"Gbp5",1.02593900702422e-10,0.523411589685082,0.494,0.385,2.27727681389167e-06
"Gbp10",1.57503170291405e-10,0.615103929314364,0.344,0.243,3.49609787095833e-06
"Mki67",1.58075073169023e-10,-0.174468799062957,0.895,0.924,3.50879239913281e-06
"H2ac18",1.7015798953189e-10,-0.371638931808042,0.529,0.589,3.77699689363935e-06
"Sem1",2.62639031037473e-10,0.104449490490699,0.998,0.997,5.82979857193878e-06
"Slc25a3",2.68498661170417e-10,0.137685725999639,0.999,0.991,5.95986478199974e-06
"Il1rapl1",2.78860925598831e-10,0.318295541107432,0.663,0.581,6.18987596551725e-06
"H4c4",2.9908977931905e-10,-0.283426741730868,0.817,0.842,6.63889583154495e-06
"Sp100",3.3754098060446e-10,0.224960982517063,0.943,0.905,7.49239714647719e-06
"Sfpq",5.04117490606431e-10,-0.116185512957504,0.999,0.996,1.1189895938991e-05
"Selenof",5.2617917071294e-10,0.173208285069006,0.982,0.972,1.16795990523151e-05
"Pa2g4",5.53454900091215e-10,-0.120260608226332,0.998,0.992,1.22850384173247e-05
"Npm3",5.64840392441061e-10,-0.147823361035083,0.969,0.975,1.25377621910142e-05
"Ms4a6b",5.67461368250519e-10,0.217033938616174,0.935,0.914,1.25959399910568e-05
"Asb2",6.77244131962206e-10,-0.47766154584742,0.561,0.616,1.50327879971651e-05
"Txnrd1",7.04961443801461e-10,-0.230963945324357,0.899,0.914,1.5648029168061e-05
"Srgn",8.21202946333107e-10,0.196437560082226,0.996,0.984,1.8228241799756e-05
"Gapdh",9.95094941608028e-10,0.144944515495067,0.999,0.997,2.20881224188734e-05
"Cytip",9.96106750509777e-10,0.246324633855206,0.929,0.887,2.21105815410655e-05
