"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Irf4",7.19691477163913e-08,-2.51014680010127,0.319,0.419,0.00159749917186074
"Iigp1",1.67821762159394e-06,-1.84904418410901,0.442,0.535,0.0372513965465208
"Erp29",4.7725246182396e-06,-1.01545659039289,0.304,0.333,0.105935728951064
"Setbp1",4.78063311436006e-06,-3.50184056554475,0.069,0.217,0.10611571323945
"Bach2",9.23116388637843e-06,-1.52233145803226,0.467,0.628,0.204904144785942
"Tuba1b",9.60462482864676e-06,-1.67736640446266,0.362,0.457,0.213193857321472
"Gna15",1.2112360624093e-05,0.825840689162367,0.134,0.016,0.268858068772992
"Tmsb4x",1.83222920146764e-05,0.514229328734158,0.986,0.969,0.406699915849771
"Cdk6",2.04001165804156e-05,-1.28509742097616,0.533,0.636,0.452821387735486
"Dynlt3",2.44925797379516e-05,3.51198137442997,0.203,0.023,0.543661792443312
"Cpsf3",2.84670495735313e-05,-0.669402856314334,0.279,0.178,0.631883099383675
"Smyd1",3.42649908221906e-05,4.40714555015883,0.094,0,0.760580001280165
"Serpina3g",3.437387951457e-05,-2.42670849624748,0.087,0.194,0.76299700358491
"Prkca",3.62639314635318e-05,-1.33719278631384,0.409,0.434,0.804950486696016
"F830016B08Rik",4.11115302154175e-05,-1.46959300744698,0.025,0.132,0.912552636191623
"Gm4951",5.57152813200894e-05,-1.8117253527754,0.275,0.411,1
"Irf1",5.73641816837003e-05,-0.978029196020264,0.688,0.674,1
"Gm42997",6.10852845686128e-05,4.27813530924249,0.08,0,1
"Ms4a6b",8.62600623444174e-05,-0.388672768304532,0.645,0.512,1
"Dnaja1",9.54748565803517e-05,-0.428063941522268,0.768,0.643,1
"Mir142hg",0.000104935171222253,-1.16334653297574,0.764,0.783,1
"Slc7a5",0.000122276573068621,-1.82518702667847,0.232,0.287,1
"Rab11a",0.000123067622261685,0.573316869232257,0.337,0.124,1
"Btg2",0.000129575834327025,-1.39013373393509,0.562,0.736,1
"Irf9",0.0001344264214681,-0.821280376161687,0.348,0.504,1
"Ly6e",0.000137342054661136,-0.591183014856518,0.768,0.698,1
"H2ac22",0.000148028097059578,-2.45329833724138,0.036,0.155,1
"Fosb",0.000153253120050169,-3.26182381630274,0.029,0.14,1
"Tmem108",0.000174299273856765,3.74205121305919,0.083,0,1
"Klc1",0.000175398231746474,1.25137916317642,0.344,0.109,1
"Rps2",0.000194891089591718,0.552019759839351,0.938,0.814,1
"Rpl4",0.000221165706536949,0.55446010535156,0.971,0.806,1
"Smyd5",0.000227555908072012,-1.71664655999786,0.13,0.14,1
"Pop1",0.000243770175783604,-1.50192861239374,0.156,0.163,1
"Jun",0.000246015707517833,-1.55917150574994,0.511,0.55,1
"Eomes",0.000254956850257051,-2.26197549895685,0.112,0.202,1
"H1f5",0.000258941949903595,-1.31152874175327,0.674,0.783,1
"Mir155hg",0.000264362111466339,-2.05680084805466,0.134,0.287,1
"Ncapg",0.000266993508580815,-1.33856048140229,0.33,0.388,1
"Gm5914",0.000268843449977255,-1.37646813702108,0.101,0.054,1
"Cish",0.000324879451610091,-1.31101226087961,0.409,0.426,1
"Tex14",0.000329152383875469,-2.28346404713766,0.203,0.419,1
"Tbx21",0.000338167716874583,-2.12315364540967,0.072,0.202,1
"B930036N10Rik",0.000348966155600971,-2.58017035224277,0.112,0.31,1
"H2ax",0.000369736595780259,-2.39424803315166,0.203,0.364,1
"Cops7a",0.000374413697762435,-1.61444434502128,0.152,0.186,1
"Akap9",0.00038313864184136,-1.0051141644951,0.42,0.519,1
"Fabp5",0.000386459631400055,1.19183122787617,0.707,0.403,1
"Smim35",0.000417570016628637,-4.196880750606,0,0.039,1
"Lrrc8c",0.000426908729570332,-0.692749240702047,0.63,0.605,1
"Orai1",0.000433474319921383,-1.86804314377138,0.192,0.287,1
"Sh2d2a",0.000451585911183596,-0.911429523578714,0.232,0.248,1
"Nfkbia",0.0005301071953061,-0.698098384535371,0.88,0.946,1
"Ccl4",0.000533828601283666,-2.26736748951055,0.014,0.085,1
"Fasn",0.000547120753047466,-1.31166281958263,0.243,0.178,1
"mt-Co1",0.000594032479052198,0.683302185621968,0.942,0.775,1
"H2bc9",0.000594084099511215,-3.33872298239113,0.04,0.186,1
"Srgap2",0.000610350890038419,-1.07972076958663,0.362,0.481,1
"Gm49980",0.000662383973217528,1.68902540370716,0.275,0.101,1
"Dnmt3a",0.000663946341894303,-1.55934084089938,0.188,0.24,1
"Lyst",0.000664886511945258,-1.99466841636609,0.275,0.364,1
"Bcl2",0.000673267802721986,-0.889304145994103,0.79,0.775,1
"Gm10053",0.000679221714154618,3.16547439835261,0.065,0,1
"H2ac20",0.00073538122288446,-1.98011827339115,0.33,0.434,1
"Snrpd3",0.000754053829564658,0.501753138814413,0.783,0.488,1
"H2bc6",0.000756278940255491,-1.36560233541749,0.312,0.279,1
"Pde11a",0.00077757440590263,-1.54214201059249,0.239,0.279,1
"Chd3",0.000813819596025155,-0.964820542587221,0.572,0.651,1
"Tnfaip8l2",0.000835357137198855,-1.6555969714603,0.188,0.271,1
"Ifi27l2a",0.000843251060632297,-0.399114989547198,0.772,0.69,1
"Ndufaf8",0.000857996244681537,1.19056551446024,0.304,0.109,1
"Larp1",0.000882311557225374,-0.573874632726442,0.518,0.38,1
"Sgcb",0.000894045495723677,0.361868912344675,0.101,0.016,1
"Snhg10",0.000921664188730404,-0.963561153490428,0.13,0.07,1
"Tbc1d1",0.000921960881319963,-1.40926330210696,0.344,0.395,1
"H2bc4",0.000930319132163134,-2.0727267124448,0.167,0.333,1
"Nudt16l1",0.000937228130835372,-1.65780875279001,0.076,0.171,1
"E130311K13Rik",0.000975960377226323,3.40166216592548,0.072,0,1
"Tmem97",0.000993405678434344,-1.14897457272065,0.207,0.233,1
"Bcl2l1",0.00102014225031182,-1.62755860605279,0.203,0.202,1
"Fth1",0.00103362297385995,0.526736379654681,0.949,0.783,1
