"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Nkg7",1026.41931196972,-1.64910010137862,0.152037288400859,3.46826542968201e-28,3.94341779354845e-24
"P2ry14",637.079736128508,-2.06881957638338,0.213835471893862,3.40326549038154e-23,1.93475643128191e-19
"Ifi202b",467.837719345964,-1.82669346922797,0.204124775112918,4.77580866888599e-20,1.81003148550779e-16
"Ly6c1",312.264224577546,-2.12666839418853,0.252022518461319,2.3151281085338e-18,6.58075164850734e-15
"Klrk1",1164.94730788084,-1.21322219866105,0.148887392678291,5.05502348520835e-18,1.14951234053638e-14
"Ccr5",322.530273888703,-2.00755674559672,0.256812687761169,4.81792743859118e-16,9.1299724961303e-13
"Trat1",1714.13377134804,0.924525629284974,0.135072469688827,4.16212587472252e-14,6.76048159937072e-11
"Dock4",461.468600263702,-1.51186572744563,0.223740609334697,9.23453065234092e-13,1.16662903907907e-09
"Cdkn1a",6863.54382972887,-0.765651995845183,0.116016977188386,8.3751346369836e-13,1.16662903907907e-09
"Ly6c2",346.615445956267,-1.78217889778962,0.262555496880806,1.12014376548569e-12,1.27360346135722e-09
"Il24",186.279170657272,-2.35778204672509,0.378332483906608,1.22533927596011e-11,1.26655523342422e-08
"Ccr2",189.88670014587,-1.87544702115585,0.295393341082064,1.7668486782317e-11,1.67408912262454e-08
"P2rx7",1519.6642389624,0.847455413928259,0.14219882933586,2.39290984614205e-11,2.09287576543347e-08
"Crip1",3188.89651478015,0.673820352841755,0.113603954692393,1.05913671432139e-10,8.60170317273868e-08
"Iigp1",22729.2564815398,-0.583405006140372,0.100133837987868,1.84691265751956e-10,1.39995979439983e-07
"Xdh",716.429047169994,-1.13710685727775,0.217605858535152,1.23810974902283e-09,8.79831740399348e-07
"Il12rb2",2864.86141876288,-0.714126591337246,0.134852252632152,2.48454295765681e-09,1.66172078991518e-06
"Dapl1",1043.2250220614,0.830372000497819,0.166007336930018,5.29369172065306e-09,3.34384860354585e-06
"Gzma",147.278792025871,-1.99451075858512,0.392460970473439,1.2058106420767e-08,7.21582473705896e-06
"Kdm5b",1447.92874820911,-0.691641633838009,0.143017494567112,2.17835788885785e-08,1.23839645981569e-05
"Gm4841",940.135607692886,-0.776515189544768,0.164467143074581,2.5153069397785e-08,1.36185904310865e-05
"Tdg",1487.9637593933,-0.790107476367577,0.171419783852482,3.78542531499486e-08,1.95637662870416e-05
"Fasl",211.308360474513,-1.48840223015743,0.318299005633505,5.27406467603271e-08,2.60722240723878e-05
"Xbp1",9770.03715619888,-0.556821242791087,0.123871139241264,6.4753517075523e-08,3.0676978714529e-05
"Flna",2761.08100551105,0.604483135082395,0.136244693635768,1.01160499030699e-07,4.60077949591621e-05
"Slc24a3",106.341758151326,-1.85225548725837,0.434921663515189,2.075515546344e-07,9.07638913920433e-05
"Ms4a4c",780.479646396544,-0.757567763088004,0.182586131274612,2.37256725369607e-07,9.99114432389791e-05
"Tmem108",416.771669376943,1.00236684047777,0.251511061752233,2.60541357978022e-07,0.000105798401436075
"Sema7a",746.498457758461,-0.796585207059458,0.197576059641639,3.12319835642869e-07,0.000118369217708647
"Adam19",2337.20773588331,-0.547975243019338,0.135256076077943,3.03536734226442e-07,0.000118369217708647
"Slfn5",247.943006896213,-1.22418374488304,0.309702601639565,3.66990638090621e-07,0.000134602695325496
"Lta",8368.54428070253,-0.489732814671825,0.127149696926096,4.06124482155247e-07,0.000144301105065786
"Atf3",272.871883365441,-1.2168848639539,0.319095669351195,5.50491803294314e-07,0.000184641436076651
"Dnah8",2033.533801126,0.614112342200853,0.156039918450176,5.52137979472835e-07,0.000184641436076651
"Hopx",211.959784656875,-1.37184508201045,0.354969107374461,5.75499078677728e-07,0.000186954986416165
"Setbp1",8183.71745176069,-0.418444400562803,0.116392396194457,6.03362086435197e-07,0.000190561858965783
"Eomes",2864.10181468802,-1.25665880450714,0.336034008114824,7.09226298526468e-07,0.00021794332470935
"Serpina3f",290.578512668402,-1.16575940958473,0.318550734905103,8.02853608055122e-07,0.000240222250620704
"Gm19585",3095.46435025283,-0.518015229566535,0.140942992034048,8.91672122134972e-07,0.000259956718683965
"Isg15",3698.26593624148,-0.573233263057515,0.154656101408067,1.0132587648763e-06,0.000276056759692822
"Egln3",1508.19262332399,-0.608016620552955,0.163205150401134,1.02453050583507e-06,0.000276056759692822
"Phf10",1533.95071894212,-0.677248415403075,0.182270913397196,1.04401413076441e-06,0.000276056759692822
"Gm50237",1403.62427586085,-0.594211372517905,0.159665408306838,1.01554452345792e-06,0.000276056759692822
