"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Ly6a",1860.8901179292,-1.26582306327382,0.108781357357067,6.57412167017311e-32,6.67339090739273e-28
"Gzmb",1967.25012570359,-0.849562342273872,0.107173196192345,4.91033241967598e-16,2.49223921960655e-12
"Ifitm1",278.136111613187,-1.32054328053304,0.227419125911372,1.02862403714068e-09,3.48052086700502e-06
"Ifitm3",706.020949707551,-0.742701971770429,0.186188098717033,5.96624377425029e-07,0.00151408351381037
"Ly6c1",94.3637231065228,-1.12049065952945,0.697461291068905,4.57928568510405e-06,0.00929686579789825
"Iigp1",1343.62809457091,-0.437829328762241,0.198811651545545,7.03242796040275e-06,0.0118976960376747
"Myo6",576.611148386101,-0.907966952751306,0.543007652359336,8.9020955162595e-06,0.0129093102265072
"Ifitm2",869.115148481507,-0.493031578229445,0.275416111599884,1.21131330716101e-05,0.0153700517262393
"S100a10",5296.05632505658,-0.232031372387474,0.15846768976203,1.96436578764142e-05,0.0221558634559422
"S100a6",2199.82267660316,-0.260301137132855,0.197891113198392,2.70234578665619e-05,0.0274315120803469
"Il24",55.7745660744343,-0.330667471162978,0.657198219133998,4.21987328268637e-05,0.0356966114104578
"Cysltr1",360.581929433962,-0.440493913942939,0.41019892977926,4.08491918087384e-05,0.0356966114104578
"Ssr2",581.844359701523,-0.228002376478195,0.313543169846363,0.000110463983682918,0.0858932209055017
"Slfn1",954.916895626603,-0.174765289468136,0.244859431223971,0.000118461737038422,0.0858932209055017
"Hspa5",3096.98636079368,-0.104295026646531,0.16408290727539,0.000147693570415339,0.0999491622190736
"Hsp90b1",5965.55505866587,-0.0640818809997687,0.126276693448243,0.000236785249467033,0.150225441708741
"Itgb3",221.472524335285,-0.171257756151643,0.367631915447507,0.000265549989121824,0.15856458468092
"Lgals3",292.345671625959,-0.120699909922843,0.288320635238067,0.00038040019785581,0.214524578246352
"H2-K1",6580.66951018345,-0.0331764812598322,0.0899202976326531,0.000477857136739926,0.25530146289721
"Ifi47",921.741473588635,-0.054818686612043,0.149824651667382,0.000568794048867395,0.288691419502646
"Xbp1",1478.70956802107,-0.0427682364497822,0.122775843855207,0.000624849682153796,0.302040434454437
"Cyp11a1",271.703853421878,-0.0613335313490521,0.209853814091854,0.000905641931212843,0.417871420170072
"S100a4",377.26403373818,-0.0474742755530621,0.172870551738349,0.00109719427659666,0.484244308770987
"Rpl41",16459.836358064,0.0114270781291042,0.0474168194706294,0.00123089108497311,0.520615641815083
"Aff3",584.909150447531,0.0342425793695635,0.131462145589483,0.00128419828364355,0.521435871090628
"Cxcr6",169.276247900613,-0.0414414588508939,0.18746623930809,0.00164979664984024,0.644118684328012
"Manf",2012.9675623376,-0.0159678558245895,0.0708758271455269,0.00172541518325778,0.648692204638878
"H2-D1",8745.58416925736,-0.00835848762851248,0.0410533792356754,0.00195972041811087,0.710468641580122
"Ostc",1028.22166206329,-0.0173085813409487,0.0827450859320142,0.00217144062301751,0.760079095318991
"Mrpl15",540.845537861799,-2.34808060947495e-05,0.00623697153405745,0.918518504558283,0.999996982046982
"Lypla1",296.552631561353,0.000104343886573069,0.00810156084440393,0.702109380370677,0.999996982046982
"Tcea1",916.993056494094,-1.54559091708727e-05,0.0054466318649153,0.944131422609626,0.999996982046982
"Atp6v1h",208.70498314241,-0.000333031101941771,0.0120704180815486,0.370211566924086,0.999996982046982
"4732440D04Rik",40.3898718764524,0.000337946574218438,0.0199593163781204,0.560121142551533,0.999996982046982
"Rb1cc1",376.213348906749,1.77782318785389e-05,0.00698906161099254,0.942308537230297,0.999996982046982
"Pcmtd1",254.5010248893,0.000158682631916607,0.00907757921449111,0.593134026771003,0.999996982046982
"Rrs1",334.208319893345,-0.000196132928383348,0.00869971471931278,0.493889356193679,0.999996982046982
"Mybl1",107.504412711551,8.1631146562722e-05,0.0119120468231306,0.83055399042913,0.999996982046982
"Vcpip1",248.754419275363,-5.29058718659304e-05,0.00828004542905442,0.849521810691772,0.999996982046982
"Sgk3",99.0106140310183,0.00107459310995039,0.0264623326068732,0.157083556711424,0.999996982046982
"Snhg6",222.182682983214,-0.000880226998821673,0.0198023200695255,0.136913668986551,0.999996982046982
"Cops5",391.921662236344,-0.000357719476193645,0.0104768897486583,0.283726839103333,0.999996982046982
"Cspp1",380.671006536177,3.45849309344703e-05,0.00699896587534568,0.888142007770584,0.999996982046982
"Arfgef1",788.580106213621,0.000140444850542194,0.00625353336017327,0.553230719398495,0.999996982046982
"Ncoa2",837.84272716859,0.000115754211892967,0.00594335322476515,0.616288044693135,0.999996982046982
"Tram1",860.37992263455,-0.000315219327727437,0.00785761813580291,0.266224752840164,0.999996982046982
"Lactb2",162.904732247306,4.15778932744871e-05,0.00987869531507373,0.897971413729071,0.999996982046982
"Terf1",407.240656100512,-0.000182577016875322,0.00811780582322338,0.50350950004748,0.999996982046982
"Rpl7",11028.2834130294,-0.000660768754644325,0.0070890184256773,0.0788115146392844,0.999996982046982
"Rdh10",44.616199744009,-0.000453536333119029,0.0209291629958724,0.450707578836537,0.999996982046982
"Stau2",115.619258880995,-9.34348380125489e-05,0.0119386612740214,0.806637261836106,0.999996982046982
"Ube2w",264.308063584438,0.000273640758537482,0.0104993349183438,0.408972933459287,0.999996982046982
"Eloc",1059.10229146864,-0.000197253676792652,0.00626358183672084,0.42310035188297,0.999996982046982
"Tmem70",165.391196719657,2.29334439578585e-05,0.00989311754199602,0.943746079990356,0.999996982046982
