"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-296-3p","7/258",0.00822911444333958,0.227143268065524,0,0,3.21078040778064,15.4119927736808,"BOP1;FZR1;CDKN2A;NDE1;ESYT1;CDC25B;PRRC2A","miRTarBase_2017","DOWN"
"mmu-miR-297c-5p","3/107",0.0694960340564214,0.409237766683516,0,0,3.2690649867374,8.71691468636843,"SKI;GPATCH11;PRR11","miRTarBase_2017","DOWN"
"mmu-miR-297b-5p","3/108",0.0710362764096042,0.409237766683516,0,0,3.23776683087028,8.56248353451072,"SKI;GPATCH11;PRR11","miRTarBase_2017","DOWN"
"hsa-miR-29c-5p","1/13",0.109165473597334,0.451738618119489,0,0,9.38020833333333,20.7761337769104,"GTF2F1","miRTarBase_2017","DOWN"
"mmu-miR-297a-5p","5/341",0.185550845767849,0.515389813811262,0,0,1.6859599944629,2.83987541159588,"SKI;GPATCH11;LYRM9;PRR11;LMNB1","miRTarBase_2017","DOWN"
"hsa-miR-29b-3p","4/261",0.201084597344866,0.530009268001723,0,0,1.76028429410045,2.82354807194101,"CDC42SE1;LASP1;HP1BP3;CALM3","miRTarBase_2017","DOWN"
"mmu-miR-298-5p","3/219",0.306402066973339,0.627196715380707,0,0,1.56505427841635,1.85123555750699,"PTP4A3;HMGB2;POLR2L","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","3/264",0.41455852755913,0.676287123424363,0,0,1.29224468225657,1.13787457206278,"CDC42SE1;SAPCD2;CALM3","miRTarBase_2017","DOWN"
"hsa-miR-299-3p","1/71",0.468609317688995,0.681496264925836,0,0,1.60332792207792,1.21529990831893,"COX20","miRTarBase_2017","DOWN"
"hsa-miR-29b-1-5p","1/74",0.482643292342373,0.68336714533097,0,0,1.53720423412204,1.11981857962778,"JUND","miRTarBase_2017","DOWN"
"hsa-miR-29a-5p","1/98",0.582423564666354,0.72562427592803,0,0,1.15545923149016,0.624591947402958,"DHX8","miRTarBase_2017","DOWN"
"hsa-miR-29b-2-5p","1/119",0.653884378462417,0.763254325098096,0,0,0.948815485362095,0.403080286654872,"FZR1","miRTarBase_2017","DOWN"
"hsa-miR-29c-3p","2/254",0.660156111139205,0.766468995822369,0,0,0.887573696145125,0.36859066361992,"CDC42SE1;CALM3","miRTarBase_2017","DOWN"
"hsa-miR-297","1/190",0.816775982744768,0.851061478301005,0,0,0.590247715247715,0.11946048101409,"NUCKS1","miRTarBase_2017","DOWN"
