"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-29b-3p","26/261",1.9705805974989e-07,0.000539347909535449,0,0,3.54746783563206,54.7720783549684,"ITGB1;DOT1L;MAZ;ISG20L2;PDGFA;NEDD9;PIK3R1;HMGCR;LASP1;C1QTNF6;TDG;GOLGA7;MCL1;ENTPD1;TET2;ZFP91;MORF4L1;MYCN;CDK6;IFNG;IMPDH1;MORF4L2;TET3;DNAJB11;MXD1;B4GALT5","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","25/264",8.73083634678318e-07,0.00119481495405728,0,0,3.34763017590014,46.703573550471,"ITGB1;KDM5B;DOT1L;MAZ;ISG20L2;NEDD9;PIK3R1;HMGCR;OAZ1;C1QTNF6;TDG;GOLGA7;MCL1;ENTPD1;CD93;TET2;ZFP91;SERPINB9;MORF4L1;MYCN;CDK6;IMPDH1;MORF4L2;TET3;MXD1","miRTarBase_2017","DOWN"
"hsa-miR-29c-3p","23/254",5.06242533596436e-06,0.00318474590605569,0,0,3.17718614718615,38.741543121395,"ITGB1;KDM5B;CHIC2;ENTPD1;DOT1L;MAZ;TET2;ISG20L2;NEDD9;ZFP91;HMGCR;MORF4L1;MYCN;CDK6;MTHFD2;C1QTNF6;MORF4L2;TDG;TET3;OTULIN;MXD1;GOLGA7;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-299-5p","5/63",0.0462584390405864,0.352402410730622,0,0,2.69487222408213,8.2827204104351,"RAB21;CDKN1A;H3F3B;SPP1;SEC63","miRTarBase_2017","DOWN"
"hsa-miR-29a-5p","6/98",0.0855956769584113,0.429796001454678,0,0,2.03843985624692,5.01073079851909,"PLAC8;DCTN6;HSD17B12;MAPK6;GEM;VAMP3","miRTarBase_2017","DOWN"
"mmu-miR-291b-3p","2/16",0.0871847212722697,0.429796001454678,0,0,4.45433632390154,10.8673609358703,"CDKN1A;PPP1R3B","miRTarBase_2017","DOWN"
"hsa-miR-298","8/165",0.144239279590008,0.520709261372804,0,0,1.59246025581275,3.08345164274411,"DCTN6;CDKN1A;ID2;AK2;SSR1;BAX;MSMO1;DCTPP1","miRTarBase_2017","DOWN"
"mmu-miR-29c-3p","2/24",0.170982261681885,0.54289843413378,0,0,2.8334065290587,5.00434974998253,"PIGT;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29a-3p","3/47",0.179871247462708,0.544665118392769,0,0,2.12606304985337,3.64729087568731,"PIGT;ARPC3;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-296-3p","11/258",0.183329666578151,0.548986102214878,0,0,1.3920642481014,2.3615942467593,"EIF5A;KDM5B;ARF1;PKM;HILPDA;LMNA;MAZ;ISG20L2;SNRPC;SEC63;GRINA","miRTarBase_2017","DOWN"
