"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-29c-3p","17/254",5.81929663407314e-09,1.17898949806322e-05,0,0,6.64097026416302,125.926652166361,"CD274;KDM5B;ENTPD1;DOT1L;TET2;HMGCR;MORF4L1;CDK6;TESPA1;MORF4L2;TDG;OTULIN;DNMT3B;SGK1;MXD1;GOLGA7;CREB5","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","15/264",3.95026152692458e-07,0.00040016149267746,0,0,5.52152271056055,81.4110638566176,"KDM5B;ENTPD1;DOT1L;TET2;TET1;HMGCR;MORF4L1;CDK6;TESPA1;MORF4L2;TDG;DNMT3B;SGK1;MXD1;GOLGA7","miRTarBase_2017","DOWN"
"hsa-miR-29b-3p","14/261",1.91969718955675e-06,0.00129643550201399,0,0,5.17140262590336,68.0729470633635,"ENTPD1;DOT1L;TET2;TET1;HMGCR;MORF4L1;CDK6;TESPA1;MORF4L2;TDG;DNMT3B;SGK1;MXD1;GOLGA7","miRTarBase_2017","DOWN"
"mmu-miR-29a-3p","3/47",0.0164028273807762,0.737353592171961,0,0,5.97818181818182,24.5721300397528,"EOMES;DNMT3B;TET1","miRTarBase_2017","DOWN"
"mmu-miR-29b-3p","3/51",0.0203815774705047,0.77389690007422,0,0,5.47888888888889,21.3299930120234,"EOMES;DNMT3B;BAK1","miRTarBase_2017","DOWN"
"hsa-miR-29c-5p","1/13",0.138513405630941,0.860745514983706,0,0,7.25403817914831,14.3396968317317,"DNMT3B","miRTarBase_2017","DOWN"
"mmu-miR-291b-3p","1/16",0.167661775313115,0.860745514983706,0,0,5.80234948604993,10.361873839768,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-295-3p","1/61",0.503638131845946,0.860745514983706,0,0,1.44728340675477,0.992687724815252,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-294-3p","1/61",0.503638131845946,0.860745514983706,0,0,1.44728340675477,0.992687724815252,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-291a-3p","1/62",0.509313954908714,0.860745514983706,0,0,1.42348523145808,0.960412169377176,"CDKN1A","miRTarBase_2017","DOWN"
"hsa-miR-299-5p","1/63",0.51492515700158,0.860745514983706,0,0,1.40045473923547,0.929529026887878,"CDKN1A","miRTarBase_2017","DOWN"
"hsa-miR-299-3p","1/71",0.5575746086513,0.860745514983706,0,0,1.23989930774072,0.724298286921426,"ACADSB","miRTarBase_2017","DOWN"
"hsa-miR-298","2/165",0.563313693856353,0.860745514983706,0,0,1.0646071990879,0.610997898074686,"CDKN1A;BDH1","miRTarBase_2017","DOWN"
"hsa-miR-296-3p","3/258",0.566126686925485,0.860745514983706,0,0,1.02049673202614,0.580598754707376,"KDM5B;IRF1;ITM2C","miRTarBase_2017","DOWN"
"hsa-miR-29b-1-5p","1/74",0.572587104412881,0.860745514983706,0,0,1.18876350250438,0.662843125997602,"SOCS1","miRTarBase_2017","DOWN"
"mmu-miR-297b-3p","2/169",0.576348200179854,0.860745514983706,0,0,1.03889566000742,0.572476479060246,"NFKBIA;CYSLTR1","miRTarBase_2017","DOWN"
"hsa-miR-29a-5p","1/98",0.675789906299703,0.873012847131171,0,0,0.893546482583224,0.350156777173955,"PLAC8","miRTarBase_2017","DOWN"
"mmu-miR-297c-5p","1/107",0.70773208926303,0.873012847131171,0,0,0.817305294655473,0.282533990976384,"GNAQ","miRTarBase_2017","DOWN"
"mmu-miR-297b-5p","1/108",0.711081848478742,0.873012847131171,0,0,0.809625756515295,0.276056263144609,"GNAQ","miRTarBase_2017","DOWN"
"hsa-miR-29b-2-5p","1/119",0.745499430099716,0.880689122671734,0,0,0.733741506757261,0.215500547675428,"CREB5","miRTarBase_2017","DOWN"
"mmu-miR-297a-5p","3/341",0.749106060745318,0.882400416161154,0,0,0.766627218934911,0.221459209689692,"GNAQ;CHD7;TM6SF1","miRTarBase_2017","DOWN"
"mmu-miR-292a-5p","1/146",0.813642156690717,0.898821706355176,0,0,0.59629348321434,0.122976360266158,"RAB27B","miRTarBase_2017","DOWN"
"mmu-miR-290a-5p","1/146",0.813642156690717,0.898821706355176,0,0,0.59629348321434,0.122976360266158,"RAB27B","miRTarBase_2017","DOWN"
"hsa-miR-297","1/190",0.887954141317132,0.937360938406065,0,0,0.456448267020954,0.0542421119649945,"ZSWIM6","miRTarBase_2017","DOWN"
