"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"hsa-miR-29b-3p","21/261",1.37823034375608e-07,0.000336701672979611,0,0,4.29616116751269,67.8677267670046,"ITGB1;KDM6B;KLHDC3;ENTPD1;DOT1L;DNMT3A;TET2;ISG20L2;TET1;RUNDC3B;MORF4L1;MYCN;CDK6;IFNG;MORF4L2;TBX21;DNAJB11;DNMT3B;SGK1;GOLGA7;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-29c-3p","18/254",6.54630587616306e-06,0.00799631262773318,0,0,3.71730777440977,44.3720518735645,"ITGB1;KDM6B;KLHDC3;KDM5B;CHIC2;ENTPD1;DOT1L;DNMT3A;TET2;ISG20L2;MORF4L1;MYCN;CDK6;MORF4L2;DNMT3B;SGK1;GOLGA7;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-29a-3p","18/264",1.11209115532667e-05,0.00905612897487683,0,0,3.56435461080052,40.6574642081902,"ITGB1;KDM6B;KLHDC3;KDM5B;ENTPD1;DOT1L;DNMT3A;TET2;ISG20L2;TET1;MORF4L1;MYCN;CDK6;MORF4L2;DNMT3B;SGK1;GOLGA7;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29a-3p","7/47",4.83776286043602e-05,0.029546636670113,0,0,8.38327205882353,83.3001570511172,"EOMES;PIGT;TBX21;DNMT3A;DNMT3B;TET1;MCL1","miRTarBase_2017","DOWN"
"mmu-miR-29b-3p","7/51",8.29310198735719e-05,0.0405200963102272,0,0,7.61959670231729,71.6051705370449,"EOMES;PIGT;TBX21;DNMT3A;DNMT3B;BAK1;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-29c-5p","2/13",0.0288035398219825,0.783450476427516,0,0,8.6172132951794,30.5674700862327,"DNMT3A;DNMT3B","miRTarBase_2017","DOWN"
"mmu-miR-29c-3p","2/24",0.0878809372734728,0.970044113718815,0,0,4.30618534008364,10.4716625135098,"PIGT;MCL1","miRTarBase_2017","DOWN"
"hsa-miR-299-5p","3/63",0.142599732686575,0.970044113718815,0,0,2.36953883495146,4.61518312254749,"CDKN1A;KLF3;RECK","miRTarBase_2017","DOWN"
"hsa-miR-296-3p","8/258",0.16945801210059,0.970044113718815,0,0,1.52019656019656,2.69857707443739,"SLC7A5;CHRM3;KDM5B;IRF1;ISG20L2;ANKRD52;SNRPC;CCDC184","miRTarBase_2017","DOWN"
"hsa-miR-29b-2-5p","4/119",0.234319965770133,0.970044113718815,0,0,1.647730879086,2.39096909408139,"KCNK5;SLC7A5;SH3BP2;RECK","miRTarBase_2017","DOWN"
"mmu-miR-291b-3p","1/16",0.285104870412444,0.970044113718815,0,0,3.15136876006441,3.95464698465782,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-298-5p","6/219",0.303357004477493,0.970044113718815,0,0,1.33420572333758,1.59150053859086,"DFFB;SCO1;ISG20L2;SLC3A2;TSPAN31;POLR2L","miRTarBase_2017","DOWN"
"hsa-miR-296-5p","2/74",0.456158960358819,0.970044113718815,0,0,1.31241592682271,1.03013354676967,"SLC7A5;LUZP1","miRTarBase_2017","DOWN"
"hsa-miR-29b-1-5p","2/74",0.456158960358819,0.970044113718815,0,0,1.31241592682271,1.03013354676967,"KCNK5;LZIC","miRTarBase_2017","DOWN"
"hsa-miR-29a-5p","2/98",0.606536909812786,0.970044113718815,0,0,0.983101291364003,0.4915405151968,"PLAC8;GEM","miRTarBase_2017","DOWN"
"hsa-miR-298","3/165",0.668788350535487,0.970044113718815,0,0,0.873022294138799,0.35120607472817,"CDKN1A;BDH1;DCTPP1","miRTarBase_2017","DOWN"
"mmu-miR-295-3p","1/61",0.722242278023252,0.970044113718815,0,0,0.786030595813205,0.255770135875493,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-294-3p","1/61",0.722242278023252,0.970044113718815,0,0,0.786030595813205,0.255770135875493,"CDKN1A","miRTarBase_2017","DOWN"
"mmu-miR-291a-3p","1/62",0.728023353268254,0.970044113718815,0,0,0.773105250653362,0.245400732875639,"CDKN1A","miRTarBase_2017","DOWN"
"hsa-miR-299-3p","1/71",0.774939074788155,0.970044113718815,0,0,0.673395445134576,0.171696219736076,"MYCN","miRTarBase_2017","DOWN"
"mmu-miR-297b-3p","2/169",0.868675863149675,0.971756070360786,0,0,0.563077235359789,0.0792729542174373,"NFKBIA;CYSLTR1","miRTarBase_2017","DOWN"
"hsa-miR-297","2/190",0.907513781206712,0.971756070360786,0,0,0.499639379733141,0.0484882665833769,"MX2;ZSWIM6","miRTarBase_2017","DOWN"
"mmu-miR-292a-5p","1/146",0.953699589733355,0.978377357033401,0,0,0.32383808095952,0.015352047012911,"RAB27B","miRTarBase_2017","DOWN"
"mmu-miR-290a-5p","1/146",0.953699589733355,0.978377357033401,0,0,0.32383808095952,0.015352047012911,"RAB27B","miRTarBase_2017","DOWN"
"mmu-miR-297a-5p","2/341",0.993837092703716,0.99465137954739,0,0,0.274929110687323,0.00169960527317947,"GALNT3;TM6SF1","miRTarBase_2017","DOWN"
"hsa-miR-2964a-5p","42/1825",0.261345933845208,0.99993254871193,0,0,1.12423709776125,1.50862537734836,"FYTTD1;DHRS13;LUZP1;PTGER3;FSTL4;STX11;APH1A;GMPPB;SH3BP2;CHAC1;CCR5;PHLDA1;ACVR1;NANOS1;CD74;GABARAPL1;ENTPD1;MLKL;DAPK2;TNFRSF9;STX7;DNMT3A;TEX14;USB1;FRMD4B;FOSL2;PIGC;TMEM37;SLC7A5;CDK6;NR4A3;RNF128;SETBP1;IL2RB;BHLHE40;AHRR;PIGM;MYO1H;SGK1;GPLD1;F2RL2;TMEM229B","TargetScan_microRNA_2017","DOWN"
"mmu-miR-293","9/382",0.396946515524479,0.99993254871193,0,0,1.14177419141827,1.05494652180436,"KCNK5;LGALS3;TMEM37;SETBP1;LUZP1;KCTD20;DOT1L;FHL2;PHLDA1","TargetScan_microRNA_2017","DOWN"
"mmu-miR-296-5p","36/1760",0.562010969864911,0.99993254871193,0,0,0.984083159370428,0.567062086636392,"SEMA7A;FCMR;LUZP1;CD82;ITGB3;UBE2L6;ZCCHC18;FSTL4;STX11;TNFSF13B;APH1A;GMPPB;FUT7;DNMT3B;BAK1;LARGE1;CCR5;SLC19A1;KDM6B;SDF2L1;EGR3;RNF26;FBXW9;STX7;MBOAT2;USB1;FOSL2;CDK6;NR4A3;DOLPP1;IRF1;MAPKAPK2;SPNS1;PIGM;PTPN5;TMEM229B","TargetScan_microRNA_2017","DOWN"
"hsa-miR-296-3p","38/1950",0.684001392061775,0.99993254871193,0,0,0.9316754159129,0.353845968483904,"SERPINE2;ITGB3;FGL2;DOT1L;PTGER3;ISG20L2;FSTL4;STX11;ABHD13;DBT;SLAMF7;ANKRD52;LARGE1;CCR2;KDM6B;CD74;ENTPD1;EGR2;EGR3;HSPA5;DAPK2;BCKDHB;LIF;MBOAT2;BMP7;MPEG1;GPRIN3;SELP;TMEM37;SLC7A5;SETBP1;OSTC;WDFY1;AHRR;NUPR1;ATF5;MYO1H;TMEM229B","TargetScan_microRNA_2017","DOWN"
"mmu-miR-290-3p","30/1739",0.878761372981127,0.99993254871193,0,0,0.815058551746673,0.105339710716328,"CDKN1A;DOCK4;SLC35B4;LUZP1;ITGB3;LAGE3;MRPL32;RASGRP4;PLAC8;ITGAV;ANKRD52;PIM2;ACVR1;NANOS1;EGR2;EGR3;PDCD1LG2;MPEG1;TMEM37;EHD3;MAF;CDK6;SETBP1;RPL7L1;IRF1;IL2RB;RECK;ATF3;ASF1A;F2RL2","TargetScan_microRNA_2017","DOWN"
"mmu-miR-292-3p","30/1739",0.878761372981127,0.99993254871193,0,0,0.815058551746673,0.105339710716328,"CDKN1A;DOCK4;SLC35B4;LUZP1;ITGB3;LAGE3;MRPL32;RASGRP4;PLAC8;ITGAV;ANKRD52;PIM2;ACVR1;NANOS1;EGR2;EGR3;PDCD1LG2;MPEG1;TMEM37;EHD3;MAF;CDK6;SETBP1;RPL7L1;IRF1;IL2RB;RECK;ATF3;ASF1A;F2RL2","TargetScan_microRNA_2017","DOWN"
