feature,N,layer,frac
Other,2839,chimeric (miR target),0.29637749243136
CDS,1591,chimeric (miR target),0.166092493997286
3' UTR,2075,chimeric (miR target),0.216619688902808
5' UTR,76,chimeric (miR target),0.00793402234053659
Intron,2998,chimeric (miR target),0.312976302328009
3' UTR,13225,AGO2 occupancy,0.288383959528119
CDS,12705,AGO2 occupancy,0.277044854881267
Intron,16274,AGO2 occupancy,0.354870363505528
Other,1112,AGO2 occupancy,0.0242482391678842
miRNA,1722,AGO2 occupancy,0.0375498811574609
5' UTR,821,AGO2 occupancy,0.0179027017597418
