miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,sig
mmu-miR-21a-5p,666.785939618059,7.74874538831623,0.99376753002383,7.79734208877847,6.32246780646443e-15,6.51214184065836e-13,Teff_vs_Tn,TRUE
mmu-miR-147-3p,118.425037658902,11.2293279711939,1.58564626964316,7.08186194246278,1.42230319378385e-12,7.32486144798683e-11,Teff_vs_Tn,TRUE
mmu-miR-34a-5p,161.128281438445,7.24809102210819,1.25236161518702,5.78753846669584,7.14253345641959e-09,2.45226982003739e-07,Teff_vs_Tn,TRUE
mmu-miR-182-5p,40.8654695157593,9.41185559653216,1.68154285834088,5.59715474978647,2.17898198889463e-08,5.61087862140366e-07,Teff_vs_Tn,TRUE
mmu-miR-210-3p,130.001092989358,8.4134939943076,1.59250585591676,5.28317931331199,1.26961012158061e-07,2.61539685045606e-06,Teff_vs_Tn,TRUE
mmu-let-7c-5p,61.9786632305982,-2.80519198674739,0.702176788591843,-3.99499389943232,6.4695918820508e-05,0.000951954234073189,Teff_vs_Tn,TRUE
mmu-let-7i-3p,72.0681611232096,4.03936897326412,1.00354428566224,4.02510285891225,5.69504171022248e-05,0.000951954234073189,Teff_vs_Tn,TRUE
mmu-miR-155-5p,1531.02110083205,2.55529243712992,0.670253347855143,3.81242771156166,0.000137608482425218,0.00177170921122469,Teff_vs_Tn,TRUE
mmu-miR-18a-5p,22.5428684639595,4.39411825802517,1.33774758419103,3.28471402972662,0.00102085928835813,0.0116831674112097,Teff_vs_Tn,TRUE
mmu-let-7b-5p,103.475107668745,-1.71017504645637,0.545892958588754,-3.13280290494592,0.00173145667315472,0.0178340037334937,Teff_vs_Tn,TRUE
mmu-miR-744-5p,16.3332807654536,4.77848621584769,1.56766080042509,3.04816336196704,0.00230244723164788,0.021559278623612,Teff_vs_Tn,TRUE
mmu-miR-21a-3p,6.88102498624933,7.13730353946465,2.43735030902866,2.92830436110311,0.00340816240489137,0.0292533939753176,Teff_vs_Tn,TRUE
mmu-miR-466i-5p,3052.51758285121,-1.60636513697422,0.565084481972212,-2.84269907991069,0.00447332839935003,0.0354425250102349,Teff_vs_Tn,TRUE
mmu-miR-301a-3p,5.96676690647253,5.99009095394949,2.14321153937871,2.79491354161239,0.00519135968128667,0.0381935747980376,Teff_vs_Tn,TRUE
mmu-miR-27a-3p,84.8285472615749,-1.70458596191197,0.662174340567868,-2.57422533233492,0.0100464819585323,0.0689858427819219,Teff_vs_Tn,FALSE
mmu-miR-106b-3p,4.97451437391345,6.39881459475677,2.56325605163789,2.49636184050672,0.0125474536568851,0.0807742329161979,Teff_vs_Tn,FALSE
mmu-miR-181a-5p,11.585205144693,-4.16736249912738,1.73329993864071,-2.40429391718291,0.0162037394934453,0.0981755981073448,Teff_vs_Tn,FALSE
mmu-miR-191-5p,79.6662164708792,1.36185900746598,0.576469616369572,2.36241246510536,0.0181564286940912,0.103895119749522,Teff_vs_Tn,FALSE
mmu-miR-664-3p,8.56171306566308,-6.87515218174906,3.03070687880252,-2.26849789725146,0.023298877026627,0.126304438618031,Teff_vs_Tn,FALSE
mmu-miR-31-5p,9.80758460237172,4.81980091146314,2.23144673427573,2.1599444151767,0.030776972853696,0.158501410196534,Teff_vs_Tn,FALSE
mmu-let-7i-5p,154.851590467119,2.56039963189353,1.22344710318031,2.09277509852111,0.0363692357131655,0.17838244183124,Teff_vs_Tn,FALSE
mmu-miR-34a-3p,3.49506837955771,6.39122277985885,3.2209897673748,1.98424187639313,0.0472288822704563,0.221117039720773,Teff_vs_Tn,FALSE
mmu-miR-30d-5p,24.0239556068785,-1.68991471227892,0.867445742680187,-1.94815033278913,0.0513969777277233,0.230169074171978,Teff_vs_Tn,FALSE
mmu-miR-150-5p,159.345519410643,-1.59245365262376,0.851388534388432,-1.87041942462574,0.0614255966143689,0.2530734580512,Teff_vs_Tn,FALSE
mmu-miR-30b-5p,10.0756665669941,-3.21740460151137,1.7096636158222,-1.8818933571117,0.0598504965692883,0.2530734580512,Teff_vs_Tn,FALSE
mmu-miR-101c,5.73517579417097,-6.02404084271743,3.28088882415815,-1.8361002659891,0.0663428289807641,0.254602995840306,Teff_vs_Tn,FALSE
mmu-miR-378b,11.4348677818941,-2.24762491247941,1.22592132228977,-1.83341693436029,0.0667405911426045,0.254602995840306,Teff_vs_Tn,FALSE
mmu-miR-142a-3p,1406.19365028882,-0.711387190925266,0.398091280273567,-1.78699515959356,0.0739382709045709,0.262088374821153,Teff_vs_Tn,FALSE
mmu-miR-423-5p,30.6538925163822,1.54494767238016,0.87169429091741,1.77235033942254,0.0763364198508212,0.262088374821153,Teff_vs_Tn,FALSE
mmu-miR-703,11.9811654342132,2.57499307938498,1.42803066658423,1.80317771854594,0.0713603085848412,0.262088374821153,Teff_vs_Tn,FALSE
mmu-miR-706,23.691745407061,-2.86477980187563,1.63719836206866,-1.74980617391767,0.0801517649897698,0.266310703030526,Teff_vs_Tn,FALSE
mmu-miR-449c-5p,9.53789737592742,4.81131744490137,2.82347384932141,1.70404179449288,0.0883732793906918,0.284451493038789,Teff_vs_Tn,FALSE
mmu-miR-155-3p,3.48980296896455,5.39024107382172,3.35038562610597,1.60884198876134,0.107650896941988,0.316801211000707,Teff_vs_Tn,FALSE
mmu-miR-30e-5p,42.0046677169651,-1.2542164187228,0.777464010045712,-1.61321476302043,0.106697857173054,0.316801211000707,Teff_vs_Tn,FALSE
mmu-miR-671-5p,14.79347961121,2.10217451904176,1.28732851823588,1.63297440339668,0.102474380200853,0.316801211000707,Teff_vs_Tn,FALSE
mmu-miR-6236,91.0745898374707,1.5420421189465,0.970690994232404,1.58860247814074,0.112150168369303,0.320874092834396,Teff_vs_Tn,FALSE
mmu-miR-26a-5p,310.124859965649,-1.00592069435623,0.651974076159162,-1.54288449669993,0.122858803031675,0.33024456248106,Teff_vs_Tn,FALSE
mmu-miR-26b-5p,253.374888099369,-1.16071814965961,0.745904912255855,-1.55612080117455,0.119679369526233,0.33024456248106,Teff_vs_Tn,FALSE
mmu-miR-30e-3p,3.30410492829407,3.53003350713124,2.30128308242305,1.5339414494867,0.12504405763846,0.33024456248106,Teff_vs_Tn,FALSE
