state,region,N,frac
Tn,3' UTR,201,0.14639475600874
Tn,ncRNA_exon,322,0.234522942461763
Tn,intron,785,0.571740713765477
Tn,CDS,54,0.0393299344501093
Tn,5' UTR,11,0.00801165331391115
Teff,3' UTR,155,0.282331511839709
Teff,ncRNA_exon,249,0.453551912568306
Teff,intron,90,0.163934426229508
Teff,CDS,47,0.0856102003642987
Teff,5' UTR,8,0.0145719489981785
Tmem,3' UTR,467,0.405381944444444
Tmem,ncRNA_exon,305,0.264756944444444
Tmem,CDS,235,0.203993055555556
Tmem,intron,111,0.0963541666666667
Tmem,5' UTR,34,0.0295138888888889
Tex,3' UTR,79,0.245341614906832
Tex,ncRNA_exon,125,0.388198757763975
Tex,intron,77,0.239130434782609
Tex,5' UTR,5,0.015527950310559
Tex,CDS,36,0.111801242236025
