state,miRNA,gene,n_clusters,coverage,regions
Tn,mmu-miR-92a-3p,Pcmtd1,1,22.9073752009463,3' UTR
Tn,mmu-miR-466i-5p,Ncoa2,1,4.33746371275783,intron
Tn,mmu-miR-466i-5p,Fam168b,1,16.2644610798553,3' UTR
Tn,mmu-miR-466i-5p,Hs6st1,1,3.42307692307692,intron
Tn,mmu-miR-466i-5p,Coa5,1,3.57465578395642,3' UTR
Tn,mmu-miR-466i-5p,Aff3,3,20.4719737207237,intron
Tn,mmu-miR-466i-5p,Map4k4,3,23.7467228670274,intron
Tn,mmu-miR-466i-5p,Nab1,1,8.79327050344195,intron
Tn,mmu-miR-466i-5p,Ankrd44,1,4,intron
Tn,mmu-miR-466f-3p,Casp8,1,3.95685942655592,3' UTR
Tn,mmu-miR-466i-5p,Creb1,1,7.80323109433705,intron
Tn,mmu-miR-466i-5p,Dock10,2,8.10865505474833,"CDS,intron"
Tn,mmu-miR-142a-3p,Dock10,1,5.42620102559489,intron
Tn,mmu-miR-466i-5p,Sp100,1,4.07987421383648,intron
Tn,mmu-miR-3535,Ncl,1,32.9704118253515,ncRNA_exon
Tn,mmu-miR-26a-5p,Arl4c,1,7.76373680957217,3' UTR
Tn,mmu-miR-15b-5p,Septin2,1,4.16431556948798,3' UTR
Tn,mmu-miR-466i-5p,Bcl2,5,61.1142844378396,intron
Tn,mmu-miR-466i-5p,Mgat5,1,4.45888783636,intron
Tn,mmu-miR-466i-5p,Ikbke,1,4.86835497835498,intron
Tn,mmu-miR-466i-5p,Mdm4,1,3.76169748849229,intron
Tn,mmu-miR-342-3p,Ptprc,1,19.2475784874041,3' UTR
Tn,mmu-miR-466i-5p,Ptprc,8,75.1601273559365,intron
Tn,mmu-miR-27a-3p,Ptprc,1,21.5334051903469,CDS
Tn,mmu-miR-466f-3p,Ptprc,2,8.25998146360757,intron
Tn,mmu-miR-466i-5p,Rnasel,1,8.88888123811397,3' UTR
Tn,mmu-miR-466i-5p,Rcsd1,3,28.7531765268717,intron
Tn,mmu-miR-466i-5p,Cd247,4,46.0946238956489,intron
Tn,mmu-miR-466i-5p,Arhgap30,2,14.2604408365405,intron
Tn,mmu-miR-466f-3p,Ifi213,1,4.26882716049383,5' UTR
Tn,mmu-miR-466i-5p,Akt3,2,26.1251729813888,intron
Tn,mmu-miR-466i-5p,Smyd3,1,11.4176439232409,intron
Tn,mmu-miR-466i-5p,Itpkb,5,46.1290998659687,intron
Tn,mmu-miR-466i-5p,Wdr26,2,11.3555988902643,3' UTR
Tn,mmu-miR-92a-3p,Wdr26,1,3.71763689526847,3' UTR
Tn,mmu-miR-466i-5p,Hsd11b1,3,34.5372226055831,intron
Tn,mmu-miR-466i-5p,Ipcef1,3,17.9096869801445,intron
Tn,mmu-miR-466i-5p,Zc3h12d,1,3.93202764976959,3' UTR
Tn,mmu-miR-466i-5p,Utrn,2,16.5495845946983,intron
Tn,mmu-miR-466i-5p,Hbs1l,1,3.69979147888556,intron
Tn,mmu-miR-26a-5p,Rps12,4,276.140470510406,ncRNA_exon
Tn,mmu-miR-26b-5p,Rps12,4,248.632601635816,ncRNA_exon
Tn,mmu-miR-466i-5p,Themis,8,61.7845938236868,intron
Tn,mmu-miR-466i-5p,Fyn,2,11.6716660533596,intron
Tn,mmu-miR-466i-5p,Scml4,15,347.37307302372,intron
Tn,mmu-let-7d-5p,Ascc3,1,9.50740559376582,CDS
Tn,mmu-miR-466i-5p,Vsir,3,25.0661037157054,intron
Tn,mmu-miR-466i-5p,Abca7,1,15.2797600787381,CDS
Tn,mmu-miR-466i-5p,Hcfc2,1,10.3732885373108,3' UTR
Tn,mmu-miR-466i-5p,Btbd11,1,4.48837209302326,intron
Tn,mmu-miR-466i-5p,Cdk17,2,14.372854606476,intron
Tn,mmu-miR-150-5p,Btg1,1,8.40331691297209,3' UTR
Tn,mmu-miR-466i-5p,Ppp1r12a,1,4.92207792207792,intron
Tn,mmu-miR-466i-5p,Cpm,2,12.1733161510076,intron
Tn,mmu-miR-466i-5p,Ppm1h,9,86.6521730431045,intron
Tn,mmu-miR-466f-3p,Ppm1h,1,5.61288798920378,intron
Tn,mmu-miR-466f-3p,Agap2,1,6.41986687147977,intron
Tn,mmu-miR-466i-5p,Dgka,2,10.1255693604364,intron
Tn,mmu-miR-466i-5p,Mtmr3,2,20.5030726268395,intron
Tn,mmu-miR-466i-5p,Znrf3,2,9.76426434676435,intron
Tn,mmu-miR-466i-5p,Ccm2,3,19.5975131091266,intron
Tn,mmu-miR-466i-5p,Ikzf1,2,23.8198351112548,intron
Tn,mmu-miR-92a-3p,Ikzf1,1,9.57656034993396,3' UTR
Tn,mmu-miR-27a-3p,Ikzf1,1,23.147450849783,3' UTR
Tn,mmu-miR-142a-3p,Peli1,1,10.5221563680745,ncRNA_exon
Tn,mmu-let-7a-5p,Sptbn1,1,6.63197029172248,3' UTR
Tn,mmu-let-7c-5p,Sptbn1,1,8.78697648260405,3' UTR
Tn,mmu-miR-142a-3p,Sptbn1,1,4.73274726592781,3' UTR
Tn,mmu-miR-466i-5p,Nsg2,2,15.5563971005712,intron
Tn,mmu-miR-466i-5p,Stk10,1,9.37867604075969,intron
Tn,mmu-miR-466i-5p,Dock2,9,51.9315898288148,intron
Tn,mmu-miR-466f-3p,Dock2,1,4.98733670009269,intron
Tn,mmu-miR-142a-3p,Dock2,6,56.6739087675958,intron
Tn,mmu-miR-30d-5p,Dock2,2,9.82202180841993,intron
Tn,mmu-let-7a-5p,Dock2,1,10.8546698924909,intron
Tn,mmu-let-7f-5p,Dock2,3,31.837289812001,intron
Tn,mmu-let-7g-5p,Dock2,2,19.927433454051,intron
Tn,mmu-miR-16-5p,Dock2,1,6.31104558176729,intron
Tn,mmu-miR-30b-5p,Dock2,2,7.9429175361581,intron
Tn,mmu-miR-30c-5p,Dock2,1,4.09743526307109,intron
Tn,mmu-miR-30e-5p,Dock2,2,16.3624730649631,intron
Tn,mmu-miR-466i-5p,Adam19,2,11.9042947886251,3' UTR
Tn,mmu-miR-466i-5p,Cyfip2,2,8.66504498698086,intron
Tn,mmu-miR-155-5p,Itk,1,8.97137941035,3' UTR
Tn,mmu-miR-466i-5p,Itk,1,5.96212121212121,intron
Tn,mmu-miR-26a-5p,Itk,1,31.6649978169552,intron
Tn,mmu-miR-466i-5p,Tcf7,1,6.91960585914224,intron
Tn,mmu-miR-466i-5p,Rapgef6,1,4.66880211854857,intron
Tn,mmu-miR-142a-3p,Rapgef6,1,58.1264975740661,3' UTR
Tn,mmu-miR-466i-5p,Galnt10,5,30.8704515301705,intron
Tn,mmu-miR-466i-5p,Larp1,1,15.8808475509043,3' UTR
Tn,mmu-miR-466i-5p,Gid4,1,10.7775009147728,5' UTR
Tn,mmu-miR-466i-5p,Pik3r5,1,6.76273468587873,intron
Tn,mmu-miR-466i-5p,Spag7,2,18.3414769023936,3' UTR
Tn,mmu-miR-92a-3p,Zzef1,1,8.11655689009428,CDS
Tn,mmu-miR-466i-5p,Inpp5k,4,34.0535448105934,intron
Tn,mmu-miR-466i-5p,Nxn,1,5.19816239552776,intron
Tn,mmu-miR-466i-5p,Ssh2,2,17.0330923473106,3' UTR
Tn,mmu-miR-142a-3p,Taok1,2,25.182333289661,3' UTR
Tn,mmu-miR-466i-5p,Nufip2,2,42.2195563343351,3' UTR
Tn,mmu-miR-466i-5p,Trim25,2,16.7591241522816,3' UTR
Tn,mmu-miR-466i-5p,Spop,2,17.9708582548128,5' UTR
Tn,mmu-miR-466i-5p,Skap1,10,102.103923168685,intron
Tn,mmu-miR-3960,Mllt6,1,3.45061728395062,5' UTR
Tn,mmu-miR-466i-5p,Lasp1,1,5.98401826484018,3' UTR
Tn,mmu-miR-466i-5p,Ikzf3,1,9.34912495850524,intron
Tn,mmu-miR-466i-5p,Msl1,1,10.4724582971462,3' UTR
Tn,mmu-miR-15a-5p,Ccr7,1,7.20543479099836,3' UTR
Tn,mmu-miR-16-5p,Ccr7,1,21.1620223241144,3' UTR
Tn,mmu-miR-466i-5p,Stat5b,1,6.41791044776119,intron
Tn,mmu-miR-142a-5p,Stat3,1,4.27148101996565,3' UTR
Tn,mmu-miR-466i-5p,Itgb3,1,8.11541935660801,3' UTR
Tn,mmu-miR-142a-3p,Tlk2,1,7.23057813911473,intron
Tn,mmu-miR-142a-3p,Ddx42,1,6.27994957601699,intron
Tn,mmu-miR-466f-3p,Pitpnc1,1,15.2910913801493,intron
Tn,mmu-miR-466i-5p,Pitpnc1,13,100.011871273599,intron
Tn,mmu-miR-706,Pitpnc1,1,3.86997126436782,intron
Tn,mmu-miR-466i-5p,Prkca,3,13.2628242194551,intron
Tn,mmu-miR-466i-5p,Septin9,1,6.40182457020935,intron
Tn,mmu-miR-142a-5p,Tnrc6c,1,9.76864147088866,intron
Tn,mmu-miR-466i-5p,Cyth1,5,34.7690132243847,intron
Tn,mmu-miR-142a-3p,Slc38a10,1,27.4974387806097,3' UTR
Tn,mmu-miR-466i-5p,Ncoa1,1,7.85169349429913,intron
Tn,mmu-miR-142a-3p,Rock2,1,9.54400692608089,3' UTR
Tn,mmu-miR-466i-5p,Hpcal1,2,11.3678524769476,intron
Tn,mmu-miR-150-5p,Cfl2,1,12.5,3' UTR
Tn,mmu-miR-466i-5p,Prkch,3,18.5261057093243,intron
Tn,mmu-miR-466i-5p,Gphn,1,3.31367874201914,intron
Tn,mmu-miR-466i-5p,Sipa1l1,1,4.30273876404494,intron
Tn,mmu-miR-466i-5p,Elmsan1,1,9.85402351504046,intron
Tn,mmu-miR-101c,Fos,1,29.2225608037406,3' UTR
Tn,mmu-miR-466i-5p,Foxn3,3,13.365875872579,intron
Tn,mmu-miR-466i-5p,Ccdc88c,3,37.8134158090112,intron
Tn,mmu-miR-466i-5p,Itpk1,3,21.8467568905773,"3' UTR,intron"
Tn,mmu-miR-103-3p,Dicer1,1,17.8616011761561,CDS
Tn,mmu-miR-466i-5p,Bcl11b,14,193.142460401943,intron
Tn,mmu-miR-466f-3p,Bcl11b,3,26.7345703988397,intron
Tn,mmu-miR-466h-3p,Bcl11b,1,9.13282376048334,intron
Tn,mmu-miR-342-3p,Evl,1,3.64037878787879,ncRNA_exon
Tn,mmu-miR-466i-5p,Evl,2,34.4839200205547,ncRNA_exon
Tn,mmu-miR-466f-3p,Evl,1,5.19573634051322,intron
Tn,mmu-miR-466i-5p,Ppp2r5c,1,3.91685765215177,intron
Tn,mmu-miR-26b-5p,Ppp2r5c,1,5,3' UTR
Tn,mmu-miR-466i-5p,Klc1,3,14.5266870105561,intron
Tn,mmu-miR-466i-5p,Gpr132,3,19.1374735874472,intron
Tn,mmu-miR-466i-5p,Elmo1,2,12.4430978132449,intron
Tn,mmu-miR-466i-5p,Cmah,2,9.02002853992474,intron
Tn,mmu-miR-466i-5p,Ripor2,5,32.6330826043965,intron
Tn,mmu-miR-466i-5p,Cdyl,1,3.86525974025974,intron
