gene,state,miRNA,n_clusters,coverage,regions,program
Id2,Tmem,mmu-miR-142a-5p,1,33.3755798844893,3' UTR,effector
Id2,Tex,mmu-miR-142a-5p,1,9.7946143115318,3' UTR,effector
Cblb,Tex,mmu-miR-466i-5p,1,7.40694224752862,intron,exhaustion
Cblb,Tn,mmu-miR-466i-5p,1,3.74831754108459,intron,exhaustion
Bach2,Tn,mmu-miR-466i-5p,8,357.825867443934,"3' UTR,intron",memory
Bach2,Tn,mmu-miR-142a-3p,1,101.638539534253,intron,memory
Bach2,Tn,mmu-miR-466f-3p,1,9.48412698412698,intron,memory
Bach2,Teff,mmu-miR-466i-5p,1,8.27876830545354,intron,memory
Bcl2,Tn,mmu-miR-466i-5p,5,61.1142844378396,intron,memory
Bcl2,Tmem,mmu-miR-466i-5p,6,43.5653515082307,intron,memory
Bcl2,Teff,mmu-miR-466i-5p,4,29.5371733345199,intron,memory
Bcl2,Tmem,mmu-miR-142a-3p,1,4.7794707297514,intron,memory
Bcl2,Tmem,mmu-miR-15b-5p,1,4.27885597548519,3' UTR,memory
Ccr7,Tn,mmu-miR-16-5p,1,21.1620223241144,3' UTR,memory
Ccr7,Tmem,mmu-miR-16-5p,1,16.2948446794448,3' UTR,memory
Ccr7,Tmem,mmu-miR-15b-5p,1,12.9845808802916,3' UTR,memory
Ccr7,Tmem,mmu-miR-15a-5p,1,10.5284090909091,3' UTR,memory
Ccr7,Tn,mmu-miR-15a-5p,1,7.20543479099836,3' UTR,memory
Ccr7,Teff,mmu-miR-16-5p,1,4.84229989322414,3' UTR,memory
Il7r,Tn,mmu-miR-15b-5p,3,143.514434034893,3' UTR,memory
Il7r,Tn,mmu-miR-466i-5p,5,35.9952615409213,intron,memory
Il7r,Tmem,mmu-miR-15b-5p,1,14.9139937391269,3' UTR,memory
Il7r,Teff,mmu-miR-15b-5p,1,10.6286297281801,3' UTR,memory
Il7r,Tex,mmu-miR-15b-5p,1,6.44047204557353,3' UTR,memory
Klf2,Tmem,mmu-miR-92a-3p,1,4.06339093178981,3' UTR,memory
Lef1,Tn,mmu-miR-466i-5p,9,69.9580474558873,"5' UTR,intron",memory
S1pr1,Tmem,mmu-miR-155-5p,1,4.08518457522081,3' UTR,memory
Tcf7,Tn,mmu-miR-466i-5p,1,6.91960585914224,intron,memory
Zfp36l2,Tmem,mmu-miR-210-3p,1,7.21900805478454,5' UTR,memory
Zfp36l2,Tmem,mmu-miR-23a-3p,1,4.71812938617977,CDS,memory
