chr,start,end,strand,gene,gene_id,feature,miRNA,log2FC,neglog10_p,neglog10_padj,contrast,grpA,grpB,padj,sig,background
chr1,161038077,161038160,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-34a-5p,5.08,6.82,5.97,Tex_vs_Tn,Tex,Tn,1.07151930523761e-06,TRUE,FALSE
chr1,161038077,161038160,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-182-5p,4.84,4.64,3.8,Tex_vs_Tn,Tex,Tn,0.000158489319246111,TRUE,FALSE
chr1,161038077,161038160,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-449c-5p,4.36,3.14,2.29,Tex_vs_Tn,Tex,Tn,0.00512861383991365,TRUE,FALSE
chr2,5379254,5379372,-,Camk1d,ENSMUSG00000039145.16,Intron,mmu-miR-34a-5p,4.13,3.42,2.58,Tex_vs_Tn,Tex,Tn,0.00263026799189538,TRUE,FALSE
chr2,167301139,167301307,-,B4galt5,ENSMUSG00000017929.13,3' UTR,mmu-miR-210-3p,4.08,3.62,2.77,Tex_vs_Tn,Tex,Tn,0.00169824365246174,TRUE,FALSE
chr13,23684575,23684652,+,H2bc4,ENSMUSG00000018102.5,CDS,mmu-miR-34a-5p,4.05,3.48,2.63,Tex_vs_Tn,Tex,Tn,0.00234422881531992,TRUE,FALSE
chr6,11900434,11900583,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-147-3p,3.62,2.88,2.03,Tex_vs_Tn,Tex,Tn,0.00933254300796992,TRUE,FALSE
chr17,39847274,39847320,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-18a-3p,3.61,2.85,2.01,Tex_vs_Tn,Tex,Tn,0.00977237220955811,TRUE,FALSE
chr13,45775676,45775747,-,Atxn1,ENSMUSG00000046876.16,Intron,mmu-miR-466i-5p,3.48,2.63,1.78,Tex_vs_Tn,Tex,Tn,0.0165958690743756,TRUE,FALSE
chr12,78350922,78351021,+,Gphn,ENSMUSG00000047454.12,Intron,mmu-miR-423-3p,3.31,2.65,1.81,Tex_vs_Tn,Tex,Tn,0.0154881661891248,TRUE,FALSE
chr7,16368517,16368627,-,Sae1,ENSMUSG00000052833.9,CDS,mmu-miR-155-5p,3.23,3.06,2.21,Tex_vs_Tn,Tex,Tn,0.00616595001861482,TRUE,FALSE
chr17,39847320,39847358,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-18a-3p,3.22,2.21,1.37,Tex_vs_Tn,Tex,Tn,0.0426579518801593,TRUE,FALSE
chr3,54729417,54729508,-,Exosc8,ENSMUSG00000027752.15,Intron,mmu-miR-30c-5p,3.02,2.36,1.52,Tex_vs_Tn,Tex,Tn,0.0301995172040202,TRUE,FALSE
chr1,161036680,161036739,+,Gas5|Gm23212,ENSMUSG00000053332.13||ENSMUSG00000084667.1,Other,mmu-let-7i-5p,2.89,2.52,1.68,Tex_vs_Tn,Tex,Tn,0.0208929613085404,TRUE,FALSE
chr17,39846750,39846804,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-let-7i-3p,2.84,2.18,1.34,Tex_vs_Tn,Tex,Tn,0.0457088189614875,TRUE,FALSE
chr17,39847477,39847566,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-21a-5p,2.79,2.17,1.32,Tex_vs_Tn,Tex,Tn,0.0478630092322638,TRUE,FALSE
chr17,39847919,39848064,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-21a-5p,2.72,2.2,1.35,Tex_vs_Tn,Tex,Tn,0.0446683592150963,TRUE,FALSE
chr12,25094281,25094429,-,Id2,ENSMUSG00000020644.9,3' UTR,mmu-miR-142a-5p,2.72,2.19,1.35,Tex_vs_Tn,Tex,Tn,0.0446683592150963,TRUE,FALSE
chr16,52073438,52073613,+,Cblb,ENSMUSG00000022637.11,Intron,mmu-miR-466i-5p,2.72,2.21,1.37,Tex_vs_Tmem,Tex,Tmem,0.0426579518801593,TRUE,FALSE
chr13,45794467,45794565,-,Atxn1,ENSMUSG00000046876.16,Intron,mmu-miR-466i-5p,2.34,2.33,1.49,Tex_vs_Tmem,Tex,Tmem,0.0323593656929628,TRUE,FALSE
chr17,39847657,39847782,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-155-5p,2.27,2.39,1.54,Tex_vs_Tmem,Tex,Tmem,0.0288403150312661,TRUE,FALSE
chr7,16368517,16368627,-,Sae1,ENSMUSG00000052833.9,CDS,mmu-miR-155-5p,2.11,2.72,1.87,Tex_vs_Teff,Tex,Teff,0.0134896288259165,TRUE,FALSE
chr17,39847275,39847358,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-365-3p,2.01,2.27,1.43,Tex_vs_Tmem,Tex,Tmem,0.0371535229097173,TRUE,FALSE
