chr,start,end,miRNA,coverage,strand,state,gene_id,gene,gene_type,region,strand_rel,biotype
chr1,7170285,7170393,mmu-miR-92a-3p,22.9073752009463,+,Tn,ENSMUSG00000051285,Pcmtd1,protein_coding,3' UTR,sense,protein_coding
chr1,9942469,9942546,mmu-miR-191-5p,4,-,Tn,ENSMUSG00000093178,Snord87,snoRNA,ncRNA_exon,sense,other_ncRNA
chr1,9942469,9942546,mmu-miR-30b-5p,5.4577380952381,-,Tn,ENSMUSG00000093178,Snord87,snoRNA,ncRNA_exon,sense,other_ncRNA
chr1,13282126,13282197,mmu-miR-466i-5p,4.33746371275783,-,Tn,ENSMUSG00000005886,Ncoa2,protein_coding,intron,sense,protein_coding
chr1,34815477,34815566,mmu-miR-466i-5p,16.2644610798553,-,Tn,ENSMUSG00000037503,Fam168b,protein_coding,3' UTR,sense,protein_coding
chr1,36083814,36083878,mmu-miR-466i-5p,3.42307692307692,+,Tn,ENSMUSG00000045216,Hs6st1,protein_coding,intron,sense,protein_coding
chr1,37417913,37417989,mmu-miR-466i-5p,3.57465578395642,-,Tn,ENSMUSG00000026112,Coa5,protein_coding,3' UTR,sense,protein_coding
chr1,38495177,38495240,mmu-miR-466i-5p,4.14038461538462,-,Tn,ENSMUSG00000037138,Aff3,protein_coding,intron,sense,protein_coding
chr1,38526978,38527050,mmu-miR-466i-5p,7.4,-,Tn,ENSMUSG00000037138,Aff3,protein_coding,intron,sense,protein_coding
chr1,38609723,38609841,mmu-miR-466i-5p,8.9315891053391,-,Tn,ENSMUSG00000037138,Aff3,protein_coding,intron,sense,protein_coding
chr1,39905148,39905219,mmu-miR-466i-5p,7.11156326312576,+,Tn,ENSMUSG00000026074,Map4k4,protein_coding,intron,sense,protein_coding
chr1,39905235,39905307,mmu-miR-466i-5p,9.77205101379561,+,Tn,ENSMUSG00000026074,Map4k4,protein_coding,intron,sense,protein_coding
chr1,39954946,39955007,mmu-miR-466i-5p,6.86310859010601,+,Tn,ENSMUSG00000026074,Map4k4,protein_coding,intron,sense,protein_coding
chr1,52489715,52489857,mmu-miR-466i-5p,8.79327050344195,-,Tn,ENSMUSG00000002881,Nab1,protein_coding,intron,sense,protein_coding
chr1,54911224,54911306,mmu-miR-466i-5p,4,-,Tn,ENSMUSG00000052331,Ankrd44,protein_coding,intron,sense,protein_coding
chr1,58846892,58847012,mmu-miR-466f-3p,3.95685942655592,+,Tn,ENSMUSG00000026029,Casp8,protein_coding,3' UTR,sense,protein_coding
chr1,64546030,64546130,mmu-miR-466i-5p,7.80323109433705,+,Tn,ENSMUSG00000025958,Creb1,protein_coding,intron,sense,protein_coding
chr1,80575912,80575982,mmu-miR-466i-5p,3.3943661971831,-,Tn,ENSMUSG00000038608,Dock10,protein_coding,CDS,sense,protein_coding
chr1,80649788,80649881,mmu-miR-466i-5p,4.71428885756524,-,Tn,ENSMUSG00000038608,Dock10,protein_coding,intron,sense,protein_coding
chr1,80757457,80757537,mmu-miR-142a-3p,5.42620102559489,-,Tn,ENSMUSG00000038608,Dock10,protein_coding,intron,sense,protein_coding
chr1,85660036,85660132,mmu-miR-466i-5p,4.07987421383648,+,Tn,ENSMUSG00000026222,Sp100,protein_coding,intron,sense,protein_coding
chr1,86352005,86352056,mmu-miR-3535,32.9704118253515,-,Tn,ENSMUSG00000026234,Ncl,protein_coding,ncRNA_exon,sense,protein_coding
chr1,88698677,88698766,mmu-miR-26a-5p,7.76373680957217,-,Tn,ENSMUSG00000049866,Arl4c,protein_coding,3' UTR,sense,protein_coding
chr1,93508229,93508380,mmu-miR-15b-5p,4.16431556948798,+,Tn,ENSMUSG00000026276,Septin2,protein_coding,3' UTR,sense,protein_coding
chr1,97456899,97456925,mmu-miR-3473b,10.5693673903412,+,Tn,ENSMUSG00000101348,Gm7135,transcribed_unprocessed_pseudogene,intron,sense,pseudogene
chr1,106600286,106600423,mmu-miR-466i-5p,6.74117939859255,-,Tn,ENSMUSG00000057329,Bcl2,protein_coding,intron,sense,protein_coding
chr1,106600723,106600803,mmu-miR-466i-5p,16.3102574379181,-,Tn,ENSMUSG00000057329,Bcl2,protein_coding,intron,sense,protein_coding
chr1,106610628,106610715,mmu-miR-466i-5p,13.7331349206349,-,Tn,ENSMUSG00000057329,Bcl2,protein_coding,intron,sense,protein_coding
chr1,106619939,106620053,mmu-miR-466i-5p,14.6944180983567,-,Tn,ENSMUSG00000057329,Bcl2,protein_coding,intron,sense,protein_coding
chr1,106620074,106620147,mmu-miR-466i-5p,9.63529458233732,-,Tn,ENSMUSG00000057329,Bcl2,protein_coding,intron,sense,protein_coding
chr1,127268431,127268506,mmu-miR-466i-5p,4.45888783636,+,Tn,ENSMUSG00000036155,Mgat5,protein_coding,intron,sense,protein_coding
chr1,131262970,131263031,mmu-miR-466i-5p,4.86835497835498,-,Tn,ENSMUSG00000042349,Ikbke,protein_coding,intron,sense,protein_coding
chr1,133008458,133008510,mmu-miR-466i-5p,3.76169748849229,-,Tn,ENSMUSG00000054387,Mdm4,protein_coding,intron,sense,protein_coding
chr1,138064190,138064344,mmu-miR-342-3p,19.2475784874041,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,3' UTR,sense,protein_coding
chr1,138067381,138067519,mmu-miR-466i-5p,15.606393631607,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138113699,138113781,mmu-miR-27a-3p,21.5334051903469,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,CDS,sense,protein_coding
chr1,138126763,138126791,mmu-miR-466i-5p,5.00912345893512,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138126792,138126822,mmu-miR-466i-5p,5.22277117281568,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138128803,138128891,mmu-miR-466i-5p,14.2260712701475,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138129918,138129998,mmu-miR-466i-5p,5.40783410138249,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138131282,138131358,mmu-miR-466i-5p,9.1944826007326,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138136065,138136124,mmu-miR-466f-3p,3.90695970695971,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138136149,138136214,mmu-miR-466f-3p,4.35302175664787,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138138827,138138911,mmu-miR-466i-5p,14.2299728594467,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,138138946,138139002,mmu-miR-466i-5p,6.26347826086957,-,Tn,ENSMUSG00000026395,Ptprc,protein_coding,intron,sense,protein_coding
chr1,153762475,153762543,mmu-miR-466i-5p,8.88888123811397,+,Tn,ENSMUSG00000066800,Rnasel,protein_coding,3' UTR,sense,protein_coding
chr1,161035849,161035879,mmu-miR-150-5p,14.9178461058937,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161035880,161035912,mmu-miR-150-5p,14.0806337229791,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161036683,161036739,mmu-let-7g-5p,18.3899691135987,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161037620,161037643,mmu-miR-15b-5p,6.06247197781579,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161037644,161037671,mmu-miR-15b-5p,6.80225722834176,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161038311,161038378,mmu-let-7b-5p,16.9066571865278,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161038311,161038378,mmu-miR-26b-5p,4.5,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161038311,161038378,mmu-miR-669l-5p,14.4855042016807,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161038311,161038378,mmu-miR-669o-5p,6.97934362934363,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,161038311,161038378,mmu-miR-669p-5p,27.5,+,Tn,ENSMUSG00000053332,Gas5,processed_transcript,ncRNA_exon,sense,lncRNA
chr1,165686486,165686559,mmu-miR-466i-5p,11.2396466436654,-,Tn,ENSMUSG00000040723,Rcsd1,protein_coding,intron,sense,protein_coding
chr1,165689161,165689234,mmu-miR-466i-5p,10.2864465498729,-,Tn,ENSMUSG00000040723,Rcsd1,protein_coding,intron,sense,protein_coding
chr1,165691599,165691679,mmu-miR-466i-5p,7.22708333333333,-,Tn,ENSMUSG00000040723,Rcsd1,protein_coding,intron,sense,protein_coding
chr1,165796047,165796144,mmu-miR-466i-5p,23.3150221543117,+,Tn,ENSMUSG00000005763,Cd247,protein_coding,intron,sense,protein_coding
